 	cette	femme	s'	est	accroupie	pour	bien	préparer	</S>
o	0.972772	0.0180579	0.00417089	0.00127565	0.000632044	0.00159204	0.000949539	0.000253558	0.000295908
y	0.0253349	0.972104	0.000608638	0.00037939	0.00119771	0.000178432	7.16026e-05	7.37708e-05	5.15676e-05
ú	0.899042	0.0942558	0.00137132	0.00101773	0.00256285	0.000681917	0.000273623	0.000424413	0.00037014
r	0.9297	0.0172593	0.00434647	0.00349844	0.0109657	0.00795368	0.00200005	0.00443554	0.0198412
u	0.767037	0.00621595	0.0262125	0.0268647	0.0471798	0.040999	0.0107249	0.0188032	0.0559628
w	0.170766	0.0587928	0.438365	0.164112	0.0648695	0.0214717	0.00924353	0.0168795	0.0554995
ó	0.157244	0.00615916	0.310099	0.171414	0.181601	0.0846247	0.0104835	0.0111221	0.0672518
á	0.0154499	0.00177019	0.757259	0.134413	0.0345612	0.0273778	0.00549052	0.00366189	0.0200167
m	0.00186837	0.00151334	0.0949559	0.553822	0.261543	0.0112857	0.0247181	0.0144626	0.0358308
i	0.0327665	0.0119162	0.226665	0.389972	0.242132	0.0455472	0.0173349	0.0083933	0.0252721
y	0.00674026	0.0031639	0.0177892	0.28221	0.659718	0.0116763	0.00776922	0.00296813	0.00796454
ε	0.0102175	0.0092234	0.0244194	0.229464	0.640867	0.0344854	0.00820774	0.00753037	0.035585
l	0.00287622	8.27734e-05	0.0489867	0.134978	0.583959	0.0803386	0.0204175	0.0107261	0.117635
έ	0.0798078	8.14198e-05	0.147753	0.297606	0.293753	0.12979	0.0283199	0.00784021	0.0150482
έ	0.0273955	1.90437e-05	0.0542899	0.11808	0.189179	0.473852	0.0978971	0.0163715	0.0229156
m	0.00447821	0.000176294	0.0129719	0.0346081	0.0452814	0.543445	0.230189	0.118686	0.0101637
í	0.000625247	0.0100921	0.0033361	0.0036204	0.0213283	0.239499	0.252213	0.251764	0.217521
l	0.000565204	0.000279023	0.00465152	0.00617177	0.00356675	0.054178	0.0938029	0.804793	0.031992
á	7.12864e-05	5.09437e-05	0.00457758	0.0109624	0.012772	0.143677	0.246087	0.47412	0.107681
m	0.00116801	6.42916e-05	0.00633727	0.00982741	0.0140026	0.169297	0.302772	0.394479	0.102052
b	0.00248076	0.000830844	0.00222987	0.00475318	0.00856527	0.101525	0.267276	0.43379	0.178549
a	0.00241871	0.000188277	0.00502566	0.00222761	0.00263336	0.107686	0.174583	0.46547	0.239768
</S>	0.0119934	2.70876e-05	0.00665556	0.00472933	0.00788394	0.0790304	0.118552	0.417542	0.353587
