 	il	ne	peut	pas	s'	empêcher	de	bouder	</S>
w	0.722427	0.0344614	0.0423312	0.0782388	0.049969	0.0170595	0.0454685	0.00673019	0.00331398
a	0.712464	0.0486048	0.0121972	0.0510738	0.0779492	0.0120329	0.0694312	0.00657964	0.00966685
a	0.106014	0.451602	0.022352	0.108952	0.118229	0.0280326	0.0849961	0.00931818	0.0705045
d	0.103958	0.323747	0.1443	0.080094	0.10979	0.0425026	0.0648219	0.0294265	0.10136
í	0.015512	0.140323	0.0522237	0.0310542	0.0768169	0.0230751	0.0570425	0.00960353	0.594349
o	0.00632312	0.0686221	0.11158	0.0938467	0.0861778	0.0458487	0.113318	0.0896206	0.384662
b	0.00126777	0.0261097	0.311173	0.0441713	0.103892	0.445129	0.0137944	0.0416436	0.0128191
h	0.00188386	0.0264582	0.625992	0.0346393	0.0597001	0.180348	0.0223965	0.0155294	0.0330529
e	0.000434457	0.00378746	0.758763	0.0110825	0.0249495	0.165944	0.00820626	0.0123267	0.0145052
r	0.00503832	0.0195466	0.270781	0.125628	0.0944494	0.261911	0.0524109	0.0815329	0.0887013
á	0.0057837	0.0089041	0.145268	0.093924	0.114043	0.233367	0.0792191	0.0670897	0.252402
o	0.0311462	0.0388241	0.1064	0.240885	0.205811	0.10542	0.152956	0.0893291	0.0292281
k	0.000661888	0.0054799	0.0221139	0.0170835	0.0608093	0.391361	0.112357	0.34767	0.0424637
ú	0.000227275	0.00306101	0.0416609	0.0341564	0.0593374	0.416328	0.0585965	0.32324	0.0633932
l	2.23705e-05	0.000477012	0.0176033	0.0126863	0.0200557	0.637944	0.0139073	0.285998	0.011306
á	0.000485646	0.00182108	0.0367618	0.05618	0.0906241	0.398432	0.0761085	0.310241	0.0293449
i	0.00784308	0.0155627	0.0262508	0.0876946	0.129915	0.091765	0.267137	0.205656	0.168175
f	0.00640275	0.0259103	0.0384386	0.0273031	0.0690851	0.130924	0.154379	0.222972	0.324585
ú	0.00185788	0.0217195	0.0579984	0.0651116	0.103445	0.0617078	0.197231	0.150138	0.340791
ú	9.53759e-05	0.00117403	0.00659009	0.0106044	0.0284212	0.240545	0.0468843	0.567962	0.0977241
s	0.0008773	0.00278932	0.0094786	0.0485512	0.0557555	0.148929	0.25983	0.306415	0.167374
a	0.00149419	0.00541463	0.00948387	0.0277191	0.0384036	0.0720841	0.305172	0.289476	0.250752
k	0.000570681	0.00357871	0.00234773	0.0123329	0.0160014	0.0255524	0.131685	0.246193	0.561738
a	0.000480575	0.00171658	0.0141038	0.0212043	0.0212536	0.0538449	0.116859	0.325718	0.444819
á	0.000241369	0.000533387	0.00844896	0.00510259	0.00495564	0.0233263	0.0279246	0.273869	0.655598
</S>	0.0226095	0.0286038	0.0300846	0.0482276	0.0686645	0.0119649	0.136319	0.0278346	0.625692
