 	la	chèvre	a	abandonné	ses	petits	</S>
m	0.952794	0.0317727	0.00665988	0.000625301	0.00459287	0.00327229	0.000282988
b	0.111062	0.871033	0.0132662	0.000472141	0.000763214	0.000701018	0.00270237
ó	0.0111043	0.974484	0.00316622	9.11401e-05	0.000465631	0.0104652	0.000223445
s	0.0133816	0.981975	0.0029566	0.000354319	0.000128859	0.000662196	0.000541257
i	0.47138	0.28716	0.130491	0.0399156	0.00917035	0.0119633	0.0499191
á	0.306096	0.143578	0.479984	0.0357517	0.0225405	0.00434556	0.00770409
m	0.0646415	0.0132873	0.281688	0.513706	0.0343575	0.00832545	0.0839942
i	0.0720472	0.0258343	0.340937	0.348282	0.129741	0.0212337	0.0619247
k	0.006331	0.00339334	0.023328	0.914891	0.0190503	0.00602052	0.0269857
ú	0.00369689	0.000511162	0.00993925	0.898514	0.0230106	0.00375795	0.0605702
l	0.0296104	0.00337312	0.00984714	0.882371	0.0225336	0.00730187	0.0449629
á	0.100344	0.00149395	0.020105	0.443988	0.216758	0.0258914	0.19142
b	0.0191282	0.00184548	0.027237	0.100839	0.587581	0.228577	0.0347924
á	0.00674513	0.000567786	0.00319235	0.00609612	0.0851511	0.891331	0.00691602
n	0.00452857	0.000349713	0.00487224	0.0109759	0.192945	0.748033	0.0382953
a	0.0063707	0.000725679	0.00454512	0.0255864	0.165729	0.726608	0.0704344
</S>	0.00576957	0.00106849	0.0581519	0.161776	0.383199	0.105931	0.284103
