 	avec	la	pluie	qui	était	tombée	on	ne	pouvait	plus	avancer	</S>
l	0.470747	0.453612	0.0112409	0.0159305	0.00262745	0.0119794	0.0153308	0.0075017	0.00224596	0.00820565	0.000399054	0.000180067
a	0.555631	0.366305	0.0240505	0.0103002	0.00398112	0.0143867	0.00486583	0.0033624	0.000744348	0.00472608	0.0104087	0.00123836
m	0.427452	0.342892	0.0291972	0.0152196	0.0521493	0.0412371	0.0144833	0.0138674	0.00306916	0.00909988	0.0209981	0.0303347
b	0.0643557	0.230997	0.67458	0.0100361	0.00578164	0.00777647	0.000735698	0.000507575	0.000191619	7.22233e-05	0.00066548	0.00430093
v	0.00418553	0.0398259	0.945927	0.0015149	0.00127057	0.0039515	0.000196853	0.000277488	0.000352365	8.21744e-05	0.000826909	0.00158893
ú	0.020877	0.134438	0.825539	0.00334014	0.000560344	0.0065597	0.000251015	0.000228563	0.000641905	9.8329e-05	0.00333799	0.00412756
á	0.0772602	0.417134	0.411849	0.0404691	0.0126094	0.0126038	0.00156186	0.00190092	0.00293592	0.000715384	0.00741388	0.0135467
y	0.175078	0.137939	0.0836518	0.410526	0.0567266	0.0439012	0.0443896	0.0136545	0.00505638	0.0130431	0.00581438	0.010219
ε	0.166565	0.180877	0.28069	0.187957	0.0741482	0.0307657	0.0129682	0.00401851	0.00108659	0.00495702	0.026888	0.0290791
ε	0.124757	0.074199	0.176296	0.270586	0.111523	0.0784086	0.0356728	0.0113812	0.00207513	0.0181448	0.0340115	0.0629454
n	0.0211858	0.0188029	0.250101	0.0972155	0.458481	0.062351	0.0109641	0.0261231	0.0240594	0.00279601	0.0046666	0.0232536
ώ	0.0142651	0.0398243	0.475832	0.143026	0.103768	0.10486	0.010644	0.0115306	0.00957042	0.00417625	0.0153814	0.0671217
í	0.0130226	0.0336545	0.105546	0.435926	0.0621191	0.166635	0.0393575	0.0245477	0.0123734	0.0229805	0.0223843	0.0614529
w	0.0134985	0.00859764	0.0280744	0.445731	0.20718	0.108575	0.114623	0.0302809	0.00806445	0.0137907	0.00350763	0.0180768
ó	0.0214024	0.0142341	0.040785	0.230084	0.133729	0.134091	0.113491	0.102926	0.0195996	0.0342496	0.0349879	0.12042
l	0.00509188	0.00267109	0.0120095	0.134521	0.138776	0.234725	0.246759	0.0715207	0.0168868	0.0335834	0.0164261	0.087028
e	0.0108182	0.0053317	0.0120174	0.0853448	0.098771	0.16048	0.136286	0.121931	0.0321403	0.0577063	0.0341388	0.245035
d	0.0102342	0.00507546	0.0096563	0.0558287	0.0656929	0.257246	0.303615	0.170165	0.0393619	0.0220668	0.012049	0.0490087
í	0.00472395	0.00539207	0.0105716	0.0191983	0.275252	0.344277	0.145472	0.0798252	0.0212926	0.00686677	0.0136735	0.0734546
o	0.00217808	0.00134173	0.00228533	0.0326031	0.0489439	0.0964567	0.387561	0.242017	0.102676	0.0483653	0.00853521	0.0270369
b	0.00243761	0.0034926	0.00401549	0.00343054	0.0169569	0.0421333	0.0696957	0.354216	0.473427	0.0159719	0.00847751	0.00574523
h	0.00196799	0.00400429	0.00679573	0.00777666	0.00426225	0.0402503	0.0272277	0.119121	0.7503	0.00896806	0.0173958	0.0119309
