 	il	y	a	plusieurs	manières	d'	annuler	votre	voyage	</S>
i	0.160231	0.144604	0.0879253	0.0473745	0.177298	0.169398	0.159571	0.0261415	0.0187236	0.00873386
k	0.00758362	0.101849	0.0409526	0.03123	0.157367	0.066913	0.107655	0.0227717	0.447092	0.0165865
w	0.00442583	0.0452659	0.0117638	0.014474	0.177466	0.0906254	0.334516	0.0606373	0.122961	0.137864
ώ	0.00464887	0.0110389	0.00903526	0.0125712	0.0840166	0.173422	0.341619	0.284715	0.0430032	0.0359311
n	0.079934	0.0444892	0.0283079	0.0392162	0.107048	0.25496	0.24004	0.125699	0.0220147	0.0582906
í	0.249355	0.115217	0.0250145	0.0194765	0.0501664	0.101168	0.200612	0.140008	0.0242998	0.0746827
s	0.133342	0.165572	0.151883	0.0762825	0.0671574	0.13344	0.110985	0.0593576	0.0434411	0.0585391
í	0.148895	0.0569537	0.079635	0.0553372	0.0212263	0.0694105	0.14276	0.143388	0.0265	0.255895
l	0.0277665	0.0100475	0.0395841	0.0367077	0.0210307	0.121277	0.431975	0.228802	0.0226796	0.0601302
í	0.0310861	0.0086137	0.0414943	0.0671028	0.0126361	0.0575217	0.0965657	0.0813619	0.00541065	0.598207
b	0.0223154	0.00311958	0.0210079	0.0425312	0.0266912	0.152811	0.478919	0.202239	0.0152702	0.0350946
á	0.0197121	0.00422152	0.0133196	0.0163965	0.0394399	0.0761868	0.203974	0.442443	0.166017	0.0182898
o	0.0260373	0.00535151	0.0249217	0.0257529	0.0823521	0.211104	0.256722	0.249748	0.0626802	0.0553303
s	0.00165563	0.00452514	0.0169622	0.0454727	0.119078	0.102361	0.0341918	0.157742	0.363071	0.154942
í	0.00316387	0.0047445	0.0228493	0.110858	0.0415777	0.133871	0.0850184	0.292937	0.111156	0.193825
n	0.00197151	0.00199392	0.0225861	0.114079	0.0967762	0.23316	0.0993501	0.253559	0.071314	0.105209
á	0.00197586	0.0010066	0.0061891	0.0685945	0.0214323	0.0855291	0.136301	0.631977	0.015916	0.031079
m	0.00163205	0.00270245	0.0192578	0.0653791	0.067584	0.0821531	0.0289545	0.211324	0.150165	0.370848
á	0.006836	0.00341043	0.0292939	0.0734316	0.115389	0.114701	0.0080044	0.0397168	0.136962	0.472256
b	0.00562552	0.0039827	0.0211843	0.0353929	0.0756424	0.0812376	0.0266007	0.167737	0.158251	0.424346
í	0.00158171	0.00163506	0.00480449	0.00558642	0.0162427	0.0243458	0.0206195	0.532909	0.333537	0.0587384
n	0.00360143	0.00100627	0.00387384	0.0106467	0.0268972	0.0666751	0.0699016	0.659046	0.0915583	0.0667936
í	0.00512105	0.00344239	0.00831274	0.0189218	0.0343258	0.0553441	0.0431543	0.468652	0.0574243	0.305302
í	0.00168071	0.00391154	0.0139417	0.0328656	0.0436642	0.0698441	0.0526438	0.38745	0.190044	0.203954
d	0.00820691	0.01231	0.0674029	0.0624166	0.0272949	0.0179681	0.00195967	0.0487247	0.111361	0.642355
í	0.00014154	0.000723659	0.00806413	0.0371324	0.0144866	0.00907659	0.000181217	0.0386974	0.0470624	0.844434
i	0.00116802	0.00269439	0.027205	0.0984403	0.0945842	0.0958286	0.00233142	0.141728	0.0627661	0.473254
y	0.00462434	0.0158438	0.0391339	0.0632143	0.0952641	0.0653184	0.015885	0.149636	0.0801753	0.470905
í	0.000260975	0.00262689	0.00914631	0.0343222	0.0400544	0.0283417	0.00695246	0.134384	0.0345667	0.709345
í	0.000350726	0.00126442	0.00650109	0.0224648	0.0239212	0.0342895	0.00257494	0.0980716	0.0418402	0.768722
</S>	0.00349589	0.00757172	0.0240769	0.0356899	0.0545959	0.0714928	0.00964319	0.183007	0.102562	0.507865
