 	cette	rivière	a	débordé	</S>
e	0.668567	0.321992	0.00849106	0.000466595	0.000483168
b	0.0591027	0.917215	0.0199032	0.00314389	0.000635002
a	0.0340256	0.955709	0.00266385	0.00674858	0.000853358
a	0.0494186	0.917571	0.00618879	0.00686855	0.0199529
y	0.45987	0.155936	0.210024	0.00177219	0.172398
é	0.457266	0.165131	0.264248	0.00146292	0.111892
é	0.469963	0.0717775	0.349728	0.00470679	0.103825
m	0.0928923	0.0575132	0.667288	0.0686024	0.113704
i	0.0483818	0.00830014	0.727841	0.0273703	0.188107
s	0.00473083	0.0117546	0.140293	0.739155	0.104067
á	0.00434791	0.0177751	0.141693	0.572807	0.263377
á	0.00750204	0.00755313	0.0866179	0.130777	0.76755
o	0.0259581	0.00936514	0.395979	0.344246	0.224452
l	0.00348113	0.00593796	0.0911947	0.828252	0.0711345
ω	0.00236112	0.0141039	0.225428	0.678256	0.0798515
b	0.00596977	0.0114909	0.312191	0.296712	0.373637
h	0.073911	0.0582389	0.170385	0.348612	0.348853
ω	0.0364802	0.048257	0.0737018	0.615877	0.225684
</S>	0.0294191	0.00246901	0.11829	0.033604	0.816217
