 	ces	enfants	ont	brûlé	la	maison	</S>
b	0.345696	0.647697	0.00298986	0.000699831	0.00256018	0.000198703	0.000158394
á	0.0715258	0.926039	0.00132466	0.000135596	0.000770836	5.39698e-05	0.000150431
n	0.0665188	0.929668	0.00264192	0.000307705	0.000166247	1.22858e-05	0.000684616
a	0.54245	0.423815	0.00365056	0.00532178	0.00338211	0.000622767	0.0207576
b	0.518048	0.207044	0.201783	0.0144375	0.0261878	0.00202261	0.0304771
á	0.300064	0.228432	0.142349	0.0402941	0.0818611	0.00220506	0.204794
á	0.452272	0.108629	0.296781	0.0297617	0.0343123	0.00393252	0.0743119
m	0.00611787	0.00616443	0.691027	0.228154	0.026329	0.010614	0.0315942
i	0.019337	0.00688851	0.289054	0.580648	0.0678425	0.000978555	0.0352517
l	0.000735271	0.000516686	0.121143	0.84457	0.0155701	0.00334878	0.0141153
o	0.000389003	0.000638789	0.062437	0.896612	0.00865833	0.00162536	0.0296399
o	0.00097908	0.00015592	0.0939474	0.858006	0.0193208	0.00207125	0.0255193
s	0.000961183	0.00019971	0.0501503	0.312305	0.610887	0.00556459	0.0199327
á	0.00989515	0.000184099	0.0212957	0.559263	0.279916	0.0398011	0.0896446
n	0.0110669	0.0015838	0.0202056	0.0389556	0.604753	0.299554	0.0238812
d	0.000366428	0.000144468	8.12259e-05	0.000419092	0.0135572	0.984212	0.00121967
é	0.000114439	3.57412e-05	8.89746e-05	0.000508158	0.00393758	0.994222	0.00109247
e	0.00123784	0.000311821	0.0048194	0.0292313	0.0507193	0.815708	0.0979718
</S>	0.00354011	0.0004643	0.0338722	0.0506788	0.275913	0.117581	0.517951
