 	j'	étais	triste	parce	que	mon	oncle	m'	a	traité	d'	ingrat	</S>
n	0.714344	0.0117268	0.0609326	0.0818554	0.0408238	0.0503944	0.00949111	0.00983124	0.0113626	0.00558016	0.00337547	0.000145435	0.000136939
g	0.892357	0.00136401	0.0353823	0.00426436	0.0035062	0.0285485	0.00975111	0.0235397	0.00098811	0.000148192	0.000131306	7.26566e-06	1.16086e-05
á	0.767475	0.0430554	0.0361755	0.00479042	0.00354651	0.0261551	0.102422	0.0108907	0.00392203	0.000962294	0.000502092	6.90584e-05	3.45168e-05
í	0.117165	0.0593409	0.124433	0.0502439	0.0632189	0.0781512	0.0191164	0.176019	0.100275	0.0644954	0.0459855	0.00212683	0.0994284
d	0.0276668	0.833881	0.0210447	0.00784063	0.0116193	0.00604321	0.00616159	0.00578233	0.0236314	0.0346668	0.0126508	0.0021147	0.0068964
z	0.0173657	0.756481	0.0296572	0.0307888	0.0280735	0.00497806	0.00184789	0.0138795	0.036166	0.0305183	0.0174527	0.00176617	0.0310251
e	0.0428954	0.910709	0.0185301	0.0127679	0.0029402	0.00503529	0.00075319	0.00258544	0.00206261	0.000444015	0.000417918	5.67725e-05	0.000802564
l	0.0469759	0.234608	0.356082	0.131679	0.0513477	0.0173294	0.00403367	0.0109804	0.024376	0.0230852	0.0335047	0.0121344	0.0538631
a	0.0214354	0.132866	0.22757	0.182906	0.0746977	0.0485096	0.0126878	0.0459183	0.0456063	0.0369381	0.0358209	0.0126242	0.122419
n	0.00682967	0.137899	0.229121	0.240915	0.0667939	0.0317667	0.04921	0.072809	0.0322951	0.0152674	0.0139175	0.00921319	0.0939625
y	0.0143808	0.0606802	0.714679	0.0662781	0.0196969	0.0336759	0.0282768	0.0316214	0.0059396	0.0035975	0.00387071	0.00122696	0.0160761
i	0.00672076	0.0176798	0.794924	0.0699155	0.0199058	0.0288437	0.0307978	0.0131709	0.00360933	0.00263983	0.00253701	0.00153151	0.00772357
n	0.0010446	0.0637343	0.529327	0.161402	0.072655	0.0115774	0.0213572	0.00270907	0.0139324	0.0118808	0.0285867	0.00677626	0.0750171
g	0.00745806	0.171158	0.262451	0.191868	0.0683747	0.00917369	0.00394923	0.0072787	0.0104669	0.024047	0.0304257	0.00735201	0.205997
a	0.0112305	0.0178425	0.361674	0.346937	0.113015	0.0183366	0.00519353	0.0161534	0.0113281	0.0203038	0.0112631	0.00550497	0.061218
t	0.0038125	0.00828543	0.0795963	0.218706	0.383575	0.141489	0.0597619	0.0257084	0.0308501	0.0105507	0.00966513	0.00117771	0.0268224
s	0.00602581	0.00179312	0.104891	0.376105	0.194066	0.123814	0.0141139	0.0404298	0.0325059	0.042793	0.0131214	0.00872191	0.04162
i	0.000961054	0.00277341	0.0616642	0.362343	0.247507	0.054829	0.0442189	0.0420723	0.0540377	0.0566786	0.0213439	0.0124797	0.0390908
n	0.00419306	0.00400526	0.105073	0.187604	0.204589	0.0483257	0.152441	0.0401866	0.0336054	0.0545227	0.0177357	0.0340953	0.113623
