 	ce	malade	est	réduit	au	mutisme	</S>
o	0.716131	0.220759	0.0465816	0.00511677	0.0092062	0.00109358	0.00111159
k	0.0151919	0.939215	0.0137208	0.0305314	0.000636948	0.000104108	0.000599733
ω	0.00263873	0.990907	0.000418147	0.00557243	0.000159621	0.000110428	0.000193291
n	0.00455752	0.982682	0.00558485	0.00641766	0.000405219	9.58854e-05	0.000256817
í	0.0290034	0.962549	0.00372223	0.00258434	0.000879962	0.00031663	0.000944121
m	0.208056	0.0721688	0.658641	0.0112513	0.0215685	0.00455346	0.0237606
ú	0.72284	0.00421521	0.213392	0.0068524	0.0277292	0.0044518	0.0205198
ó	0.12922	0.0111631	0.6651	0.11599	0.0405124	0.00392544	0.0340895
d	0.0298532	0.00511197	0.151841	0.631903	0.1519	0.0067288	0.0226611
i	0.00314489	0.000218383	0.0211143	0.858675	0.0615803	0.00592173	0.0493449
m	0.0303799	0.000593895	0.0690613	0.56129	0.263585	0.0300909	0.0449989
í	0.0155374	0.000311786	0.0551167	0.164487	0.262762	0.134912	0.366872
b	0.0138087	0.00184782	0.0356998	0.0279581	0.364727	0.462884	0.0930751
v	0.0061411	0.000802029	0.00411259	0.00967062	0.0463968	0.873953	0.0589235
ú	0.000252853	0.000267752	0.000436998	0.00246415	0.0135158	0.962264	0.0207983
m	0.00128778	7.93678e-05	0.00216627	0.00677717	0.118492	0.763885	0.107312
á	0.0203527	0.000271911	0.0137432	0.00544631	0.185689	0.601577	0.172919
</S>	0.0271435	0.00226874	0.0149418	0.014475	0.188411	0.411893	0.340866
