 	nous	avons	une	réunion	aujourd'	hui	</S>
b	0.890382	0.0675852	0.0135969	0.00874664	0.0133271	0.00375511	0.00260693
í	0.849928	0.105587	0.0253895	0.00703331	0.0107182	0.000639146	0.000705035
s	0.988965	0.00824987	0.00151794	0.000757626	0.000132756	1.20087e-05	0.000365357
í	0.769726	0.133524	0.01915	0.0590616	0.00646173	0.000185394	0.0118914
l	0.0517153	0.193665	0.116128	0.0149153	0.0193209	0.00268097	0.601575
e	0.00440945	0.217831	0.146366	0.0511316	0.0169234	0.000978867	0.56236
d	0.00114307	0.849352	0.121923	0.02061	0.000686058	7.50355e-06	0.00627905
í	0.00186085	0.359739	0.479463	0.132661	0.00446224	0.000378648	0.0214356
l	0.00422485	0.28519	0.411029	0.131766	0.0807272	0.00779428	0.0792686
e	0.00557667	0.105193	0.231426	0.268966	0.220184	0.00831779	0.160337
y	0.000321253	0.00726836	0.131061	0.619177	0.195462	0.00630457	0.0404063
ú	5.00965e-05	0.00237532	0.182176	0.767902	0.0360183	0.00137066	0.0101076
m	0.00126469	0.00105526	0.118589	0.477025	0.192501	0.0199302	0.189634
b	0.00698024	0.00236234	0.037907	0.301319	0.285316	0.179853	0.186263
u	0.0422399	0.00150782	0.0332703	0.412218	0.259447	0.0124963	0.238821
p	0.000144041	0.000728445	0.012463	0.0364934	0.634055	0.118057	0.198059
á	0.00141074	7.52465e-05	0.000726834	0.00172181	0.0899446	0.877005	0.0291159
b	0.00232096	0.000275342	0.000462034	0.00169993	0.0380453	0.941021	0.0161756
h	0.00232004	4.98016e-05	0.00180908	0.00390071	0.322422	0.517877	0.151622
a	0.000771804	0.000554429	0.00649875	0.0236381	0.149713	0.51323	0.305594
</S>	0.000151598	0.00079322	0.010027	0.0149908	0.0952219	0.075465	0.803351
