 	dans	leur	maison	les	choses	sont	en	désordre	</S>
s	0.642988	0.238388	0.0497684	0.0233093	0.0208501	0.0149593	0.00564237	0.0028676	0.00122643
á	0.316179	0.45691	0.11733	0.0356885	0.0363563	0.0173769	0.00893352	0.00497999	0.00624584
n	0.226182	0.595361	0.154152	0.00442511	0.0121716	0.00128553	0.000938656	0.00448942	0.000994774
d	0.027312	0.483658	0.453089	0.00705027	0.00132099	0.00244286	0.000444095	0.000608613	0.0240745
é	0.0871653	0.20683	0.674688	0.00450446	0.00568814	0.00126476	0.000587684	0.00130874	0.0179622
e	0.155489	0.133503	0.380869	0.147758	0.0775626	0.0331727	0.0332917	0.018244	0.0201102
y	0.165948	0.0994599	0.18311	0.211444	0.0674289	0.0896537	0.0479707	0.00358795	0.131398
á	0.319678	0.289417	0.150233	0.0875122	0.0736958	0.0290537	0.0104568	0.00609446	0.0338589
b	0.147721	0.718856	0.0470896	0.0211913	0.0495558	0.00459549	0.00296073	0.00277936	0.00525099
á	0.0727711	0.871671	0.00962003	0.0357755	0.00508434	0.00263198	0.00104027	0.00101091	0.000395181
a	0.0521665	0.84307	0.00445519	0.0700851	0.0237033	0.00395531	0.00147105	0.000121896	0.000971178
m	0.0131561	0.00846417	0.0133867	0.445415	0.143804	0.266397	0.0738643	0.000541283	0.0349708
y	0.104632	0.0407292	0.0043904	0.176615	0.321798	0.237228	0.0669813	0.00416822	0.0434577
e	0.0673051	0.01105	0.00859705	0.152077	0.142769	0.288951	0.164892	0.0681795	0.0961794
r	0.0569807	0.024444	0.00515509	0.0705254	0.0622922	0.106417	0.0949929	0.346049	0.233144
é	0.0539318	0.206385	0.0853978	0.0765961	0.0799935	0.0526017	0.0270173	0.236013	0.182063
í	0.0175465	0.0173041	0.0112274	0.172031	0.065095	0.36599	0.215523	0.038964	0.0963184
d	0.00881474	0.000881018	0.0030564	0.0523547	0.0108217	0.220393	0.511045	0.0399605	0.152673
í	0.00432028	0.0003405	0.000217444	0.0177167	0.000843143	0.157273	0.187874	0.0179836	0.613432
o	0.00403974	0.00225802	0.000904161	0.0282505	0.00543467	0.111955	0.264753	0.210016	0.372389
t	0.0111413	0.00411672	0.0013152	0.0112569	0.00235843	0.025245	0.3313	0.542468	0.0707981
s	0.00104319	0.000116147	0.000374893	0.00758186	0.00555902	0.024086	0.0663814	0.831362	0.063495
a	0.0069709	0.000543504	0.000342185	0.00777038	0.0323416	0.02372	0.0701736	0.836913	0.0212249
</S>	0.00267014	0.000709006	0.00021674	0.00535634	0.00430609	0.0331623	0.0950318	0.445787	0.412761
