 	quand	le	père	te	parle	tu	dois	rester	calme	</S>
t	0.397864	0.329068	0.251105	0.0114689	0.00256172	0.00602517	0.00108817	0.000180716	0.000551183	8.65529e-05
á	0.132486	0.0520165	0.765368	0.0193833	0.0089566	0.00852207	0.00762686	0.00137952	0.0027065	0.00155455
á	0.0245514	0.0609238	0.752065	0.034398	0.01249	0.0121734	0.0370036	0.00537402	0.00410068	0.0569199
w	0.151428	0.306279	0.426153	0.0340779	0.0097042	0.0142854	0.00590083	0.010502	0.00644758	0.035222
á	0.0972777	0.187752	0.0681703	0.256253	0.0536129	0.135723	0.0647582	0.0274689	0.0059356	0.103049
á	0.072074	0.134257	0.592875	0.0761204	0.0188182	0.0162329	0.00475513	0.00566335	0.00635707	0.0728466
l	0.200852	0.164684	0.0970534	0.167261	0.179344	0.0279591	0.0275195	0.057095	0.0245962	0.0536355
á	0.184987	0.128732	0.053341	0.16913	0.09262	0.0699966	0.0293654	0.0457122	0.0213397	0.204777
a	0.0905233	0.346826	0.0361561	0.190348	0.122896	0.0677315	0.0138175	0.0159934	0.0143249	0.101383
t	0.0319643	0.0337933	0.0217143	0.237717	0.455329	0.0717337	0.0748987	0.0278911	0.0180208	0.0269381
i	0.00123298	0.00519865	0.00513307	0.0215395	0.696795	0.0146986	0.128466	0.0308406	0.0412257	0.0548701
á	0.00332696	0.016243	0.0100392	0.0879791	0.560386	0.0239846	0.08282	0.0251244	0.0228533	0.167244
l	0.0199419	0.0641492	0.00601485	0.262982	0.171002	0.319868	0.0752096	0.0214765	0.0151447	0.0442117
a	0.0201042	0.0252119	0.000923207	0.0940828	0.348778	0.16947	0.129851	0.0365233	0.0461579	0.128898
n	0.0108246	0.0528681	0.00773953	0.203448	0.175158	0.356124	0.118064	0.0191254	0.0184751	0.0381733
ω	0.0180623	0.0304058	0.00249363	0.368432	0.025246	0.495795	0.0207026	0.00270412	0.00649716	0.029661
k	0.00175773	0.00748242	0.00467022	0.21093	0.155796	0.442853	0.107467	0.0353573	0.00908241	0.0246035
á	0.0137956	0.0221853	0.000903574	0.045266	0.354772	0.113793	0.37028	0.0274238	0.0218271	0.0297527
a	0.00342495	0.0203329	0.0122081	0.0480125	0.201377	0.102402	0.372321	0.0659833	0.0345106	0.139427
o	0.00193187	0.00438565	0.00087785	0.0112605	0.0216615	0.118661	0.195461	0.433215	0.135501	0.0770444
d	0.0189007	0.027931	8.11246e-05	0.00443041	0.0112181	0.0140921	0.0942743	0.621153	0.188178	0.0197418
i	0.00908116	0.005536	9.05511e-05	0.00160442	0.0025798	0.00793969	0.0582002	0.344292	0.120848	0.449828
d	0.00296385	0.00360429	2.27117e-05	0.00434454	0.00125272	0.0115982	0.0470273	0.310895	0.410085	0.208206
z	0.0086225	0.00301151	0.000249176	0.00313245	0.00055907	0.0245359	0.0518877	0.179029	0.331176	0.397796
ó	0.00169252	0.0016378	0.00148762	0.00473475	0.000740629	0.0160504	0.0893599	0.179676	0.6399	0.0647201
o	0.000242721	0.000331866	6.18226e-05	0.00162214	0.00431751	0.00505392	0.0575932	0.112642	0.70377	0.114364
</S>	0.000223	0.000406094	4.12573e-06	0.000201967	0.000275216	0.000941989	0.00386172	0.0834602	0.492786	0.417839
