 	la	douleur	au	ventre	entraîne	la	diarrhée	</S>
o	0.526621	0.327721	0.0677934	0.0329436	0.0289473	0.0131358	0.000236187	0.00260157
l	0.220597	0.436987	0.178454	0.0486611	0.0140364	0.0108471	0.0421445	0.0482722
a	0.10161	0.245106	0.175174	0.0638051	0.158906	0.0123767	0.0755677	0.167454
n	0.149721	0.222529	0.226543	0.0378657	0.146481	0.0184064	0.0599452	0.138509
d	0.188468	0.264332	0.192409	0.0451405	0.0502079	0.00918675	0.00484307	0.245412
i	0.376051	0.0972644	0.129781	0.0753819	0.0415606	0.0100594	0.00647934	0.263422
m	0.12442	0.0619449	0.520352	0.0756985	0.124982	0.0379239	0.00151888	0.0531599
á	0.537676	0.0644839	0.187285	0.120647	0.0221805	0.0307117	0.00330372	0.0337116
i	0.250507	0.256817	0.197683	0.161261	0.0472262	0.0237068	0.0140536	0.0487449
f	0.029045	0.0138039	0.176632	0.376056	0.2164	0.0401164	0.0206644	0.127282
ú	0.00942748	0.0109284	0.1067	0.1818	0.634775	0.0170926	0.00820729	0.0310695
n	0.0213706	0.0101941	0.0945714	0.733063	0.0828176	0.021552	0.00897832	0.0274527
d	0.0172137	0.00868348	0.0601891	0.763328	0.0321438	0.0197158	0.00865545	0.090071
ú	0.0857479	0.0175952	0.034256	0.80746	0.0242076	0.0114169	0.00703255	0.0122843
m	0.031729	0.0168333	0.134554	0.231381	0.410338	0.134918	0.00514888	0.0350977
ó	0.059938	0.0180774	0.124404	0.262884	0.108426	0.137646	0.0389583	0.249667
o	0.0245662	0.0233165	0.0566124	0.148687	0.329318	0.152281	0.222569	0.0426501
y	0.0106582	0.00449106	0.0220232	0.0278372	0.521013	0.155677	0.140147	0.118154
a	0.0110803	0.00904064	0.031689	0.0138829	0.0999683	0.183899	0.476518	0.173922
á	0.00272246	0.00150914	0.00992553	0.0259588	0.0957454	0.102532	0.114363	0.647244
l	0.00664969	0.00411884	0.0170813	0.0287997	0.0936951	0.355864	0.249024	0.244767
i	0.00991821	0.00355975	0.0125204	0.0146151	0.0743262	0.131468	0.383944	0.369648
n	0.0015894	0.00157829	0.00593074	0.0131089	0.0665912	0.19496	0.288471	0.427771
y	0.000585654	0.00128846	0.000692649	0.00377039	0.000860186	0.00854533	0.952474	0.0317831
a	0.000282463	0.00074649	0.000268635	0.00108387	0.000429491	0.0037677	0.965191	0.0282301
a	0.000451461	0.000807992	0.0036961	0.0355378	0.0198406	0.0669157	0.484186	0.388564
</S>	0.000666213	0.000563936	0.00714061	0.0198856	0.0171863	0.175062	0.0891055	0.69039
