 	la	manière	de	marcher	à	quatre	pattes	de	cet	enfant	est	très	lente	</S>
e	0.36264	0.291683	0.170459	0.0637538	0.0742343	0.015145	0.00586471	0.00675787	0.00334586	0.00287805	0.00195115	0.000438421	1.4694e-05	0.000834246
k	0.0213199	0.0498463	0.0580598	0.0897494	0.427318	0.132462	0.16048	0.027835	0.0228611	0.00124501	0.00213048	0.00347209	0.00206411	0.00115727
ω	0.0243431	0.0238643	0.0124076	0.00592343	0.0857781	0.00238594	0.799854	0.0232039	0.015893	0.000608849	0.00123003	0.00255794	0.0010465	0.000903524
n	0.0140955	0.0877888	0.0324652	0.043741	0.400523	0.0249418	0.219102	0.0697335	0.0737661	0.00873503	0.00479354	0.0125752	0.00383401	0.00390561
í	0.174666	0.212748	0.0193313	0.0418294	0.127154	0.0423697	0.148392	0.0576103	0.034985	0.0153227	0.00780778	0.00509326	0.0016176	0.111072
í	0.280176	0.271149	0.137285	0.0252548	0.162435	0.0143968	0.00787837	0.0265204	0.0182676	0.0190615	0.0130972	0.00233769	7.61108e-05	0.0220649
l	0.0908585	0.011542	0.0373169	0.0212578	0.19542	0.208321	0.126442	0.0617269	0.0346752	0.00689718	0.06691	0.0842312	0.0216191	0.0327821
í	0.116647	0.041591	0.0948307	0.0170682	0.0696049	0.0511357	0.0376794	0.0711229	0.0233781	0.0140862	0.104028	0.1027	0.0253755	0.230752
y	0.190133	0.0884645	0.277245	0.0392594	0.109788	0.0212266	0.0237889	0.0359081	0.0426665	0.0351593	0.0204449	0.0338055	0.007223	0.0748866
á	0.105531	0.0418803	0.23451	0.0439898	0.184502	0.0694209	0.0479439	0.0460997	0.0600937	0.0127317	0.026745	0.0433204	0.0496804	0.033551
m	0.167918	0.0239382	0.183164	0.134639	0.170489	0.100387	0.0441982	0.0273067	0.0611813	0.0258315	0.00607169	0.0175774	0.0198132	0.0174843
w	0.0330706	0.00344719	0.0215539	0.0599033	0.119909	0.606976	0.0055769	0.0152545	0.0195284	0.108984	0.00396354	0.00112774	5.24662e-05	0.000652587
á	0.00134253	0.00182646	0.00681096	0.17525	0.0606319	0.140512	0.0246799	0.0160599	0.015589	0.552481	0.00192922	0.00040788	0.000495943	0.00198327
n	0.124596	0.00796063	0.0508911	0.252922	0.0692158	0.145892	0.00373327	0.00710338	0.0147833	0.315925	0.003973	0.00027401	1.57945e-05	0.00271525
a	0.0478496	0.0266762	0.103728	0.260797	0.123282	0.230853	0.0108994	0.0154479	0.0487415	0.0970253	0.00557405	0.0050256	0.000302125	0.0237976
w	0.0639605	0.014935	0.209373	0.0220892	0.200809	0.0893289	0.0802269	0.111105	0.100601	0.0271386	0.042263	0.0323314	0.00102046	0.00481783
ó	0.037704	0.0337811	0.130953	0.049246	0.270898	0.0428525	0.136989	0.0950335	0.0824518	0.0163839	0.0584024	0.0230602	0.000508459	0.0217366
é	0.00795429	0.00215954	0.0334384	0.00382894	0.0684064	0.0363838	0.145153	0.386175	0.154023	0.0183926	0.072252	0.0445445	0.00309787	0.0241895
d	0.00335775	0.0025689	0.00916031	0.00335161	0.0594154	0.0943002	0.224783	0.243655	0.110541	0.0205972	0.145267	0.0717929	0.00861918	0.00259014
í	0.00131424	0.00305312	0.00729471	0.00366718	0.0472863	0.0876113	0.13583	0.304261	0.0671029	0.0107004	0.110576	0.159118	0.0411346	0.0210498
l	0.00498546	0.00176908	0.00963356	0.0075769	0.0387413	0.0789401	0.056998	0.265899	0.147419	0.0456271	0.080246	0.178751	0.0623028	0.0211109
o	0.00377328	0.00283224	0.00651658	0.00364492	0.0139432	0.0306507	0.0228945	0.180965	0.115546	0.0204814	0.168601	0.23946	0.071649	0.119042
d	0.00187721	0.000760541	0.00286231	0.00267316	0.00785035	0.0144417	0.0868853	0.122493	0.149734	0.0440298	0.0755989	0.117779	0.34085	0.0321651
í	0.000369961	0.00118378	0.000866219	0.000347057	0.00695478	0.00665758	0.0380829	0.0505835	0.0667013	0.0123081	0.0435196	0.12774	0.630442	0.0142437
n	0.000506994	0.000223071	0.000669904	0.00101359	0.00430425	0.0146366	0.00816971	0.0284721	0.034715	0.0990835	0.128813	0.101522	0.521158	0.0567123
g	0.00121875	0.00128166	0.00290357	0.0046752	0.00776081	0.043985	0.0316653	0.0970392	0.0888488	0.056326	0.1345	0.244586	0.212845	0.0723639
á	0.000567753	0.00129358	0.00357163	0.00978022	0.00526324	0.0244563	0.0156713	0.0944168	0.108331	0.0451885	0.0444785	0.136954	0.276875	0.233153
</S>	0.00300907	0.00076745	0.00296367	0.000780112	0.00737795	0.0103539	0.00410905	0.0553039	0.091817	0.0285767	0.180483	0.305759	0.119531	0.189169
