 	akumé	n'	arrive	plus	à	marcher	à	cause	des	chiques	qui	l'	ont	infecté	</S>
a	0.697944	0.291198	0.00293806	0.00112901	0.0023767	0.00098357	0.00158665	0.000723173	0.000541163	0.000276404	6.81337e-05	0.000162429	3.64107e-05	3.46185e-05	1.61753e-06
k	0.478123	0.503812	0.0100263	0.00259655	0.000406506	0.000193063	0.000574177	0.000689662	0.000421003	0.00117012	0.000224641	0.000285944	0.00024946	0.000743981	0.00048283
u	0.321832	0.648791	0.00718383	0.00642523	0.000796849	8.67797e-05	0.00174367	0.00321523	0.00109564	0.00216775	0.000758431	0.000653827	0.000954973	0.000786886	0.0035084
m	0.199849	0.538064	0.0770317	0.0673482	0.0166624	0.00328829	0.0128927	0.030647	0.00899906	0.0120365	0.00251971	0.00370759	0.00370283	0.00983891	0.0134118
é	0.596798	0.232414	0.0683105	0.00792467	0.00901667	0.0048632	0.00927353	0.00833082	0.00996822	0.00770554	0.00929918	0.00637129	0.00473267	0.00444797	0.0205439
á	0.117424	0.0924935	0.657429	0.0738247	0.0234054	0.00366386	0.00958631	0.00418921	0.00349724	0.000849427	0.001713	0.00101857	0.00216474	0.00030519	0.00843583
m	0.029446	0.0462972	0.335126	0.341997	0.094116	0.0180235	0.0391327	0.027513	0.0135621	0.0042294	0.00304887	0.00505404	0.0107632	0.00319943	0.0284915
i	0.0149065	0.0354746	0.189745	0.354574	0.240883	0.052346	0.0547441	0.0242025	0.0119248	0.00305323	0.00223056	0.00251096	0.0036668	0.00191101	0.0078271
k	0.00489277	0.0104663	0.0522486	0.768651	0.0961608	0.0145151	0.0191259	0.0182902	0.00265161	0.00181961	0.000465376	0.000484255	0.00099046	0.00146171	0.00777602
ώ	0.00627685	0.00789583	0.0466471	0.783253	0.0559043	0.00185956	0.0385548	0.0312998	0.00480543	0.0067779	0.0015312	0.000768302	0.00104314	0.00114443	0.0122385
n	0.0140753	0.0446764	0.109029	0.42186	0.149408	0.0161606	0.0958989	0.0534976	0.0225487	0.0199133	0.00576151	0.00794186	0.00369678	0.01358	0.0219519
d	0.0243896	0.0430131	0.09879	0.368946	0.152828	0.0454714	0.0899289	0.03082	0.0433782	0.0215968	0.0165791	0.0194336	0.00952792	0.0105915	0.0247066
ώ	0.0709385	0.069785	0.151375	0.173413	0.203309	0.0841757	0.0415064	0.00634509	0.0301665	0.0150875	0.0381564	0.0503505	0.0163072	0.0194358	0.0296479
o	0.00879849	0.00274372	0.0064851	0.0260054	0.194051	0.351775	0.231162	0.037326	0.0536367	0.0278494	0.0205009	0.0147426	0.00776866	0.00835916	0.00879471
b	0.0162385	0.00881894	0.00319997	0.0367615	0.110855	0.114094	0.3375	0.262648	0.0479315	0.0344116	0.00531009	0.00309308	0.0031731	0.0115297	0.00443552
h	0.0122733	0.0157399	0.00734052	0.0642474	0.116221	0.0629996	0.239064	0.304432	0.0465728	0.0676482	0.00564165	0.00409471	0.00738211	0.0284534	0.0178886
é	0.00292042	0.00165999	0.00239271	0.117318	0.141866	0.0614095	0.197211	0.344405	0.042371	0.0321145	0.00520918	0.00436392	0.00691698	0.0181993	0.0216419
m	0.00205438	0.000959796	0.0075453	0.105714	0.164571	0.0858941	0.267268	0.197514	0.0730951	0.0256079	0.0235854	0.00768929	0.0065401	0.00592128	0.0260398
b	0.00428627	0.00310117	0.00234453	0.00504451	0.0480708	0.106019	0.174957	0.242844	0.187812	0.038608	0.0987512	0.0382063	0.0129606	0.00500267	0.0319915
a	0.00824846	0.00607311	0.00365081	0.0128111	0.0872461	0.232174	0.0917845	0.148121	0.143474	0.111484	0.0552926	0.0303023	0.011519	0.0237136	0.0341057
m	0.00190173	0.00154596	0.00302477	0.0093435	0.0266915	0.0305473	0.184298	0.197327	0.285962	0.121036	0.0667143	0.0295996	0.0173503	0.00814699	0.0165108
b	0.00237589	0.00279106	0.00205142	0.00160348	0.00882714	0.018074	0.0678291	0.131718	0.206943	0.0491186	0.149	0.137886	0.0962267	0.0214824	0.104074
é	0.00232014	0.00184496	0.00120634	0.00306133	0.02602	0.0887095	0.0512584	0.145113	0.2056	0.0904506	0.0659138	0.111493	0.0812507	0.096623	0.0291347
á	0.00185488	0.00087557	0.00104902	0.006992	0.0256758	0.0457752	0.0796845	0.168096	0.235763	0.145937	0.0758163	0.0618062	0.0575439	0.0351932	0.0579374
l	0.000736138	0.000756815	0.00494065	0.00830612	0.00974271	0.0147661	0.0279623	0.0563165	0.138334	0.0661618	0.228764	0.165435	0.168581	0.0438565	0.0653395
i	0.00170929	0.000629074	0.0023674	0.00668498	0.00426503	0.0026519	0.0108188	0.021829	0.0329894	0.0555852	0.19417	0.131457	0.106377	0.053112	0.375355
k	0.000395619	0.00016771	0.00094457	0.00199405	0.00317444	0.0017537	0.00948267	0.0191148	0.0551453	0.10703	0.20879	0.229558	0.129865	0.104452	0.128133
i	0.000314863	0.00039174	0.000450657	0.00499285	0.00158459	0.000288459	0.00845069	0.0303881	0.0167253	0.643142	0.027635	0.0314316	0.0435984	0.138526	0.0520795
l	0.0004005	0.000117098	0.000284018	0.00280803	0.00164983	0.000814028	0.0116939	0.0482062	0.0262436	0.393282	0.0357693	0.0433219	0.0668419	0.166155	0.202413
í	0.000134086	0.000343314	0.000558247	0.00413786	0.00161992	0.00109176	0.0107634	0.0300539	0.0508673	0.337844	0.120482	0.0952838	0.0920962	0.109568	0.145156
b	0.000501259	0.000692872	0.00389025	0.00221877	0.00363095	0.00233646	0.0130028	0.0136635	0.0472854	0.0223761	0.175796	0.16917	0.279735	0.0590394	0.20666
á	0.001022	0.000910654	0.000850756	0.00450512	0.00229038	0.00207184	0.00842116	0.0124068	0.0259378	0.0246112	0.0460726	0.0815068	0.223289	0.274173	0.291931
k	0.00123411	0.000618698	0.000673468	0.0013375	0.00170453	0.00229382	0.00179811	0.00234012	0.0129216	0.0454182	0.0465118	0.0668501	0.156031	0.522839	0.137428
á	0.00276478	0.000566278	0.000103158	0.000777824	0.000428482	0.00023347	0.00134365	0.00331692	0.0058996	0.148871	0.0184115	0.0246743	0.109649	0.509249	0.173712
n	0.0018366	0.000247204	0.000229679	0.00152853	0.00061432	0.000282611	0.00235275	0.00702206	0.00934091	0.0886138	0.0213733	0.0249406	0.107044	0.365434	0.36914
d	0.000391098	0.000763392	0.000928339	0.00563666	0.00261296	0.00194454	0.00541886	0.0128828	0.0242206	0.0658571	0.055794	0.120805	0.142385	0.41128	0.149079
z	0.000550383	0.00183062	0.00629471	0.00689999	0.00357025	0.00250002	0.0079232	0.0120307	0.0419888	0.103456	0.132842	0.192695	0.0841168	0.322252	0.0810504
a	0.000175726	0.00035675	0.000307767	0.00108989	0.000772098	0.00206144	0.00176009	0.00446866	0.0160266	0.636729	0.0761633	0.0737069	0.0158937	0.117362	0.0531263
</S>	0.000341169	0.00136369	0.00368719	0.00313572	0.00409404	0.00287568	0.0115569	0.0137712	0.0578082	0.0410618	0.0863314	0.120323	0.107235	0.210195	0.33622
