 	tu	feras	attention	à	la	viande	qui	est	sur	le	feu	</S>
o	0.505718	0.22788	0.0135389	0.0175663	0.0158214	0.127422	0.0384149	0.00377965	0.00877178	0.0381603	0.00242291	0.000503275
t	0.0880527	0.505748	0.22542	0.0516408	0.0187585	0.0194736	0.0131991	0.00707862	0.013873	0.0111005	0.00516028	0.0404952
á	0.00133374	0.116236	0.44588	0.166853	0.0240688	0.0354136	0.033573	0.026646	0.0759466	0.0327628	0.00471581	0.0365716
á	0.0089523	0.30335	0.278256	0.0889126	0.0162384	0.00533018	0.0130442	0.0247881	0.0427231	0.019384	0.0117656	0.187255
n	0.188255	0.0427282	0.184927	0.201323	0.11824	0.107592	0.0435967	0.0244073	0.0170097	0.0158998	0.0102444	0.0457774
y	0.055611	0.00343124	0.0133795	0.0751532	0.118463	0.531308	0.108792	0.00747883	0.00431455	0.00766586	0.0240598	0.0503426
a	0.110244	0.0092176	0.0358236	0.0479195	0.0324344	0.664114	0.0462224	0.00807219	0.00911462	0.00597709	0.00939733	0.0214636
m	0.00152014	0.00737153	0.0475837	0.150164	0.118158	0.303713	0.199342	0.0422959	0.0328879	0.057802	0.00979187	0.0293697
a	0.00585446	0.00309562	0.0208039	0.185321	0.232249	0.319879	0.137917	0.0291843	0.0211534	0.0132047	0.018723	0.0126142
y	0.00235557	0.00211368	0.0470653	0.0890061	0.125008	0.150382	0.296087	0.11319	0.0447239	0.0673369	0.0211598	0.0415719
é	0.000170945	0.00114136	0.0208085	0.0534142	0.0714271	0.283085	0.332185	0.152453	0.0335367	0.0256137	0.0138923	0.012272
é	0.000308784	0.000291125	0.00407184	0.0281349	0.0629482	0.268685	0.409421	0.0945891	0.0298187	0.0504667	0.0229765	0.0282879
d	0.000118506	0.000467777	0.0101215	0.0242841	0.0151883	0.00569646	0.0479214	0.334875	0.306477	0.128423	0.0633909	0.0630357
i	4.78628e-05	5.42174e-05	0.000880348	0.0135157	0.0126429	0.00676405	0.0141003	0.179705	0.511213	0.0831273	0.0465104	0.131439
m	9.04921e-05	4.12618e-05	0.0013541	0.0271985	0.0412133	0.0213464	0.0374325	0.144959	0.330002	0.265712	0.0826412	0.0480098
ó	5.65543e-06	9.37765e-06	0.00125905	0.0204869	0.0381254	0.0333987	0.0397222	0.161111	0.185156	0.174119	0.269339	0.0772688
m	0.000100138	6.84665e-05	0.00220542	0.00778135	0.0129002	0.0177727	0.0347587	0.0455528	0.102379	0.274563	0.413483	0.0884344
í	2.86248e-06	4.91283e-06	0.000115075	0.0029075	0.00835947	0.00497039	0.00403584	0.0225876	0.0375728	0.0662676	0.815872	0.037304
á	4.97496e-05	6.93477e-05	0.00188028	0.00927508	0.0267474	0.00493616	0.0127154	0.0320632	0.0709378	0.240844	0.435736	0.164745
</S>	0.000163125	0.000446593	0.00362212	0.00630735	0.00476005	0.00173886	0.00903682	0.0291063	0.0908701	0.205529	0.244802	0.403618
