 	cette	jeune	fille	a	des	cheveux	touffus	</S>
m	0.643161	0.3403	0.00319547	0.00426608	0.00366915	0.000714498	0.00419264	0.000501408
w	0.0183231	0.851649	0.127773	0.000756694	0.0010682	0.000275762	3.45902e-05	0.000119871
á	0.00709586	0.960326	0.0321252	6.07266e-05	0.000258543	6.7248e-05	5.41316e-05	1.23308e-05
n	0.245707	0.725263	0.0200685	0.00238816	0.000948866	0.000164185	0.00014761	0.00531306
a	0.0473241	0.540593	0.317395	0.0161315	0.0157851	0.00767754	0.000117645	0.0549757
o	0.929371	0.0334373	0.017282	0.00770562	0.0029684	0.00201973	0.00371237	0.00350326
y	0.287729	0.043788	0.381636	0.233521	0.0223898	0.0108352	0.012063	0.00803844
ú	0.445025	0.0630841	0.351503	0.0618581	0.0325337	0.0373757	0.00262357	0.00599667
r	0.904716	0.0203729	0.0162204	0.0166827	0.0123089	0.0100241	0.00246606	0.0172093
u	0.957186	0.00395977	0.00531974	0.00773063	0.00823653	0.013621	0.00106079	0.00288592
w	0.0499025	0.0104083	0.0628825	0.714065	0.0503639	0.057464	0.00793787	0.0469759
ó	0.159294	0.00535181	0.0215381	0.426626	0.158449	0.10643	0.00540392	0.116907
a	0.0704053	0.00358534	0.0238678	0.645694	0.0508359	0.0641272	0.00525618	0.136228
d	0.00607364	2.73313e-05	0.010843	0.567565	0.2272	0.151871	0.0169766	0.0194436
í	0.01346	0.00131261	0.051363	0.289461	0.277836	0.206226	0.00589488	0.154447
l	0.0382309	0.00255121	0.00765763	0.0710659	0.147562	0.179573	0.338803	0.214556
a	0.00200218	0.00049141	0.00122403	0.101089	0.344626	0.233721	0.0736788	0.243168
s	0.0131425	0.00125645	0.00108994	0.0269381	0.145959	0.112252	0.567908	0.131453
u	0.0271465	0.00166778	0.00723411	0.00899118	0.0985853	0.741362	0.0818863	0.0331272
é	0.0308918	0.00110681	0.00530454	0.0101372	0.0430704	0.472518	0.242288	0.194684
k	0.00153887	4.20558e-05	0.000513278	0.0148392	0.0541757	0.177978	0.419573	0.33134
a	0.000989517	6.62268e-05	5.88708e-05	0.0113584	0.0472028	0.0239092	0.767683	0.148732
s	0.00601006	0.000969682	0.0001445	0.0141147	0.0357239	0.0121292	0.442223	0.488685
ó	0.0228587	8.29524e-05	0.000339751	0.0211509	0.110742	0.052472	0.650354	0.142
o	0.0127211	9.49885e-05	0.000228467	0.0160561	0.027249	0.0256579	0.293649	0.624344
</S>	0.0225665	0.000864091	0.0134168	0.0622474	0.137366	0.0830038	0.404953	0.275582
