 	ils	nous	ont	fait	traverser	la	route	</S>
b	0.984846	0.00972342	0.00299127	0.00135915	0.00059899	0.000283767	0.000189395	7.91259e-06
á	0.989661	0.0044424	0.00179766	0.000806676	0.00117105	0.0020408	6.58888e-05	1.44113e-05
a	0.98394	0.0142167	0.000800106	0.000545732	0.000248478	0.000119167	5.1832e-05	7.76381e-05
á	0.139423	0.312037	0.416024	0.0564875	0.00569001	0.0133178	0.00182325	0.0551967
k	0.0012026	0.0560724	0.349605	0.501944	0.0573496	0.0148382	0.00674927	0.0122381
y	0.000539441	0.0268007	0.093881	0.700929	0.137796	0.0166627	0.00634986	0.0170416
é	0.00331007	0.0330185	0.193529	0.71244	0.0468331	0.0080368	0.0014845	0.00134846
n	0.0217988	0.499466	0.0815824	0.279319	0.0672276	0.0200144	0.0158303	0.0147618
i	0.013377	0.533234	0.153853	0.193352	0.0752897	0.0216195	0.00457266	0.00470313
s	0.0640235	0.743244	0.0957943	0.0246183	0.0164484	0.0366817	0.009034	0.0101563
i	0.000557889	0.190743	0.228582	0.248873	0.151946	0.0959215	0.0382286	0.0451477
b	0.00607489	0.716988	0.191391	0.0159234	0.0110339	0.0456234	0.00493465	0.00803046
í	0.163889	0.308201	0.0486997	0.144818	0.255428	0.0514736	0.0245556	0.0029344
s	0.0566448	0.747678	0.0372399	0.0262063	0.07399	0.0461719	0.00299038	0.00907908
í	2.25561e-05	0.00930294	0.0521887	0.225031	0.305343	0.141475	0.0119013	0.254735
o	0.000104367	0.0058688	0.0531095	0.107494	0.209329	0.436843	0.0887221	0.0985294
p	0.000100965	0.000131912	0.00582602	0.0883717	0.179791	0.254156	0.365268	0.106354
o	1.37866e-05	0.000204922	0.00243715	0.0748488	0.288556	0.178479	0.265132	0.190328
n	2.1606e-05	0.000133088	0.000796527	0.0384297	0.343551	0.134339	0.133297	0.349432
g	0.00136647	0.00173687	0.00746206	0.0829711	0.385234	0.211563	0.0632483	0.246419
a	0.00328079	0.00689841	0.00325393	0.0265241	0.331766	0.159922	0.281108	0.187246
</S>	5.07206e-05	0.00125954	0.00525037	0.00435038	0.0124799	0.166539	0.0991148	0.710955
