 	j'	ai	laissé	un	repas	sur	la	table	</S>
n	0.979248	0.0153869	0.000275368	0.00246127	0.000687274	0.000357467	0.00152127	2.39378e-05	3.83846e-05
g	0.95033	0.0486706	6.21767e-05	0.000549703	6.17255e-05	6.87203e-05	0.000203493	3.85924e-05	1.51708e-05
á	0.90045	0.09659	0.000836702	0.00133603	5.23365e-05	0.000155096	0.000381744	0.000165725	3.18845e-05
í	0.0334283	0.323967	0.026245	0.106629	0.0220789	0.0271823	0.0383075	0.00360995	0.418551
y	0.000847391	0.0223925	0.939517	0.0219919	0.00361914	0.00573383	0.000923829	0.00131157	0.00366286
í	0.00888836	0.0773302	0.858815	0.0157174	0.00216833	0.00355167	0.000937183	0.0193766	0.0132153
i	0.00382882	0.00728421	0.91765	0.0543873	0.00206022	0.0071531	0.0026471	0.00132215	0.00366671
n	0.00654737	0.0643378	0.0670453	0.512218	0.248829	0.0438468	0.0273689	0.00664421	0.0231626
ω	0.0366528	0.348356	0.0362889	0.322948	0.0931891	0.0310065	0.0168757	0.0693968	0.0452865
a	0.00153872	0.00957657	0.0218557	0.402	0.167138	0.219916	0.0736073	0.00392227	0.100446
t	0.000108186	0.00236275	0.0188905	0.18567	0.346758	0.273873	0.125553	0.0203457	0.0264399
ú	0.000177138	0.000785824	0.0308358	0.212816	0.214424	0.3236	0.136708	0.0222268	0.0584265
n	0.000250028	0.000598263	0.0207837	0.225547	0.128825	0.357259	0.219134	0.00555015	0.0420528
g	0.000282161	0.00371727	0.0427603	0.395977	0.0921759	0.270479	0.156311	0.0101356	0.0281613
u	0.00779531	0.0132462	0.0175677	0.224416	0.0282197	0.341479	0.265776	0.0212263	0.0802739
s	9.82329e-05	0.00134673	0.00102578	0.0276256	0.0299589	0.300904	0.560558	0.0102017	0.0682817
a	0.000136061	0.000489237	0.00846096	0.0369851	0.0240226	0.268658	0.413421	0.09264	0.155187
a	0.000310741	0.00115067	0.000524986	0.00426524	0.00923415	0.0655205	0.321857	0.46149	0.135646
m	0.000174336	0.002689	0.0132568	0.0171921	0.0158459	0.177563	0.294431	0.357175	0.121674
ó	5.54714e-06	0.000265668	0.000143442	0.00187953	0.00279687	0.0120683	0.0804396	0.849653	0.0527481
m	5.67418e-06	0.000600155	0.000324483	0.0071604	0.00348729	0.0826925	0.43267	0.389099	0.0839599
é	5.00397e-06	0.000100951	8.87625e-05	0.00103	0.00025184	0.0058441	0.042362	0.919977	0.0303407
s	1.21107e-05	0.00080386	0.000243402	0.00658051	0.00358837	0.0609791	0.536926	0.192721	0.198146
á	4.08669e-05	0.000352311	0.0010934	0.00318077	0.00143893	0.0198935	0.0593858	0.704886	0.209728
</S>	0.000347422	0.000594518	0.000772796	0.0024732	0.0020963	0.0171844	0.0976935	0.129079	0.749759
