 	souffle	pour	que	le	flemme	s'	éteigne	</S>
f	0.630143	0.318517	0.0330061	0.0112311	0.00398155	0.00271156	0.000314021	9.63808e-05
ú	0.429918	0.520762	0.0306657	0.0156009	0.00146825	0.000649043	0.000538343	0.000397938
r	0.530321	0.200018	0.133439	0.0713539	0.0173746	0.004207	0.00263775	0.0406486
á	0.167542	0.295301	0.332915	0.144314	0.035723	0.00686542	0.0013676	0.0159712
o	0.212781	0.271709	0.398231	0.0692484	0.00905628	0.0215921	0.00173637	0.0156465
p	0.0394564	0.155946	0.377557	0.288636	0.100962	0.0199322	0.0117245	0.0057857
ε	0.0745089	0.0411267	0.050978	0.0587493	0.761623	0.00208005	0.00211229	0.00882197
p	0.268678	0.139166	0.11894	0.16113	0.25001	0.00921472	0.00102195	0.0518401
ε	0.0928671	0.0369657	0.0699695	0.0280274	0.76045	0.00266822	0.00144686	0.00760502
b	0.0201737	0.0186459	0.102381	0.266764	0.468449	0.0868034	0.00932582	0.0274569
a	0.0322889	0.110949	0.160307	0.101705	0.395203	0.145594	0.0152698	0.0386843
á	0.0010828	0.00991814	0.0602222	0.0604476	0.0833321	0.483462	0.218354	0.0831811
m	0.00454558	0.00882719	0.0520556	0.054577	0.00319784	0.553493	0.271526	0.0517773
í	0.000653121	0.00880021	0.0141486	0.0254329	0.00607319	0.265897	0.620471	0.0585238
á	0.00129483	0.00303978	0.00866243	0.0164883	0.00801794	0.0991664	0.788	0.0753309
í	0.00606736	0.0107746	0.0420344	0.0334952	0.00367153	0.2126	0.540456	0.150901
d	0.00644443	0.0150278	0.0408881	0.0435738	0.0116234	0.248519	0.557762	0.0761615
í	0.000502891	0.00451111	0.0201949	0.0155561	0.00040038	0.155882	0.554033	0.248919
m	0.000950022	0.00103501	0.00439806	0.00922508	0.00705865	0.0630536	0.65696	0.257319
a	0.00019184	0.00544837	0.00287716	0.0112626	0.00248748	0.0384531	0.863402	0.0758776
</S>	0.000919354	0.00358154	0.0084451	0.0210831	0.0206888	0.0619771	0.465234	0.418071
