 	ils	ont	coupé	tous	les	arbres	</S>
b	0.914886	0.0314662	0.00889999	0.00397212	0.00968464	0.0298817	0.00120929
á	0.95067	0.0237702	0.00483598	0.00100294	0.00490285	0.0145762	0.000241823
a	0.973345	0.0140097	0.00569832	0.000898379	0.00219173	0.00163472	0.00222246
á	0.156911	0.697707	0.0294706	0.0176487	0.0469169	0.00303118	0.0483143
m	0.0134423	0.778341	0.152908	0.0314878	0.0103628	0.00136682	0.0120917
i	0.00527546	0.41501	0.479204	0.0751207	0.0117896	0.000517322	0.0130827
k	0.000803641	0.260339	0.681073	0.0465435	0.00317609	0.00040258	0.00766239
y	0.00012265	0.134051	0.725618	0.120183	0.00233399	0.000738773	0.0169534
é	0.0027824	0.0895426	0.649535	0.21757	0.00792513	0.00246148	0.0301829
n	0.0141127	0.092438	0.349498	0.341061	0.0820919	0.0223196	0.098479
á	0.0679438	0.0478138	0.638366	0.153781	0.0330079	0.0273786	0.0317094
a	0.172306	0.111535	0.190558	0.320401	0.11106	0.0565164	0.0376236
b	0.0026955	0.0296897	0.136364	0.6581	0.0953518	0.0639204	0.013879
v	0.00163162	0.00951904	0.077522	0.238622	0.0384503	0.609434	0.0248212
ú	0.000308005	0.00369604	0.112397	0.134535	0.0449985	0.67754	0.0265251
a	0.00993757	0.00217741	0.0328511	0.240562	0.353446	0.14995	0.211076
á	0.00023242	0.00671266	0.0334838	0.136002	0.330606	0.099444	0.393519
t	0.00227424	0.092091	0.0621038	0.133705	0.466418	0.0271997	0.216208
s	0.00198449	0.0176095	0.0578421	0.334229	0.34178	0.0449017	0.201653
ω	0.000308939	0.0048787	0.0508306	0.248616	0.304681	0.286278	0.104407
</S>	0.000342416	0.00246221	0.0260329	0.099935	0.100564	0.112973	0.65769
