 	les	bananes	sont	mures	</S>
a	0.910208	0.0783486	0.00874775	0.00260427	9.12275e-05
k	0.0689618	0.90206	0.0155565	0.0118084	0.00161356
ω	0.00492651	0.98263	0.00601537	0.00361434	0.0028143
á	0.145875	0.505638	0.28756	0.0336853	0.0272422
d	0.137961	0.0131273	0.668302	0.00667806	0.173931
í	0.013236	0.00177829	0.246822	0.00272954	0.735434
a	0.0987251	0.00340765	0.405084	0.155354	0.337429
b	0.124046	0.00386251	0.27419	0.359536	0.238366
ε	0.00750367	0.00922621	0.0526086	0.883012	0.0476491
n	0.00741332	0.00525376	0.0593519	0.827796	0.100184
g	0.246895	0.0296324	0.289291	0.338237	0.0959451
έ	0.264689	0.00463817	0.0515393	0.660995	0.0181384
b	0.0215859	0.000499283	0.187823	0.646304	0.143788
ε	0.0362588	0.0015055	0.450182	0.370804	0.14125
n	0.0166788	0.0005137	0.0264701	0.856971	0.0993665
g	0.0845444	0.00496593	0.162962	0.65594	0.0915881
ε	0.032555	0.00232797	0.0578739	0.83273	0.074513
</S>	0.0931798	0.000902263	0.226557	0.042923	0.636438
