 	la	mangue	que	tu	as	choisie	était	bonne	</S>
m	0.780986	0.132059	0.0611205	0.0157458	0.00603994	0.0011181	0.000717857	0.00154846	0.00066404
b	0.0679209	0.789596	0.0289251	0.0151339	0.069621	0.00492875	0.00136397	0.00080729	0.0217029
á	0.0461222	0.833603	0.0576434	0.02717	0.0206483	0.00620632	0.00058276	0.00547949	0.00254455
n	0.155447	0.826876	0.00776934	0.00310591	0.00223357	0.000165402	8.46436e-05	0.000151951	0.00416623
g	0.129719	0.677915	0.053056	0.0360601	0.0458106	0.00548241	0.00031085	0.00051844	0.0511273
é	0.214189	0.323387	0.270266	0.0384715	0.0623428	0.0414662	0.00118809	0.00517623	0.043513
y	0.110608	0.0223984	0.449196	0.182186	0.120815	0.0469175	0.0355644	0.00382466	0.0284904
e	0.254414	0.132323	0.37874	0.0869209	0.0746991	0.0488274	0.00884361	0.000562617	0.0146694
e	0.165155	0.0273529	0.532035	0.141601	0.0700417	0.0455053	0.00607527	0.000767255	0.0114663
s	0.0110169	0.0108063	0.0856023	0.0384139	0.144645	0.54919	0.0370898	0.0174621	0.105773
w	0.00233853	0.00139445	0.00517915	0.00315943	0.0411354	0.875935	0.0492152	0.000392124	0.0212509
ώ	0.0347242	0.00606232	0.010084	0.00710981	0.115285	0.772169	0.025712	0.000892446	0.0279616
l	0.00436691	0.00186158	0.145872	0.111946	0.139244	0.512656	0.011919	0.00662208	0.0655129
í	0.0130877	0.00261099	0.104123	0.0531589	0.100509	0.517679	0.00658573	0.0114778	0.190768
n	0.0237558	0.012854	0.182489	0.377376	0.185945	0.0901591	0.0676405	0.0113527	0.0484276
ω	0.0118841	0.0663777	0.0313855	0.576633	0.220273	0.0633078	0.00311757	0.00135265	0.025669
á	0.00173656	0.00379001	0.0901299	0.124411	0.202245	0.305637	0.145991	0.0131894	0.11287
d	0.00674372	0.000345841	0.00962894	0.0117074	0.110584	0.128091	0.593517	0.0892863	0.0500959
z	0.00132985	0.000116329	0.00331748	0.00314048	0.021708	0.0371107	0.338153	0.0168728	0.578252
e	0.00740152	0.000830068	0.019972	0.0134057	0.127709	0.0408178	0.62188	0.00433571	0.163649
ω	0.00996815	0.000686306	0.0326981	0.0954767	0.0779952	0.093198	0.088969	0.194719	0.406289
b	0.000982025	0.000965036	0.00179636	0.00154547	0.00591802	0.043769	0.107481	0.671635	0.165908
v	0.000282478	0.000473241	0.00251774	0.00151423	0.00777744	0.0157291	0.00524261	0.914084	0.0523789
έ	0.00114851	0.000160861	0.00190772	0.00161915	0.0121809	0.0179205	0.00864059	0.927349	0.0290732
</S>	0.000490929	2.66959e-05	0.000624395	0.000895493	0.00407327	0.00527606	0.0123141	0.161735	0.814564
