 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
w	0.979586	0.00971353	0.000899223	0.00372881	0.00507088	0.000533091	0.00041113	5.11639e-05	6.15321e-06
a	0.960462	0.0159896	0.00106364	0.00400108	0.0155208	0.00068198	0.00218423	9.32086e-05	3.88583e-06
a	0.181826	0.725121	0.0376454	0.0105612	0.00422826	0.00903528	0.00370597	0.000157195	0.02772
b	0.0512358	0.864478	0.0494939	0.0168711	0.00431111	0.00257613	0.00296574	0.000740743	0.0073278
é	0.0195693	0.968202	0.0027919	0.00298794	0.00233041	0.000590073	0.00180689	0.000419565	0.00130184
r	0.00199418	0.908208	0.0336864	0.0107775	0.00501772	0.00220301	0.00215893	0.000403547	0.0355507
í	0.0556493	0.122935	0.13296	0.00775309	0.014254	0.0556573	0.0205811	0.000106653	0.590104
a	0.0197137	0.471132	0.349245	0.076075	0.0445105	0.0105025	0.00590284	0.00183111	0.0210873
b	0.00163574	0.119943	0.501292	0.349395	0.0102475	0.00706885	0.00261228	0.00305498	0.00475101
v	0.000351525	0.0902529	0.107661	0.774525	0.00959367	0.00334833	0.00104796	0.0113604	0.0018593
ú	0.000141452	0.0872397	0.0735145	0.751365	0.076582	0.00312088	0.00159378	0.00546383	0.000978573
ε	0.00217851	0.0115253	0.263127	0.647907	0.0249215	0.0243386	0.00474336	0.0128001	0.00845877
m	0.0015968	0.0010205	0.489616	0.393491	0.00382679	0.0604251	0.0197837	0.00570265	0.0245373
b	0.010511	0.00102894	0.216413	0.168308	0.0739037	0.295489	0.0786648	0.00038521	0.155295
ó	0.00144881	0.00144113	0.134947	0.242489	0.506119	0.0769276	0.0166722	0.00126574	0.0186903
s	0.0018382	0.00268667	0.416948	0.299774	0.0807729	0.0843135	0.0187434	0.00325029	0.0916737
i	0.00125256	0.000497051	0.258936	0.0872324	0.0472147	0.386547	0.0421773	0.000448136	0.175695
ω	0.00122272	0.000295566	0.237146	0.0887283	0.0193299	0.456908	0.0741049	0.0059339	0.116331
b	0.000875526	0.00921336	0.204773	0.251619	0.0234492	0.216205	0.093497	0.147599	0.0527686
v	0.000346921	0.026045	0.0335768	0.295777	0.0239955	0.00795621	0.011815	0.587541	0.0129467
έ	0.000111738	0.00496791	0.0249829	0.260639	0.0361323	0.0222451	0.0211682	0.609592	0.0201613
</S>	7.30206e-05	9.91453e-05	0.0174281	0.0166866	0.00622811	0.272722	0.162225	0.02117	0.503368
