 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a	0.784707	0.164342	0.0356001	0.00016163	0.00375556	0.00891223	0.0016247	0.000896358
l	0.0185376	0.968825	0.0090746	0.00126321	0.000394375	0.00060115	0.000855567	0.000448946
ώ	0.00134336	0.994502	0.000515227	0.00056463	0.000296005	9.50297e-05	0.000451532	0.00223207
b	0.0470695	0.73276	0.0409377	0.0101276	0.0217891	0.0347853	0.0424306	0.0701005
h	0.334788	0.103792	0.144249	0.00936527	0.0132931	0.0135962	0.00554182	0.375374
i	0.356494	0.35166	0.0479178	0.00205368	0.0225081	0.0313637	0.00464802	0.183355
á	0.183216	0.0139236	0.717822	0.0220358	0.011583	0.017332	0.00323198	0.0308557
y	0.0107513	0.00430594	0.309289	0.499657	0.0645849	0.0409183	0.018684	0.0518094
ε	0.00850004	0.00131062	0.0206152	0.916281	0.0182851	0.00416256	0.02061	0.0102353
ε	0.0276806	0.0020292	0.0840394	0.496845	0.0738682	0.0385001	0.0445329	0.232505
l	0.0104216	0.000366558	0.0968769	0.412822	0.232268	0.142008	0.0514874	0.0537502
a	0.00492655	0.00141227	0.028223	0.358719	0.190759	0.121128	0.091036	0.203796
a	0.0150236	0.000180408	0.0258936	0.183148	0.225986	0.19487	0.200234	0.154664
s	0.00214731	0.000486107	0.00805045	0.0892075	0.277662	0.184028	0.361898	0.0765212
w	0.000574751	5.56858e-05	0.000852989	0.0908335	0.227365	0.113389	0.506423	0.0605057
é	0.00303459	1.5343e-05	0.00105092	0.0383886	0.183754	0.0948027	0.620574	0.05838
a	0.000292424	1.62354e-05	0.00146844	0.0349363	0.151378	0.178396	0.310032	0.32348
y	0.00398158	8.68245e-05	0.00813953	0.00257481	0.202054	0.339259	0.105287	0.338617
í	0.00548509	9.6655e-05	0.00319962	0.0549369	0.218016	0.279932	0.353028	0.0853052
í	0.00321911	0.000114488	0.00120097	0.00497262	0.0558467	0.144554	0.49614	0.293952
</S>	0.00404587	0.000345243	0.0085344	0.0128983	0.0956195	0.20047	0.265633	0.412453
