 	le	feu	s'	étend	dans	la	savane	</S>
m	0.813186	0.171589	0.006407	0.00271976	0.00365382	0.00177942	0.000502764	0.000163098
í	0.0331908	0.890249	0.059389	0.0106561	0.00228242	0.0016217	0.000310062	0.00230082
á	0.233235	0.748808	0.00610512	0.00652212	0.000661054	0.000464763	0.00236797	0.00183519
b	0.0611275	0.29956	0.556769	0.0471553	0.0064986	0.00387756	0.00282563	0.0221857
ó	0.0193582	0.0211542	0.699417	0.120935	0.063722	0.0173511	0.00750045	0.0505621
m	0.0607021	0.0542165	0.566361	0.132088	0.104921	0.0386089	0.00655825	0.0365451
í	0.0607952	0.0732995	0.456105	0.183139	0.150987	0.0513556	0.00114634	0.0231722
i	0.112391	0.0668966	0.335475	0.309873	0.116277	0.0226839	0.0102072	0.0261964
s	0.00367853	0.00522632	0.140061	0.710686	0.103867	0.0168417	0.00808294	0.0115568
e	0.000572411	0.00275099	0.00487026	0.895015	0.0827592	0.00547945	0.00491657	0.00363643
n	0.00569917	0.00488205	0.0368903	0.763465	0.147917	0.0120003	0.00582946	0.0233166
y	0.0115028	0.00455818	0.0546416	0.689315	0.15052	0.027572	0.00423747	0.057653
έ	0.0031331	0.00132278	0.0205955	0.610601	0.108203	0.0138265	0.0100741	0.232244
έ	0.00537613	0.000468488	0.0358882	0.165552	0.427097	0.249136	0.0849624	0.0315202
s	0.00240104	0.00104459	0.00661902	0.0154821	0.236908	0.523406	0.205765	0.00837426
ó	0.0020047	0.00140208	0.00218282	0.0549085	0.41718	0.288875	0.163272	0.070174
l	0.00107777	0.000309209	0.00173324	0.014317	0.0602166	0.0864004	0.804895	0.031051
ω	0.000545015	0.000256831	0.00269478	0.0309089	0.116064	0.113125	0.677342	0.059063
n	0.000261949	0.000218817	0.00296472	0.0170303	0.0436443	0.0627787	0.610403	0.262698
g	0.00339835	0.00277343	0.00455448	0.0397809	0.0323526	0.0809585	0.553261	0.282921
ώ	0.00539303	0.00384198	0.00121373	0.0305309	0.00986936	0.028052	0.488571	0.432528
</S>	0.00144174	0.00118965	0.00244407	0.00833437	0.0266612	0.0427966	0.301051	0.616082
