 	cette	manière	de	couper	les	arbres	détruit	la	hache	</S>
e	0.0974387	0.727408	0.129069	0.0385933	0.00593248	0.000711483	7.78078e-05	0.000315587	7.37222e-05	0.000379214
k	0.00795243	0.0210522	0.0369642	0.57546	0.210831	0.0500659	0.0687636	0.0108672	0.0169249	0.00111869
y	0.00990748	0.00723662	0.0126125	0.629112	0.107298	0.0231766	0.13716	0.00317515	0.0678774	0.00244434
é	0.00105798	0.0263946	0.00790502	0.550498	0.125308	0.122506	0.11019	0.0230638	0.0303239	0.00275173
n	0.0930109	0.154304	0.0655449	0.228654	0.173944	0.106286	0.0996617	0.0404762	0.0129244	0.0251947
í	0.161522	0.0310234	0.0476254	0.209039	0.163209	0.0866379	0.0413362	0.046783	0.0152919	0.197533
l	0.0616122	0.0395945	0.149621	0.0952056	0.24814	0.265329	0.0355446	0.0498836	0.0132442	0.0418244
í	0.196075	0.0492245	0.117277	0.0924939	0.120577	0.0866116	0.0616902	0.0627505	0.0147841	0.198516
y	0.469379	0.0400138	0.322625	0.0437439	0.0470869	0.0430089	0.00997064	0.0094374	0.00158186	0.0131534
á	0.255198	0.0371635	0.383526	0.0827514	0.0405114	0.0126547	0.0263457	0.0368912	0.0153646	0.109594
b	0.290821	0.042734	0.415529	0.0900316	0.0933143	0.0228253	0.00723509	0.00503485	0.0121574	0.0203174
v	0.0287966	0.0240925	0.0588656	0.42324	0.318938	0.0819595	0.0165454	0.00660169	0.0138492	0.0271122
ú	0.000889292	0.000892879	0.0200419	0.452321	0.234547	0.183199	0.0142283	0.0218269	0.00782571	0.0642277
a	0.0635863	0.00229804	0.0537626	0.305168	0.399814	0.122054	0.0119938	0.0197994	0.00696019	0.0145635
y	0.00478684	0.00239888	0.0910107	0.125472	0.377005	0.293938	0.0454663	0.0400897	0.000807638	0.0190247
é	0.385897	0.0289676	0.171878	0.097072	0.204763	0.0699389	0.00483455	0.0153939	0.00365318	0.0176013
y	0.0415128	0.0172547	0.250922	0.121065	0.269674	0.132266	0.021106	0.0421817	0.0101014	0.0939165
é	0.428914	0.0420406	0.191774	0.0588113	0.175857	0.0303558	0.0185333	0.00937894	0.0203396	0.0239947
e	0.122899	0.0242511	0.17908	0.0443188	0.174945	0.0757271	0.0153706	0.0720284	0.0390132	0.252367
b	0.00139564	0.00181156	0.00482208	0.0182029	0.0593917	0.113533	0.724385	0.0404782	0.00248376	0.0334965
é	7.14455e-05	0.000158489	0.000766922	0.0057625	0.0275152	0.0662969	0.876507	0.0117694	0.000750433	0.010402
b	0.000338661	0.000371835	0.000931051	0.00751434	0.0264373	0.101172	0.680291	0.060668	0.00401646	0.118259
h	0.0198077	0.00736677	0.0171884	0.0251967	0.145607	0.274176	0.209297	0.12123	0.0590382	0.121092
í	0.0298384	0.0180964	0.0373181	0.022089	0.0831954	0.0821538	0.118565	0.0823206	0.0683136	0.45811
s	0.0012157	0.00189772	0.0223281	0.0171157	0.0713679	0.111245	0.0874964	0.402994	0.0647527	0.219586
á	0.0478186	0.00431235	0.0158988	0.0099166	0.0369874	0.0281753	0.0280933	0.121102	0.31782	0.389876
d	0.00399799	0.000895787	0.00870799	0.00563123	0.0161339	0.0260887	0.00628447	0.0766617	0.793334	0.0622644
z	0.00190654	0.00184144	0.00352537	0.00045656	0.00287617	0.000737347	0.00360792	0.0261347	0.850021	0.108893
w	0.000694107	0.000146795	0.000703887	0.000659852	0.00329499	0.00201451	0.00349688	0.0201361	0.932903	0.0359503
é	0.00052651	2.20848e-05	8.91106e-05	0.000165161	0.000429425	0.000465531	0.00786604	0.0344312	0.859985	0.0960195
m	0.000387535	2.45014e-05	0.00034223	0.000632471	0.00127084	0.00297225	0.0158509	0.0790311	0.68912	0.210369
b	0.00401152	0.000151128	0.000352863	0.000827783	0.0011626	0.00182835	0.00601593	0.061614	0.832536	0.0915003
é	0.0256505	0.00169791	0.00121508	0.00179549	0.000983307	0.00361991	0.00358202	0.0542768	0.476061	0.431118
</S>	0.00070642	0.000172672	0.00233295	0.00405528	0.00605405	0.0186759	0.00515204	0.19385	0.211981	0.55702
