 	les	pauvres	se	lancent	dans	le	monde	des	fétiches	à	cause	de	leur	cupidité	</S>
l	0.715608	0.192506	0.0416339	0.0203008	0.0155045	0.00456077	0.0013508	0.00264739	0.000359187	0.00240137	0.000357317	0.000671703	0.00200367	6.10528e-05	3.38325e-05
y	0.305107	0.614386	0.0447015	0.00236566	0.00490035	0.00515697	0.00220184	0.00463709	0.00214002	0.00447134	0.00158828	0.0021263	0.00369928	0.000366959	0.00215202
o	0.096503	0.80639	0.00953265	0.00489657	0.00466433	0.0139278	0.0165524	0.00567446	0.0163199	0.00297893	0.00350553	0.00477134	0.00123259	0.00255596	0.0104946
ó	0.0547669	0.862069	0.0389198	0.00580642	0.00608287	0.00836433	0.00388108	0.000764954	0.00393072	0.0018946	0.00189158	0.00250884	0.00107688	0.000187718	0.00785413
b	0.168138	0.122561	0.56693	0.0602975	0.0332858	0.00910932	0.00310396	0.00237225	0.000696047	0.00234987	0.0014185	0.00159427	0.000993158	0.000115548	0.0270352
í	0.0773389	0.0365538	0.196819	0.167109	0.135372	0.0750775	0.026521	0.0252587	0.00588943	0.0263109	0.011473	0.0321064	0.0109546	0.00400239	0.169214
i	0.329723	0.0193144	0.30854	0.0885101	0.120269	0.0365439	0.00858277	0.00638091	0.00385004	0.00757263	0.00445024	0.00594019	0.0149797	0.0104984	0.0348445
b	0.0163611	0.0451286	0.169341	0.470619	0.0721091	0.0769144	0.0367667	0.00971563	0.00956639	0.00351918	0.0063678	0.00443009	0.00138733	0.00111243	0.0766611
h	0.00738719	0.0260658	0.0729983	0.826864	0.0366673	0.012876	0.00406961	0.00218573	0.00045131	0.000577583	0.00222398	0.00283863	0.000284176	0.0021221	0.00238875
o	0.00333516	0.0418059	0.0598894	0.862294	0.0156336	0.00502106	0.00200071	0.00117398	0.000300903	0.000261046	0.00128772	0.00169005	0.000121704	0.000735021	0.00444968
n	0.00919123	0.0277661	0.170512	0.59905	0.0814365	0.0481312	0.0383099	0.00408883	0.0108816	0.00153798	0.00264232	0.00276293	0.000982672	0.00037004	0.0023366
á	0.0214149	0.0247141	0.120317	0.318991	0.120368	0.188499	0.0618955	0.0375053	0.0219318	0.0125468	0.0123577	0.0133667	0.00175135	0.00123323	0.0431076
á	0.00404519	0.00159541	0.0338797	0.041983	0.244127	0.294861	0.156415	0.119359	0.0457233	0.0232371	0.0106416	0.00867248	0.00868446	0.00196252	0.00481279
m	0.0144969	0.00230097	0.0134452	0.00577545	0.0620874	0.122526	0.174004	0.383518	0.0875913	0.069175	0.0176617	0.00929776	0.0271379	0.00188974	0.00909278
ó	0.00316504	0.00279207	0.0151619	0.00566759	0.0260192	0.0777657	0.0824931	0.210885	0.0626518	0.0754143	0.141032	0.097097	0.0440746	0.027711	0.12807
p	0.0111774	0.00726002	0.0140001	0.00972927	0.0182349	0.0713431	0.129146	0.0810452	0.296899	0.092826	0.145746	0.0588532	0.0139156	0.0347653	0.015059
ó	0.000555155	0.00259703	0.00378029	0.00489479	0.00491337	0.0280064	0.125371	0.0305507	0.508288	0.0416068	0.176667	0.0617729	0.00137606	0.00173431	0.00788643
s	0.000131684	0.00124892	0.00225169	0.00315424	0.00401077	0.0241694	0.113406	0.0450496	0.46924	0.0636316	0.152038	0.082894	0.00755524	0.00176631	0.0294522
á	0.00379986	0.00891253	0.00791866	0.00813651	0.0145171	0.0524788	0.131171	0.0952475	0.280985	0.12772	0.131344	0.0868612	0.0172061	0.00304199	0.0306595
b	0.000919357	0.000298738	0.00272175	0.00154236	0.00696311	0.0100326	0.0153079	0.0687622	0.0749267	0.229856	0.110269	0.0993782	0.296225	0.0455368	0.0372599
e	0.00215317	0.00228217	0.0070006	0.0383785	0.0204717	0.0144922	0.0233477	0.0288621	0.17765	0.0682011	0.194282	0.258393	0.0527873	0.0719941	0.0397052
a	0.000621878	0.000460931	0.00309518	0.00483452	0.00462204	0.00491635	0.0102184	0.0119551	0.0967159	0.0581658	0.174131	0.269721	0.0805579	0.159216	0.120769
</S>	0.000594397	0.00010759	0.00212104	0.00113667	0.00281918	0.00321457	0.00459536	0.024172	0.0232659	0.147316	0.124963	0.198958	0.262289	0.0406894	0.163757
