 	il	range	les	maniocs	dans	la	hotte	</S>
w	0.961077	0.025558	0.00555379	0.00170081	0.00201332	0.00282395	0.000972343	0.000300583
a	0.957519	0.00184959	0.0120678	0.000618783	0.00491931	0.0172255	0.00572566	7.42564e-05
l	0.42476	0.379361	0.14362	0.0253692	0.00953952	0.00816763	0.00149904	0.00768299
á	0.117286	0.180347	0.237912	0.0159691	0.0413386	0.0397208	0.0155656	0.351861
a	0.325104	0.148186	0.256297	0.0553893	0.0293026	0.0467778	0.026295	0.112648
l	0.0106515	0.614543	0.0746102	0.285095	0.00438194	0.00110691	0.000952755	0.00865926
ω	0.0198415	0.683797	0.0405332	0.246816	0.00524689	0.000895786	0.00126027	0.00160989
n	0.00061114	0.354398	0.0116866	0.626464	0.00433303	0.000832959	4.45795e-05	0.00162974
g	0.0155755	0.250645	0.421203	0.20591	0.0790474	0.015822	0.000422949	0.0113743
ώ	0.127187	0.18625	0.360478	0.181499	0.0546794	0.0352443	0.000948226	0.0537148
i	0.00684108	0.0031011	0.186967	0.0977922	0.513741	0.164995	0.0228792	0.00368385
k	0.0106866	0.0205385	0.0341105	0.250482	0.41326	0.124655	0.117034	0.0292331
ώ	0.00137357	0.0342306	0.00863417	0.729304	0.129915	0.0372192	0.00569323	0.0536298
ώ	0.000294867	0.0117003	0.0174019	0.670879	0.120833	0.0207423	0.00367704	0.154472
s	0.00468812	0.00235837	0.0361574	0.0219977	0.450426	0.426933	0.0324637	0.0249756
á	0.00134723	0.0177253	0.0169478	0.0260911	0.163665	0.199607	0.0745671	0.500049
m	0.00942135	0.000366026	0.00334211	0.00135076	0.0246317	0.0993414	0.843311	0.0182352
ú	0.000461667	7.11392e-05	0.00412267	0.000180623	0.00884215	0.0209911	0.94154	0.023791
a	2.21552e-05	1.4376e-05	0.00131697	9.01701e-05	0.0218722	0.0491829	0.90028	0.0272216
</S>	0.00147307	0.00038435	0.00527477	0.00298404	0.0525825	0.263409	0.0563359	0.617556
