 	qui	est	le	caissier	de	cette	association	</S>
o	0.500272	0.336331	0.0865674	0.0535446	0.00928685	0.00897329	0.00329152	0.00173305
k	0.0314459	0.123118	0.0409738	0.573051	0.0448178	0.0272499	0.100784	0.0585593
á	0.0104026	0.032159	0.0394509	0.797944	0.0284439	0.00932444	0.0585323	0.0237426
r	0.00278773	0.126332	0.0587944	0.597758	0.0245271	0.00971095	0.0182635	0.161827
i	0.233747	0.0977163	0.0954885	0.187678	0.18068	0.0923555	0.0384623	0.0738716
o	0.157288	0.219606	0.263119	0.0822781	0.132158	0.0752209	0.0313947	0.0389362
b	0.00384647	0.032659	0.182218	0.327178	0.224165	0.0757331	0.0448099	0.10939
v	0.00255901	0.026185	0.153239	0.301237	0.105982	0.0700948	0.148205	0.192498
á	0.00175779	0.00532757	0.125439	0.627365	0.0858152	0.064899	0.0591131	0.0302842
á	0.00112072	0.00670834	0.0734528	0.217808	0.165044	0.114247	0.113345	0.308275
l	0.00872335	0.0124886	0.0945575	0.125688	0.354676	0.242384	0.0858938	0.0755892
é	0.0103105	0.0143529	0.0445486	0.0282925	0.254783	0.261056	0.109509	0.277147
s	0.00855868	0.00813209	0.0492309	0.0170416	0.208647	0.295741	0.227317	0.185332
á	0.00991393	0.00831808	0.0610574	0.022768	0.114781	0.259792	0.124928	0.398441
e	0.0222053	0.00865325	0.0488771	0.0224848	0.140807	0.333673	0.272496	0.150803
k	0.00227123	0.00561006	0.00833043	0.0282051	0.0928569	0.102126	0.333526	0.427074
ó	0.000477406	0.00364846	0.0144283	0.107289	0.122104	0.111266	0.49116	0.149628
r	0.000317964	0.000682362	0.0115858	0.0595516	0.10311	0.16072	0.451592	0.21244
í	0.00175893	0.003477	0.0106349	0.0484702	0.150339	0.137882	0.359538	0.2879
í	0.00509342	0.00537862	0.0275608	0.00932817	0.182574	0.281147	0.110477	0.37844
y	0.00369459	0.00828443	0.0534519	0.0720373	0.179885	0.2479	0.161197	0.27355
é	0.01154	0.0124328	0.0859875	0.0224798	0.0731307	0.250271	0.128863	0.415296
n	0.00289121	0.00153579	0.0170103	0.00698518	0.0358649	0.131832	0.108554	0.695327
d	0.00276538	0.00378953	0.0298732	0.00504558	0.0299607	0.232178	0.229639	0.466749
a	0.00141516	0.00226654	0.00609571	0.00101206	0.0138458	0.068242	0.101521	0.805602
</S>	0.000128332	0.000431916	0.0023518	0.000795784	0.0172409	0.0995851	0.187074	0.692392
