 	la	plupart	de	gens	deviennent	fonfarons	lorsqu'	ils	s'	enrichissent	</S>
b	0.183667	0.346087	0.318489	0.116648	0.0215535	0.000481691	0.00337698	0.00725343	0.00209385	1.18006e-05	0.000337441
a	0.0738349	0.353996	0.274506	0.219308	0.0144709	0.000464758	0.00300674	0.047861	0.0117676	5.1705e-05	0.000732326
r	0.00911254	0.125609	0.165771	0.607069	0.0166266	0.00087488	0.00132061	0.0719428	0.00116887	1.61973e-05	0.000488122
e	0.14987	0.563774	0.24151	0.0111763	0.00437913	0.00278459	0.00331585	0.010379	0.00385028	0.000210066	0.00874998
a	0.384874	0.167576	0.236545	0.130753	0.0231153	0.00784484	0.0108906	0.00702258	0.00821096	0.00125721	0.0219098
y	0.111688	0.0396135	0.0758417	0.104079	0.169881	0.109316	0.171796	0.0284327	0.0997613	0.0177286	0.071862
í	0.0366947	0.0245527	0.0127763	0.00723372	0.0726191	0.745052	0.0556602	0.00346765	0.0124278	0.0123475	0.017168
í	0.0333293	0.0456459	0.139763	0.0694724	0.0658398	0.348595	0.0441875	0.0130098	0.0277048	0.0501452	0.162307
w	0.0278035	0.00921058	0.0766277	0.15223	0.388754	0.223316	0.0670867	0.0207571	0.017135	0.00258666	0.0144927
á	0.0121538	0.00896292	0.0344806	0.126701	0.383851	0.0653104	0.154351	0.0535723	0.0936495	0.0021411	0.0648259
á	0.0637631	0.0110585	0.0723653	0.338837	0.154824	0.060452	0.033818	0.0802465	0.0238635	0.0117217	0.149051
á	0.00786253	0.00309257	0.00901159	0.013898	0.247343	0.438101	0.167848	0.0207783	0.0440988	0.0193682	0.028599
d	0.00211827	0.000924298	0.0010855	0.000740497	0.0419539	0.689588	0.110417	0.0153865	0.0482063	0.0736165	0.0159633
i	0.00148698	0.000223957	0.00147141	0.000454893	0.023114	0.812754	0.0852373	0.0049777	0.0202405	0.022085	0.0279542
í	0.0128664	0.00300831	0.0357004	0.00434403	0.0467503	0.213232	0.352682	0.0494407	0.160016	0.0585426	0.0634174
b	0.0222569	0.014137	0.0116051	0.0108661	0.0890929	0.112893	0.216256	0.172636	0.20562	0.110417	0.0342184
e	0.0221946	0.0207579	0.0250688	0.0792446	0.0896919	0.0249209	0.0383401	0.516086	0.0754892	0.0231128	0.0850938
a	0.013423	0.00935078	0.0143703	0.0151415	0.0316144	0.0216633	0.0645432	0.520499	0.107708	0.0584532	0.143233
á	0.00549388	0.00161604	0.00770429	0.00682668	0.0603301	0.00652184	0.156772	0.326492	0.262323	0.0679204	0.0979998
b	0.00818495	0.00157203	0.00263505	0.00078059	0.0210701	0.0660335	0.129089	0.0534802	0.318729	0.358842	0.0395836
h	0.0132537	0.0132305	0.01594	0.00768559	0.0314993	0.0126205	0.108107	0.223038	0.256898	0.103586	0.214141
í	0.015369	0.00503252	0.0107168	0.00555232	0.034557	0.0208243	0.1766	0.196006	0.116507	0.0956909	0.323144
l	0.00226385	0.00126079	0.00250398	0.00110363	0.00805182	0.0107429	0.0606929	0.0666192	0.0715998	0.533053	0.242109
e	0.00550742	0.000660111	0.00222672	0.00257946	0.0206072	0.00643378	0.0528332	0.020173	0.213488	0.456214	0.219277
s	0.0163676	0.0095786	0.0100566	0.000922727	0.00594702	0.00228056	0.015081	0.0312257	0.195873	0.54158	0.171087
a	0.00995999	0.00879096	0.00711471	0.000587309	0.0107306	0.00642528	0.0367556	0.0224171	0.140803	0.635194	0.121221
l	0.000493185	0.00108275	0.00178192	0.000529641	0.00128181	0.00300008	0.0188382	0.0273537	0.0502865	0.71486	0.180492
á	0.0032824	0.00131649	0.00586188	0.00485748	0.0133164	0.00655852	0.030611	0.0164329	0.134834	0.483198	0.299731
</S>	0.0546173	0.0055264	0.0529227	0.00883317	0.0347867	0.00988947	0.0395122	0.0404689	0.141097	0.217392	0.394955
