 	quels	fruits	veux-tu	acheter	</S>
n	0.240813	0.634919	0.111728	0.00470629	0.00783426
o	0.990154	0.00921709	0.000578944	2.91859e-05	2.08576e-05
d	0.188355	0.764821	0.0335144	0.00632961	0.00697995
í	0.140417	0.129737	0.00804402	0.0099246	0.711877
l	0.0584888	0.205519	0.128774	0.025008	0.58221
a	0.142235	0.179368	0.227443	0.0106314	0.440323
p	0.154516	0.202555	0.289258	0.0863727	0.267298
ó	0.03969	0.44391	0.299069	0.0558094	0.161521
s	0.033086	0.206695	0.362178	0.0951414	0.3029
á	0.161328	0.218988	0.322248	0.0848083	0.212629
o	0.111735	0.0641381	0.47201	0.203557	0.148561
s	0.018933	0.0471484	0.15319	0.728312	0.0524172
ó	0.0446087	0.00295276	0.0258458	0.897764	0.0288285
m	0.0694685	0.00222943	0.0261059	0.866957	0.035239
b	0.11947	0.00962914	0.108672	0.599442	0.162786
á	0.315395	0.0822346	0.0726127	0.082324	0.447434
i	0.0211263	0.00686843	0.106128	0.0490088	0.816869
b	0.013907	0.0473885	0.17396	0.144389	0.620356
v	0.00207966	0.252435	0.45943	0.220149	0.0659061
u	0.00781861	0.163661	0.331381	0.339318	0.157822
m	0.0876895	0.0169795	0.133264	0.0215328	0.740534
á	0.130475	0.0269686	0.141324	0.024467	0.676765
b	0.0388124	0.0263855	0.0930281	0.0595373	0.782237
i	0.0107934	0.194685	0.533014	0.0503002	0.211207
</S>	0.00748168	0.034075	0.123808	0.0249258	0.809709
