 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
w	0.978648	0.00674592	0.00345952	0.00489546	0.0016563	0.00283207	0.00163257	9.52712e-05	3.48852e-05
a	0.913549	0.0175618	0.0176624	0.0121416	0.0287503	0.00265159	0.00616326	0.00151166	8.10565e-06
a	0.722072	0.109152	0.0870872	0.00649557	0.0108549	0.0171822	0.0144198	0.00169525	0.0310412
b	0.0920104	0.631816	0.127053	0.0616267	0.0286746	0.0110907	0.011323	0.00918693	0.0272181
é	0.0683715	0.88033	0.0270622	0.00734897	0.00619357	0.00201242	0.0024387	0.00199369	0.00424851
r	0.0258911	0.621488	0.162004	0.0352968	0.016308	0.0109281	0.0139569	0.00758437	0.106543
í	0.13972	0.299531	0.308752	0.0131381	0.0132751	0.0264757	0.0225711	0.00174459	0.174792
a	0.058548	0.645945	0.247458	0.0188872	0.0088901	0.00620711	0.00371466	0.0025142	0.00783603
b	0.00604204	0.448025	0.354429	0.152114	0.0181057	0.00427415	0.00455207	0.00537991	0.00707802
v	0.00180576	0.648174	0.0931237	0.190126	0.0413051	0.0033862	0.00282877	0.0163483	0.00290151
ú	0.00224067	0.497922	0.178234	0.193374	0.108987	0.0077423	0.00502298	0.00414818	0.00232879
ε	0.00269999	0.166737	0.528264	0.218869	0.0495245	0.0145552	0.00312101	0.00551844	0.0107108
ε	0.00221031	0.0193202	0.409786	0.483129	0.0137635	0.0339149	0.0105749	0.0113518	0.0159493
b	0.00149625	0.0063987	0.114016	0.649783	0.172977	0.0271065	0.00672017	0.0151515	0.00635176
v	0.000351919	0.0135704	0.0341498	0.679825	0.194737	0.00963418	0.00385169	0.060801	0.00307954
έ	0.000106149	0.0437914	0.0264556	0.665343	0.191765	0.0118575	0.0043468	0.0532478	0.00308773
y	0.000949508	0.0247463	0.140094	0.118743	0.0567397	0.154886	0.0309333	0.0352634	0.437644
á	0.0187386	0.0125512	0.185082	0.0816155	0.108646	0.307606	0.0978196	0.0131817	0.174759
m	0.00590909	0.00203916	0.0284479	0.0212413	0.180432	0.512746	0.182803	0.0275869	0.0387951
b	0.000978412	0.000136548	0.00200922	0.000952366	0.842715	0.0283454	0.0256584	0.00647621	0.0927286
ó	2.79951e-05	0.000185199	0.00166979	0.00126517	0.962743	0.0111638	0.00621783	0.0108854	0.0058419
s	0.00111634	0.00311492	0.0106174	0.00758393	0.828653	0.0239779	0.026579	0.0653104	0.0330471
i	0.00543461	0.00385246	0.0251496	0.0310436	0.300854	0.196496	0.119503	0.0718438	0.245824
</S>	0.00223215	0.0022198	0.0297287	0.00898844	0.0117074	0.280954	0.211154	0.0468751	0.406141
