 	ces	enfants	sont	rentrés	au	village	et	personne	d'	eux	m'	a	dit	au-revoir	</S>
b	0.453638	0.523183	0.00336578	0.00267558	0.00191963	0.000148392	0.00101451	0.000237066	0.00120609	0.00834564	0.0019278	0.00159872	0.000436769	0.000280088	2.29274e-05
á	0.034451	0.962001	0.000797608	0.000952248	0.000406375	3.08347e-06	0.000141753	0.000120907	5.30752e-05	0.000241177	0.000183793	0.00048509	7.29401e-05	7.77298e-05	1.18122e-05
n	0.0615322	0.909886	0.00102002	0.00177797	0.000258367	2.55743e-05	0.000178603	0.000285928	0.000265968	0.00364716	0.0171298	0.00370695	7.19315e-05	0.00015189	6.14532e-05
a	0.254734	0.515021	0.00914654	0.00326575	0.00176829	0.000191754	0.00129477	0.00104169	0.00226118	0.00588115	0.128197	0.0529587	0.000363879	0.00365419	0.0202209
b	0.404528	0.211389	0.143501	0.0187072	0.0432416	0.00323648	0.0186141	0.00903204	0.0181482	0.0214458	0.00829559	0.0273145	0.0128379	0.0282604	0.0314487
á	0.0848895	0.0596654	0.369518	0.117582	0.169419	0.000681955	0.0323365	0.0119471	0.0227576	0.0310341	0.00713552	0.0401097	0.00683299	0.00848814	0.0376022
á	0.0777548	0.202024	0.352558	0.0980735	0.0266487	0.01193	0.0196014	0.0122109	0.0146413	0.0202985	0.00898976	0.0295195	0.017985	0.0239232	0.083841
b	0.0148122	0.00412705	0.475291	0.25555	0.0323549	0.0110528	0.00422966	0.00674703	0.014117	0.00760591	0.00242074	0.00996612	0.0618068	0.0232458	0.0766727
v	0.0162267	0.0174673	0.115637	0.653299	0.056516	0.00434872	0.00947691	0.00814004	0.0149476	0.0202009	0.00521894	0.0234627	0.0139877	0.0125168	0.0285536
ú	0.0611618	0.00820192	0.180044	0.549406	0.0846791	0.00146718	0.00567893	0.00379629	0.00696636	0.031874	0.00566292	0.0211011	0.0139548	0.00614087	0.0198649
r	0.138023	0.0200629	0.177772	0.521778	0.0309623	0.00931732	0.00958346	0.00746002	0.017923	0.00695387	0.000542113	0.00222944	0.00803942	0.0251616	0.0241922
ú	0.135373	0.00990464	0.236644	0.208122	0.167154	0.0479658	0.0403496	0.0149601	0.0521232	0.0158096	0.00680572	0.00830003	0.0105131	0.0111329	0.0348415
p	0.0314158	0.00118065	0.093889	0.0597756	0.561775	0.0227306	0.0520056	0.021652	0.0355235	0.0457745	0.0237385	0.020581	0.0192366	0.00554649	0.00517484
o	0.00792368	0.00831769	0.0137985	0.0396978	0.029412	0.828983	0.0119056	0.00662399	0.0125359	0.0230196	0.000816851	0.00516017	0.00186547	0.00296705	0.00697271
o	0.00140509	0.000114038	0.0104714	0.0124904	0.0817618	0.618638	0.0581431	0.0518121	0.091062	0.0485306	0.000955183	0.00487777	0.0095041	0.00230373	0.00793106
s	0.00127925	1.46428e-05	0.014868	0.00468399	0.0750712	0.027403	0.109438	0.147513	0.240476	0.164532	0.0107851	0.0543413	0.114992	0.014696	0.0199072
