 	la	manière	dont	il	caresse	t'	enfant	montre	son	amour	</S>
e	0.0871367	0.796479	0.102671	0.0106877	0.000750903	0.000108685	0.00031762	0.000355673	0.000269958	9.38935e-05	0.00112874
m	0.00314764	0.00369662	0.00505983	0.0134682	0.962609	0.00378173	0.000995959	0.00219525	0.00149246	0.00331887	0.00023437
a	0.0421434	0.00304569	0.000559641	0.0039379	0.811324	0.10016	0.0321337	0.00366585	0.00235519	0.00035537	0.000319446
b	0.00437881	0.000932061	0.000512543	0.00591178	0.957362	0.00592425	0.00231457	0.00975185	0.0036671	0.000414765	0.00882994
h	0.0111961	0.00311335	0.000500407	0.00251619	0.903268	0.00957827	0.00073407	0.0196217	0.00880986	0.00242269	0.03824
í	0.023693	0.00788665	0.00172636	0.00870731	0.78458	0.0325458	0.00719769	0.0356291	0.0211889	0.0228359	0.0540095
r	0.0216986	0.015939	0.0298892	0.0997569	0.249736	0.120965	0.0335519	0.101138	0.0479754	0.0646802	0.21467
í	0.0324733	0.0130229	0.0113772	0.011628	0.206412	0.102539	0.0147134	0.143785	0.0991189	0.0340182	0.330913
r	0.20995	0.100532	0.179738	0.164916	0.0478281	0.0774547	0.049648	0.0622378	0.0432572	0.00968344	0.0547548
í	0.021779	0.0288846	0.0660185	0.0271546	0.051042	0.0109246	0.0068308	0.0739383	0.0692673	0.0369715	0.607189
y	0.020884	0.0569178	0.356949	0.2351	0.0390912	0.0363836	0.0271913	0.0625555	0.0466811	0.0182723	0.0999741
á	0.057674	0.110158	0.31028	0.0536755	0.0246474	0.0472973	0.00525377	0.0673698	0.0586587	0.0382529	0.226733
m	0.0184284	0.0288746	0.112684	0.149801	0.0639328	0.257258	0.201594	0.0423858	0.0334817	0.0569222	0.0346382
w	0.000712022	0.000561277	0.000215394	0.000322009	0.000867027	0.0193997	0.973544	0.000694804	0.000387452	0.00200324	0.0012931
á	0.000409385	0.00090688	0.00192842	0.00773549	0.0205615	0.00903279	0.941524	0.00369655	0.00177681	0.0077427	0.00468531
n	0.00171725	0.00644104	0.00511229	0.00229395	0.000789267	0.0778164	0.883655	0.00334664	0.00238636	0.0028897	0.0135526
a	0.00200158	0.00267422	0.00268293	0.000756504	0.00103592	0.0451011	0.932829	0.00207963	0.00391187	0.000806632	0.00612101
y	0.016205	0.0089258	0.165688	0.250148	0.0453571	0.393306	0.0168636	0.0657787	0.0249104	0.0057891	0.00702898
é	0.185895	0.0425024	0.189691	0.101829	0.064409	0.245742	0.0898454	0.0364327	0.0126442	0.0214474	0.00956213
y	0.0635592	0.00932553	0.0499891	0.222512	0.044518	0.0955711	0.0187798	0.307594	0.130218	0.0278394	0.0300947
é	0.0389031	0.0493531	0.090506	0.0443943	0.0225043	0.466593	0.0725529	0.117327	0.0461177	0.0393947	0.0123533
e	0.0280886	0.0223378	0.0386623	0.0976207	0.0129447	0.207461	0.00926736	0.226818	0.24621	0.0452414	0.0653484
y	0.000912531	0.00150149	0.00146093	0.013872	0.0389371	0.0196517	0.00421803	0.478461	0.245873	0.104397	0.0907148
έ	0.000190218	0.000661372	0.00187892	0.0106668	0.0451663	0.0504145	0.00390714	0.313306	0.286404	0.220061	0.0673437
s	0.00301858	0.000868561	0.00456385	0.0288909	0.0467569	0.0272322	0.00665235	0.328939	0.242837	0.105291	0.20495
έ	0.0045305	0.000402726	0.00179186	0.0321447	0.016901	0.031962	0.00684867	0.500991	0.271467	0.0562241	0.0767364
o	0.000312617	0.000271898	0.00459812	0.0232172	0.0081938	0.0218412	0.00133117	0.224424	0.312971	0.175148	0.227691
d	0.000640017	9.85331e-05	0.000316943	0.00225964	0.020857	0.0217787	0.00336043	0.125153	0.192473	0.496208	0.136854
i	0.000815676	0.000444552	0.000946174	0.00187787	0.020333	0.00632761	0.000551268	0.0415702	0.0737252	0.722939	0.13047
n	0.000169295	0.000103859	0.000274368	0.00144686	0.00483974	0.00970483	0.00130947	0.0561225	0.1169	0.540221	0.268909
g	0.0015005	0.000337065	0.000757475	0.00111859	0.00327351	0.00749615	0.00138978	0.064916	0.179699	0.419428	0.320085
i	0.000560295	0.00223941	0.00323704	0.00099246	0.00110317	0.0272873	0.00327399	0.0206566	0.0777293	0.62627	0.23665
</S>	0.000906634	0.000492705	0.00168338	0.00174106	0.00196958	0.00864633	0.000893896	0.0557314	0.138046	0.179115	0.610774
