 	cet	habit	noir	est	à	l'	envers	</S>
o	0.561194	0.371907	0.0385512	0.019881	0.00542902	0.00238418	0.000386717	0.000267046
k	0.0228211	0.942015	0.0337312	0.000417379	0.000248797	0.00025022	0.000267017	0.000249725
á	0.00557216	0.836249	0.153314	0.00111979	0.000699088	0.000393125	0.00193545	0.000717863
n	0.0019512	0.89628	0.0937428	0.00166932	0.00142485	0.000545763	0.0020338	0.00235246
d	0.147567	0.752821	0.0861791	0.00611628	0.00281784	0.000346755	0.000499421	0.00365172
á	0.283546	0.575418	0.0544405	0.0139711	0.00779121	0.00147909	0.00374339	0.0596106
m	0.440392	0.036323	0.162609	0.261097	0.0556376	0.0251103	0.00269601	0.0161351
á	0.636913	0.00899926	0.064851	0.187657	0.059535	0.0216465	0.00106691	0.0193309
p	0.454746	0.0311175	0.0425388	0.354869	0.0827129	0.018181	0.00248152	0.0133529
i	0.0929186	0.0241099	0.100413	0.50187	0.207788	0.030734	0.0199111	0.022256
m	0.0268452	0.00561344	0.0461902	0.561767	0.257159	0.0463007	0.0139163	0.042209
ú	0.273172	0.00814508	0.0696678	0.336761	0.213152	0.0495599	0.00846334	0.0410785
ó	0.111781	0.00286347	0.0215989	0.318376	0.298586	0.165933	0.0278271	0.0530336
d	0.0228477	0.00509992	0.00763336	0.104167	0.32546	0.409523	0.0644041	0.0608652
í	0.00372406	0.000749	0.000526736	0.00832642	0.127495	0.180742	0.0352814	0.643155
o	0.016925	0.000628619	0.00295422	0.0419947	0.117933	0.339591	0.299264	0.18071
f	0.000820741	0.00392376	0.00703095	0.00124844	0.017571	0.0437636	0.875484	0.0501573
ú	0.000770119	0.00956873	0.0167055	0.00396234	0.0234502	0.0409506	0.837589	0.067003
n	0.00157273	0.00040208	0.00346267	0.00384129	0.0164059	0.0183699	0.705711	0.250235
d	0.00530275	0.00249928	0.00767652	0.0153164	0.0948331	0.0687277	0.562386	0.243259
á	0.0523265	0.00886502	0.0165932	0.116124	0.222314	0.171841	0.323527	0.0884088
f	0.0113223	0.00206434	0.0051336	0.0326657	0.0602599	0.100937	0.338565	0.449052
u	0.00100904	0.00245262	0.00693716	0.0119425	0.014185	0.0347766	0.789345	0.139353
n	0.000592989	0.000224126	0.00150343	0.00268334	0.00722991	0.0134653	0.558191	0.41611
d	0.0114499	0.0125702	0.0163425	0.00865752	0.0350973	0.0532426	0.702563	0.160077
a	0.0032917	0.00328304	0.0129158	0.0248338	0.0693125	0.141762	0.285167	0.459434
</S>	0.0163386	0.00365802	0.0127195	0.0187644	0.0277518	0.134788	0.211971	0.574008
