 	il	baissa	la	tête	</S>
w	0.968733	0.0218561	0.00623528	0.00298485	0.000191069
a	0.912983	0.0366404	0.0292518	0.0209143	0.00021003
a	0.750646	0.174532	0.0439932	0.0029609	0.0278677
s	0.171189	0.690725	0.069378	0.0372564	0.0314517
u	0.0736567	0.834843	0.0338727	0.00314295	0.0544843
n	0.0690982	0.630345	0.146322	0.0026305	0.151605
d	0.0913575	0.367215	0.316921	0.00423742	0.220268
u	0.0698831	0.736999	0.104421	0.00110508	0.0875921
s	0.0178043	0.165378	0.77343	0.0271249	0.0162626
ú	0.0250919	0.557304	0.376477	0.00620194	0.0349253
i	0.00581983	0.118838	0.77574	0.0509057	0.0486961
b	0.00408924	0.0618394	0.280432	0.614839	0.0388009
o	0.00438212	0.00702312	0.0454258	0.923002	0.0201672
ó	0.00146596	0.0243661	0.0427167	0.858611	0.0728404
l	0.0110009	0.0178093	0.254964	0.134848	0.581377
a	0.0218624	0.00594839	0.164443	0.0580525	0.749694
t	0.012453	0.00724354	0.455559	0.150337	0.374408
s	0.00834503	0.0106811	0.20586	0.600782	0.174332
é	0.00265835	0.118125	0.127128	0.520743	0.231346
</S>	0.00205688	0.045706	0.0632495	0.158825	0.730162
