 	ce	chien	est	effrayant	</S>
m	0.539293	0.429104	0.0307355	0.000260916	0.000606727
v	0.0370456	0.817243	0.0605004	0.021548	0.0636635
á	0.0532705	0.934513	0.000866452	0.0111487	0.000200919
n	0.0958542	0.736307	0.00268062	0.0143877	0.150771
d	0.432334	0.368661	0.0201572	0.00733519	0.171513
é	0.241641	0.292174	0.0132537	0.0338448	0.419086
w	0.188466	0.0764054	0.656075	0.0195647	0.0594888
ó	0.385408	0.137061	0.158611	0.022587	0.296333
a	0.179609	0.0310288	0.479549	0.0494242	0.260389
d	0.0356291	0.0598416	0.382271	0.168894	0.353364
í	0.00874032	0.00516037	0.0280097	0.136687	0.821402
l	0.0552417	0.021551	0.206096	0.116445	0.600667
e	0.0149414	0.010157	0.130003	0.15061	0.694288
m	0.0278144	0.0198937	0.064911	0.646719	0.240662
w	0.00264235	0.00134229	0.00577649	0.948381	0.0418583
a	0.00221981	0.0892597	0.0137426	0.845356	0.0494223
a	0.0215905	0.020265	0.0420776	0.273758	0.642309
l	0.0554202	0.0348962	0.198452	0.0266315	0.6846
i	0.0582509	0.00937804	0.165237	0.117204	0.64993
</S>	0.0394244	0.00612008	0.162913	0.0662659	0.725276
