 	la	chenille	s'	est	métamorphosée	</S>
l	0.416152	0.549262	0.029647	0.0041331	0.000228264	0.000577019
e	0.596389	0.371258	0.0217616	0.0049053	0.00166386	0.00402324
k	0.287032	0.601856	0.034504	0.00550139	0.0311789	0.0399276
o	0.0586557	0.845271	0.0306277	0.00386106	0.0164695	0.0451147
n	0.143824	0.635646	0.110405	0.0217183	0.0544172	0.0339896
g	0.427927	0.246453	0.0596098	0.021616	0.0279929	0.216402
ó	0.273573	0.690392	0.0310213	0.00219464	0.000342446	0.00247613
í	0.100468	0.0969034	0.596875	0.160286	0.0172684	0.0281997
m	0.0598009	0.0271878	0.387369	0.353006	0.136091	0.036546
i	0.0185258	0.00381651	0.17158	0.427732	0.143825	0.234522
s	0.000603903	0.000722401	0.0292614	0.155432	0.742837	0.0711438
á	0.00109609	0.00080891	0.0405627	0.298397	0.532606	0.12653
á	0.0069594	0.000311602	0.0276316	0.240206	0.244853	0.480038
o	0.010712	0.00417874	0.0777728	0.439524	0.278261	0.189552
f	0.00170552	0.00139158	0.00640938	0.0343551	0.905037	0.0511016
u	0.00172912	0.00413571	0.0155514	0.0583388	0.836127	0.0841184
m	0.00348048	0.000742808	0.00573121	0.0299885	0.20314	0.756918
b	0.0892475	0.0115999	0.0418389	0.193516	0.131477	0.532321
a	0.073271	0.0100409	0.0479662	0.15312	0.101611	0.613991
</S>	0.0197076	0.00634525	0.0668828	0.236351	0.0585469	0.612167
