 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
é	0.486237	0.255521	0.0609945	0.0414536	0.0420322	0.0497009	0.0186249	0.0424947	0.000979561	0.00196174
m	0.182719	0.517886	0.0510351	0.0342677	0.0268555	0.0597284	0.0698817	0.012483	0.0362339	0.00891026
i	0.0382819	0.136591	0.322378	0.144863	0.0512443	0.0652832	0.0267701	0.0120443	0.0155344	0.18701
b	0.0862761	0.096544	0.201652	0.0618511	0.0204366	0.0249243	0.050855	0.0125144	0.0554592	0.389488
v	0.0239637	0.0447782	0.130171	0.161063	0.0322701	0.031316	0.33533	0.00964651	0.0518076	0.179653
u	0.0266391	0.0944917	0.123442	0.290007	0.0475533	0.101194	0.273276	0.0137507	0.00651632	0.0231298
á	0.0358723	0.194848	0.269659	0.285948	0.0691526	0.0456374	0.0264767	0.00800973	0.00426641	0.0601302
l	0.113125	0.152642	0.233478	0.160585	0.152903	0.0906273	0.0195945	0.0555697	0.00611859	0.015357
a	0.0483509	0.0508015	0.166954	0.160721	0.0846262	0.0507693	0.019019	0.0339175	0.00507647	0.379764
w	0.110335	0.0962341	0.170532	0.205903	0.22007	0.0698919	0.0175739	0.0589707	0.011217	0.0392727
a	0.0745423	0.121171	0.255271	0.265143	0.126052	0.0473907	0.0299697	0.0433589	0.00798871	0.0291133
ε	0.020239	0.029462	0.170573	0.271409	0.309723	0.0912899	0.0129204	0.0521587	0.00494361	0.0372823
b	0.00663376	0.0191009	0.0964234	0.144278	0.126076	0.168935	0.167549	0.0337836	0.200785	0.0364355
h	0.00169731	0.00953689	0.0433265	0.153131	0.0303834	0.0776592	0.536691	0.0313101	0.090807	0.0254581
a	0.00200742	0.00566865	0.0310167	0.162604	0.0301071	0.0973763	0.443256	0.0182207	0.0577428	0.152
n	0.00088586	0.00499819	0.0288138	0.0927472	0.0736477	0.153966	0.26492	0.0320859	0.0379122	0.310023
á	0.0166641	0.012349	0.0657354	0.260668	0.182192	0.146137	0.166096	0.0311181	0.0139124	0.105127
a	0.00491826	0.00681507	0.0469745	0.142164	0.333224	0.148607	0.0275546	0.21826	0.0171124	0.0543701
ε	0.00581688	0.00921176	0.0287518	0.0649588	0.127005	0.158717	0.107415	0.296861	0.116235	0.085028
p	0.00127249	0.00699164	0.00759978	0.00995468	0.00761413	0.0351555	0.0342914	0.0262036	0.816815	0.0541023
ω	0.000679363	0.00393253	0.00741742	0.0182378	0.0125964	0.033283	0.0477081	0.019504	0.844042	0.0125992
ώ	0.000868923	0.00198194	0.0055833	0.0301342	0.105411	0.125178	0.0931245	0.155972	0.398851	0.0828954
o	0.00983464	0.0100422	0.0253085	0.028572	0.0610095	0.0651749	0.0265464	0.240821	0.0814884	0.451202
t	0.00898336	0.0333279	0.0424579	0.0391197	0.0248567	0.0921442	0.0653804	0.213472	0.27401	0.206248
o	0.00164425	0.00934907	0.0297229	0.0697513	0.0363203	0.0961123	0.0307703	0.140812	0.384895	0.200623
m	0.00073536	0.00212552	0.0057887	0.0153852	0.0144178	0.037349	0.0160475	0.063052	0.39726	0.447839
ó	0.00392586	0.00759629	0.0178901	0.0492086	0.0604694	0.200962	0.0568821	0.20312	0.239627	0.160318
i	0.0111186	0.0105708	0.0292306	0.0277482	0.100788	0.0797509	0.00651231	0.282451	0.0296541	0.422175
w	0.0123841	0.018056	0.0463354	0.0424959	0.0357642	0.0448385	0.0182622	0.108066	0.0533392	0.620459
á	0.00408125	0.00957435	0.0222837	0.0418024	0.0402901	0.0491332	0.0254516	0.147849	0.127021	0.532514
a	0.00582919	0.00832131	0.0221608	0.0314924	0.0454865	0.0350359	0.0126514	0.238537	0.0640653	0.53642
</S>	0.00503628	0.00878976	0.0274448	0.0332818	0.0583857	0.0456272	0.0160699	0.104341	0.0286274	0.672396
