 	il	y	a	un	serpent	sous	cette	roche	</S>
é	0.158594	0.456537	0.100457	0.0673294	0.133708	0.0476497	0.0317129	0.00315756	0.000854147
d	0.0498968	0.109411	0.121791	0.260455	0.29812	0.0879206	0.0519022	0.0129912	0.00751211
í	0.00775464	0.013165	0.04602	0.465586	0.263997	0.0610395	0.0294249	0.00806673	0.104946
l	0.00438782	0.0229551	0.112703	0.142991	0.097329	0.0669559	0.0723826	0.0155795	0.464716
a	0.0906848	0.0547642	0.266233	0.153958	0.140306	0.0247315	0.0329102	0.00149432	0.234918
n	0.0695802	0.0328098	0.087966	0.179286	0.284822	0.0859176	0.0463742	0.00802229	0.205221
d	0.0098019	0.0735002	0.0531434	0.197862	0.414986	0.128721	0.0540998	0.0205559	0.0473299
z	0.0136894	0.0136638	0.0352261	0.293388	0.57406	0.0182033	0.0148939	0.00232121	0.0345546
ώ	0.0230315	0.0142325	0.0142599	0.153569	0.635954	0.0775285	0.035043	0.0104397	0.0359422
m	0.00309532	0.0153612	0.00833175	0.12067	0.40266	0.168559	0.100015	0.0495952	0.131713
ó	0.0642418	0.0785351	0.0257879	0.0437042	0.300724	0.37002	0.0807267	0.0151906	0.0210698
t	0.0157217	0.0200374	0.127232	0.137694	0.143875	0.286756	0.169208	0.0567428	0.0427339
s	0.0170428	0.0341995	0.022488	0.101449	0.180085	0.488615	0.0367887	0.0849652	0.0343666
é	0.000229544	0.00226384	0.00313266	0.0408905	0.055024	0.539171	0.134198	0.193413	0.0316778
y	0.000591527	0.00218329	0.00518414	0.0216646	0.0317875	0.538956	0.113159	0.225428	0.0610465
á	0.00458393	0.00501989	0.00885906	0.0346147	0.189502	0.510492	0.179241	0.0501649	0.0175226
i	0.0045963	0.00364025	0.0115213	0.0134988	0.0278293	0.230167	0.529512	0.13873	0.0405059
b	0.00290058	0.00561381	0.0206259	0.0328311	0.0266729	0.214923	0.21493	0.366898	0.114605
v	0.00433763	0.00466252	0.012337	0.0194374	0.00547494	0.0589768	0.0180723	0.853014	0.0236876
e	0.000205201	0.000423022	0.000944936	0.0056992	0.00183075	0.0525304	0.0240104	0.883313	0.0310428
d	0.000191634	0.000557254	0.0013189	0.00379897	0.00333779	0.128852	0.0912179	0.272422	0.498304
í	0.00115624	0.00153254	0.00376109	0.0195486	0.0156668	0.272493	0.149769	0.179748	0.356324
</S>	0.000620431	0.00198885	0.00496681	0.00604402	0.00680454	0.0940304	0.235307	0.0747402	0.575497
