 	avant	que	l'	enfant	ne	voy	age	son	père	l'	a	béni	</S>
o	0.839109	0.096971	0.027536	0.0303494	0.00176764	0.000148453	0.000921656	0.00131299	6.57866e-05	0.000694423	0.000574192	0.00052437	2.54705e-05
b	0.984287	0.00868795	0.00114824	0.000230541	0.000586268	0.00125157	0.0023147	0.000177019	0.000477367	0.000178808	0.000100434	3.76658e-05	0.000522627
o	0.993031	0.0043521	0.000631834	0.0001348	0.000156005	0.000911472	0.000149685	0.000234483	2.18285e-05	0.000102233	5.18332e-05	0.000122848	9.94711e-05
s	0.881756	0.0151604	0.0125321	0.000732701	0.00743833	0.012254	0.0107273	0.0148115	0.00194997	0.0106593	0.00901092	0.00305578	0.0199117
ó	0.623571	0.158477	0.0376751	0.00163342	0.0183231	0.0284666	0.0225355	0.0237182	0.00153014	0.0195301	0.00686494	0.0294063	0.0282684
b	0.0513103	0.567028	0.138433	0.0557186	0.0438336	0.0114669	0.0123122	0.0181401	0.00915577	0.0162784	0.0179257	0.00309948	0.0552981
ó	0.0178682	0.457651	0.126762	0.00660285	0.061959	0.0239031	0.0181488	0.062648	0.00565276	0.0741306	0.0338966	0.016149	0.0946287
ó	0.00405421	0.485038	0.340862	0.0862965	0.0420318	0.00795724	0.00506548	0.00809657	0.00220238	0.00617825	0.00653997	0.000937922	0.00473949
d	0.00377844	0.360476	0.361227	0.0779336	0.119581	0.0265255	0.00452785	0.0039123	0.00196727	0.0110383	0.0125142	0.00578417	0.0107349
z	0.00282667	0.158084	0.379896	0.0380597	0.227756	0.0356364	0.00640273	0.010991	0.00169237	0.0359831	0.0136614	0.00426377	0.0847465
e	0.0016749	0.156961	0.426557	0.16267	0.187868	0.02577	0.0112523	0.011947	0.00391301	0.00583093	0.00066039	0.00226252	0.00263371
m	0.000216335	0.0547289	0.355297	0.298745	0.141018	0.0253197	0.010697	0.0157029	0.00136647	0.0216426	0.0073845	0.0147412	0.0531397
w	0.000448386	0.0383515	0.291734	0.518829	0.0722523	0.0291727	0.00183491	0.018536	0.000431146	0.00853332	0.00287616	0.00268388	0.0143169
á	0.000319793	0.01012	0.0201358	0.87974	0.0106078	0.0311886	0.00712468	0.0204022	0.000762303	0.00570201	0.000847801	0.00185686	0.0111923
n	5.49055e-05	0.00410098	0.0183031	0.929953	0.00352749	0.00376367	0.000164007	0.00324619	0.000348096	0.00106643	0.000917985	0.000539627	0.0340146
a	0.0072771	0.0311586	0.190602	0.527709	0.0195037	0.0770492	0.00154197	0.0245551	0.00681968	0.01483	0.00939851	0.00140835	0.0881465
l	0.000245945	0.0748981	0.21404	0.0714239	0.535992	0.03454	0.0100978	0.0139911	0.00675901	0.0133591	0.0127826	0.00192201	0.00994755
á	0.000563777	0.0337524	0.0679542	0.0178063	0.481426	0.0703851	0.0231745	0.0316583	0.0171906	0.0380189	0.0317849	0.0123559	0.17393
a	0.00181588	0.0280948	0.0673275	0.0496945	0.44821	0.209942	0.056782	0.0329815	0.0291974	0.0173696	0.015724	0.00853617	0.0343242
d	0.00409164	0.0154489	0.0105883	0.00307847	0.28766	0.6246	0.0297321	0.00248612	0.000946124	0.00291701	0.00196557	0.0115624	0.00492275
z	0.00168315	0.00905479	0.0281461	0.00209029	0.362255	0.547974	0.0244523	0.00332685	0.000163391	0.00499652	0.00111708	0.00866572	0.00607479
w	0.000161878	0.00489428	0.0174939	0.00681492	0.179389	0.756766	0.0231777	0.00371121	0.000494391	0.00209514	0.000169819	0.00279779	0.00203355
á	2.86919e-05	0.00173037	0.00851202	0.00565726	0.0468872	0.853381	0.0120308	0.0178052	0.00135015	0.0141243	0.00219093	0.00198682	0.0343154
n	8.37861e-05	0.0020425	0.0351872	0.0269638	0.131714	0.524721	0.075475	0.131229	0.00641061	0.0245889	0.00873912	0.0100174	0.0228283
