 	la	bile	est	amère	</S>
e	0.809511	0.165552	0.0213315	0.000610818	0.00299452
n	0.111787	0.769404	0.0775517	0.0368769	0.00438051
i	0.0777501	0.848769	0.0349448	0.000571743	0.0379645
n	0.0509068	0.760988	0.113731	0.00236142	0.0720125
g	0.199862	0.358667	0.092176	0.0216968	0.327598
i	0.0512468	0.829531	0.0798448	0.0120672	0.0273099
é	0.211655	0.0578752	0.403185	0.0609626	0.266322
d	0.10632	0.126118	0.468044	0.0688759	0.230643
í	0.0210515	0.00229085	0.11689	0.0904057	0.769362
l	0.0400591	0.0198955	0.182294	0.177136	0.580615
a	0.00232275	0.00102131	0.093377	0.12869	0.774588
k	0.0137269	0.0074564	0.0705626	0.427582	0.480672
a	0.000719385	0.000496642	0.00859061	0.945019	0.0451747
l	0.000648657	0.000601224	0.0413198	0.342463	0.614967
e	0.00398434	0.0100047	0.0689229	0.281954	0.635134
</S>	0.00423182	0.00973096	0.100172	0.0753076	0.810557
