 	la	pluie	qui	est	tombée	hier	a	fait	déborder	le	ruisseau	vouma	</S>
m	0.550098	0.234848	0.068049	0.0421331	0.0235352	0.00886822	0.0277943	0.0299747	0.00513396	0.00431717	0.00513114	1.16247e-05	0.000105053
v	0.0453326	0.751967	0.0508623	0.0350966	0.033581	0.00182413	0.0105875	0.00579429	0.00440704	0.00828254	0.0030864	0.00188733	0.0472907
ú	0.0328677	0.878215	0.061379	0.0133151	0.00964721	0.0010969	0.000454082	0.00158327	0.000112071	0.000645475	0.000226529	0.000331179	0.000126311
á	0.074648	0.438791	0.374044	0.0556696	0.0291981	0.00161403	0.00383005	0.00759074	0.000579162	0.00194065	0.000616674	0.000874411	0.0106036
y	0.0750738	0.0411323	0.36513	0.3265	0.0497277	0.0350428	0.0324432	0.0283919	0.01084	0.00592239	0.00209482	0.00165596	0.0260452
e	0.318421	0.136374	0.264219	0.108004	0.0448883	0.0168528	0.0333633	0.0187039	0.0179504	0.00979116	0.0090648	0.00779751	0.0145705
e	0.249377	0.0209081	0.222968	0.177485	0.0791386	0.0562363	0.0850503	0.0491045	0.0167974	0.00781074	0.0132692	0.0045461	0.0173083
b	0.0111396	0.01222	0.0638462	0.195018	0.269236	0.170303	0.00928171	0.0206954	0.0980927	0.063236	0.0066061	0.0122576	0.0680681
h	0.0242828	0.0305192	0.0780036	0.166498	0.416622	0.0969779	0.015116	0.0538465	0.0246541	0.0560123	0.00250516	0.00506435	0.029899
ó	0.0261971	0.0382086	0.102253	0.195464	0.485944	0.028649	0.00395441	0.013938	0.00806035	0.0572666	0.00341963	0.00154724	0.0350982
n	0.0170516	0.0190214	0.175244	0.236417	0.281096	0.153427	0.0201682	0.0255424	0.00442069	0.0199902	0.00728363	0.00160554	0.0387327
d	0.0733029	0.0390022	0.102478	0.137016	0.289049	0.111038	0.0242777	0.0139047	0.0166675	0.031773	0.008726	0.00359754	0.149167
í	0.0165868	0.012233	0.125948	0.13406	0.351214	0.0787615	0.0410002	0.0169963	0.0318389	0.0262503	0.00774424	0.00843976	0.148926
m	0.013453	0.00215355	0.0163161	0.0658676	0.130616	0.359958	0.237351	0.13374	0.0124524	0.00741047	0.0127242	0.000619563	0.00733719
í	0.128526	0.110685	0.055176	0.108703	0.20065	0.0813312	0.0556056	0.0866048	0.0032431	0.00766989	0.00296765	0.0747467	0.0840902
l	0.00833636	0.00394882	0.0124041	0.0491631	0.084596	0.233841	0.213492	0.253668	0.0272106	0.0191985	0.00833772	0.0539998	0.0318053
a	0.00163695	0.00277919	0.0108193	0.0336358	0.100222	0.053097	0.115371	0.107522	0.231288	0.0893075	0.0175563	0.0160102	0.220754
p	0.00125763	0.000379504	0.0044231	0.0142235	0.0533233	0.212841	0.175322	0.225325	0.130915	0.0593114	0.0656428	0.0167295	0.0403059
ó	0.00271995	0.000471679	0.00383043	0.0113463	0.0311866	0.612944	0.0950569	0.122308	0.0448062	0.020097	0.0114537	0.0121792	0.0316001
a	0.000920297	0.000195261	0.00200013	0.008432	0.0307709	0.575764	0.085537	0.135538	0.0584613	0.033494	0.0223025	0.00989648	0.0366875
á	0.00191848	0.000342802	0.00357451	0.0114952	0.0133623	0.00973049	0.0840459	0.124799	0.233646	0.287082	0.190912	0.00341131	0.0356803
l	0.00200736	0.00078049	0.00429267	0.0154006	0.0129808	0.00444255	0.00520989	0.0244702	0.388442	0.287543	0.148848	0.0759415	0.0296409
e	0.000108037	9.2513e-05	0.000899453	0.00272866	0.00348288	0.00167726	0.00234561	0.0125157	0.536683	0.316665	0.0590893	0.0187082	0.0450045
s	0.000126886	0.000129772	0.00128742	0.0106923	0.0251665	0.0291718	0.00592043	0.0186749	0.175176	0.392311	0.192308	0.0324394	0.116596
i	0.000524478	4.6344e-05	0.00058092	0.00351444	0.0109064	0.0183228	0.00640982	0.0154471	0.165463	0.330229	0.29127	0.0295101	0.127775
i	0.000834665	9.51554e-05	0.00174122	0.00595615	0.0084041	0.0358607	0.0993325	0.147257	0.089367	0.111342	0.228605	0.0931855	0.178019
w	0.000653669	0.000433133	0.00110287	0.00179279	0.00358811	0.0045055	0.017304	0.0216773	0.0390654	0.0863374	0.113175	0.26813	0.442235
ó	0.00288972	0.000889606	0.00359949	0.00574097	0.00781841	0.00286701	0.0582147	0.0976384	0.0456022	0.0907774	0.314178	0.298742	0.0710422
m	0.00100138	9.03109e-05	0.000373404	0.00114597	0.0027154	0.0184968	0.0160386	0.0198722	0.0102341	0.0765438	0.132879	0.388554	0.332055
á	0.00252299	0.00352512	0.00762875	0.00977565	0.00907838	0.00216986	0.00425015	0.00365063	0.000363402	0.0121518	0.0200621	0.763441	0.16138
</S>	0.00369361	0.000942955	0.00354648	0.0110354	0.0121485	0.0065389	0.01585	0.0174548	0.0329584	0.0590362	0.211875	0.494088	0.130831
