 	ce	chapeau	m'	appartient	</S>
e	0.874615	0.115822	0.00898261	0.000350931	0.000228581
k	0.127352	0.857666	0.00374787	0.0100065	0.00122755
ω	0.00559941	0.991725	0.000214769	0.00166832	0.000792011
t	0.00662018	0.98056	0.00727705	0.00267584	0.00286643
i	0.0767349	0.627453	0.0146405	0.00716032	0.274011
y	0.68437	0.0410889	0.121167	0.0084363	0.144938
é	0.739657	0.0476004	0.153846	0.031625	0.027272
é	0.451856	0.0110408	0.392015	0.109458	0.0356306
d	0.268796	0.0123242	0.245317	0.392424	0.0811378
i	0.0275758	0.000554605	0.023072	0.170349	0.778448
y	0.124395	0.00229015	0.0416469	0.414484	0.417184
á	0.00468705	0.00163534	0.0828314	0.478496	0.432351
n	0.0086307	0.00361428	0.209529	0.65932	0.118906
g	0.00367513	0.00206583	0.629623	0.276188	0.088448
á	0.0106868	0.00335983	0.577398	0.157312	0.251243
</S>	0.0156441	0.00292091	0.192499	0.375264	0.413672
