 	je	ne	bougerai	pas	d'	ici	</S>
n	0.852417	0.0271639	0.0308722	0.0297804	0.0448691	0.0137089	0.00118844
g	0.989293	0.00204395	0.00538302	0.00205447	0.000987591	6.8597e-05	0.000169899
á	0.983449	0.00601082	0.00378116	0.00451417	0.00123612	0.000314895	0.000693916
i	0.186446	0.197874	0.12537	0.113338	0.127929	0.064439	0.184604
d	0.0211373	0.568461	0.103984	0.0953681	0.031223	0.0504181	0.129408
í	0.0332068	0.603486	0.195988	0.0404656	0.00896454	0.0119011	0.105988
s	0.00451415	0.183908	0.595297	0.102395	0.0576118	0.00984073	0.0464332
i	0.0173246	0.297913	0.536416	0.0833061	0.0204629	0.0149327	0.0296444
o	0.00814013	0.198553	0.309593	0.185136	0.15535	0.053484	0.0897442
t	0.000258774	0.0626655	0.0923187	0.298451	0.0961207	0.32364	0.126545
í	2.46284e-05	0.0560846	0.0811946	0.273893	0.0608864	0.299806	0.22811
n	0.000149551	0.127642	0.22424	0.212752	0.124443	0.152838	0.157935
a	0.00418165	0.0577991	0.362942	0.243787	0.108955	0.112767	0.109567
a	0.00104862	0.0274513	0.0749984	0.176853	0.399185	0.172545	0.147919
k	0.00104908	0.0127567	0.0753341	0.18208	0.390876	0.27307	0.0648335
a	0.000165855	0.00450134	0.0819096	0.141143	0.135804	0.53937	0.0971063
á	0.000138552	0.00191248	0.060645	0.104584	0.0849537	0.395298	0.352468
</S>	0.00361015	0.00973112	0.0340467	0.0620269	0.16591	0.175695	0.548981
