 	la	manière	dont	il	avale	les	aliments	est	mauvaise	</S>
e	0.253452	0.651205	0.0515535	0.0286301	0.00427006	0.00105973	0.00120751	0.00143349	0.0012568	0.00593235
m	0.0054314	0.00146062	0.00489337	0.0338529	0.901576	0.0316897	0.00273858	0.00647074	0.00866683	0.00321965
i	0.0140233	0.000174027	8.32529e-05	0.0041228	0.969229	0.00864945	0.00037327	0.000545886	0.00250818	0.000290483
i	0.0314644	0.00969591	0.0086324	0.0642887	0.569894	0.021096	0.00917864	0.014412	0.128046	0.143292
l	0.0105247	0.0127198	0.0117225	0.110084	0.405948	0.127133	0.0598969	0.00920446	0.038503	0.214264
í	0.006142	0.0252738	0.0166128	0.0971285	0.199674	0.174838	0.0819145	0.0136912	0.0267951	0.357931
m	0.182555	0.35463	0.150766	0.115571	0.0528045	0.0542315	0.0335323	0.0241562	0.00244351	0.0293097
i	0.00948524	0.00354285	0.0190163	0.0232537	0.807067	0.0747129	0.0219873	0.00832805	0.0053234	0.0272833
i	0.00941948	0.0102501	0.0125624	0.105503	0.596887	0.0666757	0.0311634	0.0210721	0.0288752	0.117591
l	0.0036289	0.00640548	0.0468654	0.252232	0.313791	0.0653254	0.0345474	0.0118579	0.0170509	0.248295
í	0.0011579	0.00381858	0.0221027	0.25897	0.236571	0.104402	0.0259256	0.0174564	0.0142112	0.315385
y	0.00838702	0.0267924	0.234814	0.456354	0.163537	0.0536596	0.00641804	0.0104595	0.00166317	0.037915
é	0.0122779	0.0228152	0.358825	0.394697	0.102978	0.0536411	0.00614122	0.0105283	0.00162977	0.036466
é	0.0313411	0.0252507	0.18425	0.323145	0.262455	0.0879089	0.0139915	0.0203373	0.00234462	0.0489767
m	0.0121787	0.0030826	0.00878781	0.120512	0.547133	0.13064	0.0405649	0.0581139	0.0149854	0.0640017
i	0.00939217	0.00129818	0.000816636	0.0127564	0.400629	0.318558	0.073733	0.124166	0.0270887	0.0315616
á	0.0104189	0.000770383	0.000630405	0.00863881	0.700717	0.117426	0.0313271	0.0370852	0.0318404	0.0611461
w	0.00128425	0.00255	0.00850101	0.103135	0.102548	0.303898	0.256661	0.143762	0.015096	0.0625644
á	0.00447027	0.00829425	0.00965995	0.184078	0.0380357	0.290352	0.312103	0.0882861	0.0102666	0.0544534
b	0.0068117	0.00502117	0.00913344	0.108231	0.0592538	0.353546	0.339063	0.0324561	0.0178241	0.0686595
e	0.00580984	0.000625117	0.000511949	0.101828	0.0696303	0.413217	0.304648	0.0254324	0.0721157	0.00618233
a	0.000572272	0.000282862	0.00102262	0.0678978	0.0358369	0.383557	0.350478	0.0251356	0.10779	0.0274264
é	0.000498175	0.00206547	0.00905016	0.0426229	0.0110849	0.116581	0.278009	0.406058	0.0566615	0.0773694
d	0.00832068	0.00434964	0.00480691	0.034152	0.034712	0.0618748	0.0889474	0.526401	0.121766	0.11467
i	0.00160296	0.00205312	0.000568783	0.00252339	0.00943195	0.0162789	0.0251877	0.273027	0.155868	0.513458
e	0.00644927	0.0115885	0.00133504	0.00206193	0.00572065	0.0303734	0.0910298	0.556323	0.125897	0.169222
b	0.00469726	0.00321415	0.00136423	0.00692761	0.0395826	0.0267547	0.0183483	0.181727	0.475724	0.24166
é	0.0021063	0.00296489	0.00105763	0.013429	0.0112896	0.0465976	0.0659441	0.107718	0.672319	0.0765741
</S>	0.000263328	0.000991846	0.00169038	0.00547215	0.00286263	0.0429112	0.106075	0.0365086	0.25335	0.549875
