 	le	soleil	est	ardent	</S>
m	0.781215	0.207933	0.00858994	0.00179662	0.000465477
w	0.13658	0.803866	0.0360947	0.00178889	0.0216709
é	0.0649586	0.929591	0.00223407	0.00274223	0.000474321
s	0.364844	0.525851	0.0503326	0.000671125	0.0583013
é	0.299556	0.568829	0.0414277	0.00838197	0.0818058
ó	0.41466	0.269293	0.286097	0.00692488	0.0230242
d	0.263607	0.25068	0.443645	0.0141241	0.0279436
í	0.0469082	0.336604	0.310868	0.00569234	0.299927
l	0.0446217	0.0610196	0.514882	0.0799952	0.299482
a	0.0162547	0.0216774	0.474156	0.302274	0.185639
p	0.0197578	0.0342803	0.279035	0.56559	0.101337
á	0.00323831	0.00613589	0.0347836	0.933947	0.0218956
m	0.000336039	0.00118512	0.0193625	0.971018	0.0080982
i	0.00822846	0.0212985	0.461275	0.083895	0.425304
</S>	0.0111391	0.0084109	0.305156	0.15327	0.522024
