 	si	je	refuse	de	préparer	qui	boudera	contre	moi	</S>
w	0.737519	0.0819635	0.09963	0.0105552	0.00262433	0.0145094	0.00705876	0.044375	0.00170398	6.1196e-05
á	0.740671	0.0790606	0.0224755	0.0319945	0.00323868	0.0210639	0.0241204	0.0741763	0.00280064	0.000398284
á	0.390843	0.115592	0.0551303	0.0338335	0.0591931	0.0462418	0.0886849	0.0177351	0.00766324	0.185083
n	0.216007	0.238098	0.143974	0.0547169	0.107151	0.0349205	0.0117186	0.0293327	0.0569183	0.107163
g	0.0178371	0.859009	0.0046202	0.00871291	0.00985001	0.00592281	0.000230141	0.0054882	0.065502	0.0228278
á	0.00851685	0.715984	0.0289066	0.0102456	0.0079925	0.0021742	0.000455113	0.00563483	0.210065	0.0100252
i	0.0642591	0.130593	0.221852	0.208281	0.0658546	0.0577555	0.0305654	0.0552956	0.0196214	0.145923
t	0.0181334	0.0402535	0.717993	0.107787	0.0410062	0.0146991	0.0372991	0.00445523	0.00226922	0.016105
ó	0.0135513	0.0139341	0.661422	0.127406	0.0461742	0.0169806	0.0672532	0.0111423	0.00113766	0.0409983
n	0.0582963	0.108704	0.337141	0.27304	0.082376	0.0265738	0.0269522	0.0174951	0.00309291	0.0663288
í	0.114253	0.0998638	0.326346	0.223499	0.0667924	0.0178814	0.0189333	0.0142366	0.00389519	0.114299
o	0.047002	0.238022	0.0942506	0.365395	0.114564	0.0565569	0.0160617	0.0312643	0.00322442	0.0336596
l	0.000836252	0.00587518	0.0562189	0.198646	0.651158	0.025444	0.0465003	0.0055341	0.00189016	0.00789693
á	0.000980942	0.0105381	0.0488424	0.155273	0.477784	0.0421353	0.133401	0.0148663	0.00506786	0.111111
m	0.000893789	0.0439118	0.016097	0.101176	0.255973	0.0364366	0.0693349	0.053924	0.0333436	0.38891
b	0.00211898	0.00260441	0.0184769	0.210712	0.231912	0.186726	0.16693	0.0436906	0.00663438	0.130196
a	0.0120558	0.00743062	0.0384521	0.183355	0.0582021	0.0753203	0.137741	0.0603796	0.0146323	0.412431
o	0.00442034	0.0100619	0.0171977	0.0824113	0.0371526	0.334379	0.208465	0.197185	0.00632132	0.102406
f	0.000405115	0.00155769	0.0089466	0.0480909	0.0845913	0.139173	0.564982	0.0995775	0.0155752	0.0371007
ú	0.000488865	0.00030168	0.0427642	0.0427209	0.0361461	0.0530504	0.615006	0.0816203	0.0223352	0.105567
ú	5.89788e-05	0.000118646	0.000481937	0.00379508	0.00428774	0.0275702	0.91202	0.016764	0.00135715	0.0335459
s	7.06209e-05	0.000136751	0.000886393	0.00690866	0.00340708	0.232762	0.403624	0.22837	0.0136269	0.110208
u	0.000417217	0.00108575	0.000665119	0.0183905	0.00478513	0.0952138	0.190796	0.290994	0.0965253	0.301127
l	8.43426e-05	0.000664967	0.000296005	0.0111066	0.017897	0.142238	0.0950877	0.352878	0.119197	0.260551
a	0.00184499	0.0100404	0.00572784	0.0284482	0.0479734	0.13612	0.0695981	0.164804	0.24517	0.290273
n	9.70402e-05	0.00108189	0.000556277	0.00676011	0.0106845	0.0565364	0.0302845	0.143664	0.583892	0.166444
g	9.86343e-06	0.00184579	3.55812e-05	0.00105172	0.00174565	0.00718771	0.00108621	0.0120221	0.962014	0.0130011
á	6.19197e-06	0.000949777	2.50502e-05	0.000234896	0.000421508	0.00324826	0.00103219	0.0145589	0.972713	0.00680976
n	0.000174954	0.000382291	0.000828374	0.00891095	0.00433877	0.0375007	0.062246	0.125083	0.472175	0.28836
d	0.000708209	0.00656565	0.000430586	0.00619468	0.00567648	0.0212409	0.00587767	0.0313521	0.79574	0.126214
a	3.74376e-05	0.00043478	6.14021e-05	0.000784637	0.00376672	0.0101984	0.00641794	0.0180857	0.808008	0.152205
</S>	1.31097e-05	0.000168325	0.000168407	0.00134905	0.0040561	0.0256494	0.030617	0.072137	0.416899	0.448943
