 	j'	ai	faim	</S>
n	0.887293	0.0944155	0.0144418	0.00384967
g	0.979325	0.0182033	0.00193649	0.000535151
á	0.921362	0.0684766	0.00981264	0.000348963
i	0.103901	0.30494	0.492244	0.0989145
d	0.0246967	0.182246	0.649646	0.143411
í	0.0540794	0.693507	0.153317	0.0990963
l	0.0501689	0.289963	0.211786	0.448082
a	0.0404282	0.170464	0.270129	0.518978
n	0.0101606	0.125246	0.538141	0.326453
d	0.0434582	0.0661163	0.655804	0.234621
z	0.0317506	0.0420159	0.376858	0.549376
a	0.0104123	0.0155875	0.788262	0.185738
a	0.0114805	0.0153406	0.175104	0.798075
</S>	0.00373223	0.0189029	0.0346049	0.94276
