 	l'	en	fant	est	ellé	chercher	l'	embauche	avec	la	bénédiction	de	son	père	</S>
m	0.398741	0.550058	0.0419924	0.0034087	0.000416156	0.000387212	0.00141507	0.000474643	0.000766177	0.000173244	5.98263e-05	0.00054106	0.0015431	3.90169e-06	1.9216e-05
w	0.0235841	0.224133	0.718774	0.0190261	0.00291805	0.000711889	0.00145882	0.000383454	0.00159191	0.000847061	7.49757e-05	0.00162344	0.00308697	1.19609e-06	0.00178496
á	0.0172426	0.15258	0.827303	0.000444503	0.000614301	0.000516062	0.000164394	0.000288143	0.000132276	0.000140615	3.50416e-05	0.000256781	0.000248536	1.05988e-05	2.36951e-05
n	0.191756	0.582162	0.191409	0.0060847	0.0014977	0.00122666	0.00109182	0.000998689	0.00391022	0.00261657	0.000830048	0.00246551	0.000801526	0.000101787	0.0130473
a	0.125231	0.158764	0.54685	0.0410115	0.0140037	0.00476974	0.00380786	0.00208966	0.00479247	0.00340944	0.00198191	0.00680633	0.0095413	0.00301946	0.0739211
á	0.176492	0.124973	0.112569	0.496268	0.0480394	0.0173083	0.00579776	0.00146826	0.00350258	0.00154431	0.00187059	0.00206193	0.00184466	0.000949901	0.00530993
d	0.0038977	0.00303107	0.0197766	0.364748	0.377791	0.19686	0.00968236	0.00589641	0.00536077	0.0012366	0.000911058	0.00197519	0.00095439	0.00127339	0.00660547
z	0.00057732	0.000970535	0.0205953	0.0950076	0.778778	0.0410757	0.0062858	0.0279454	0.00300452	0.000945302	0.000496956	0.00413803	0.000554315	8.45475e-05	0.0195407
w	0.00720034	0.000446968	0.00804905	0.0412674	0.898022	0.0375768	0.00322462	0.00254356	0.000519311	0.000194044	0.000111863	0.000335695	3.08954e-05	1.22253e-05	0.000465666
e	0.0258208	0.00524257	0.0630148	0.19214	0.486547	0.1104	0.0585344	0.0227531	0.00847298	0.00432511	0.0018928	0.00345775	0.00360579	0.000171331	0.0136212
o	0.010767	0.00322534	0.0081327	0.300611	0.203439	0.323608	0.06742	0.0179201	0.0136585	0.00639151	0.00559251	0.00709489	0.00576213	0.00210869	0.024269
y	0.00079543	0.000365099	0.00181238	0.00611222	0.151393	0.701031	0.0503676	0.0663552	0.00795947	0.00334727	0.00284698	0.00339729	0.000558548	0.000228611	0.00342991
é	5.18638e-05	4.21495e-05	0.000211822	0.00138795	0.186477	0.78487	0.00836589	0.0111216	0.000593475	0.000312019	0.000827833	0.00135308	0.000106481	0.000200158	0.00407867
n	0.000114585	4.83977e-05	0.000702586	0.00255442	0.0592585	0.795552	0.0420715	0.0176582	0.00612005	0.00379794	0.00273158	0.0088586	0.000323404	0.000259118	0.0599496
g	0.000218817	0.000352363	0.00233445	0.0221904	0.102548	0.705573	0.101278	0.0333045	0.0103976	0.00369343	0.00191257	0.00551627	0.00171309	0.000172808	0.00879423
á	0.000888862	0.00154145	0.00520898	0.0237475	0.0713945	0.540474	0.202506	0.0346494	0.0231264	0.0183753	0.00740332	0.0256177	0.0066808	0.00123691	0.0371493
i	0.00173168	0.000529537	0.00112166	0.0119262	0.0396238	0.24179	0.431333	0.161714	0.0662042	0.0170283	0.0065158	0.00736276	0.0045618	0.00114467	0.00741263
s	0.000697353	0.000409746	0.0017919	0.000514713	0.0030884	0.0973219	0.239799	0.388654	0.135622	0.0617113	0.0478991	0.0149806	0.00114406	0.00119805	0.00516835
á	0.000497237	5.3543e-05	0.000310737	0.000996129	0.00809866	0.0257008	0.116144	0.640766	0.108665	0.04406	0.0340568	0.0159289	0.000173222	0.000133444	0.00441609
l	0.000653522	3.66322e-05	0.000195923	0.000653577	0.00241542	0.0188525	0.0796085	0.324671	0.160687	0.088263	0.187654	0.0500787	0.00471563	0.00783385	0.0736816
a	0.000299113	0.000258808	0.000200652	0.000407862	0.00125109	0.0084277	0.150786	0.246998	0.282719	0.133145	0.0675264	0.0602056	0.00980405	0.00399551	0.0339752
l	0.000226929	7.03057e-05	6.55036e-05	0.000615965	0.000519396	0.0072888	0.0587707	0.0712692	0.445411	0.217213	0.0923301	0.0721313	0.0059229	0.00343257	0.0247326
a	0.00106132	0.000147478	9.48463e-05	0.000646603	0.000701575	0.00358859	0.0263707	0.069196	0.224981	0.240277	0.189245	0.170816	0.0111361	0.0143222	0.0474154
l	0.00285772	0.000557573	0.00025415	0.00139771	0.000527136	0.00189782	0.0283602	0.0160028	0.159595	0.255475	0.311317	0.181713	0.0104225	0.0186442	0.010977
e	0.000540571	0.000176229	0.000124553	0.000564946	0.000884863	0.00198477	0.0194481	0.0208704	0.143036	0.253677	0.249598	0.275808	0.00592818	0.00966732	0.0176918
t	9.59143e-05	2.7102e-05	4.31971e-05	0.000134332	0.000545966	0.00121552	0.0125685	0.0119455	0.0761991	0.197568	0.361169	0.314003	0.00157685	0.00766497	0.0152429
s	0.000530517	0.000114751	0.000111058	8.37056e-05	0.000157439	0.00132773	0.00815173	0.0109268	0.0437757	0.119766	0.652844	0.0574976	0.00197584	0.0741507	0.0285855
a	3.89924e-05	1.07888e-05	3.65401e-05	1.65029e-05	0.000116429	0.0033712	0.00996129	0.0229074	0.0551708	0.162938	0.521717	0.169695	0.00749511	0.00849141	0.0380331
t	6.65807e-05	2.01956e-05	4.11674e-05	4.20917e-05	0.000240455	0.000999091	0.0031517	0.00628584	0.0393998	0.103519	0.671485	0.0910603	0.00462409	0.010724	0.0683415
s	0.00256033	0.000214906	0.000151125	0.000105319	0.000259949	0.00110744	0.00471554	0.00143073	0.0189679	0.0840976	0.659134	0.0741209	0.00391381	0.115864	0.0333568
a	0.000380305	4.25471e-05	9.29199e-05	2.86972e-05	0.000316531	0.00219674	0.0035508	0.00959313	0.028786	0.0978464	0.647807	0.133537	0.00965926	0.0209932	0.0451694
e	0.000845941	6.70125e-05	4.5834e-05	3.01032e-05	0.000117376	0.00107457	0.00214459	0.00286091	0.0317948	0.0700734	0.480094	0.18276	0.020983	0.021279	0.18583
l	0.000734352	0.000154972	0.000479341	0.000534544	0.000359061	0.00230928	0.00973041	0.00260936	0.0833601	0.125541	0.139111	0.421025	0.0345729	0.0168808	0.162598
á	0.00194819	0.000899175	0.000125462	0.000615021	0.000390973	0.00231593	0.0128889	0.00815583	0.0974128	0.148855	0.158619	0.370741	0.0678011	0.0568939	0.0723384
t	0.00225767	0.00116377	0.000125274	0.000891466	0.000217547	0.000686442	0.00272049	0.00106265	0.015399	0.0346006	0.0984102	0.247053	0.26465	0.259632	0.0711291
á	0.000135335	0.000142125	8.80686e-05	0.000192627	0.000106477	0.000621974	0.00256718	0.00224036	0.0133293	0.045999	0.257873	0.0964298	0.0127483	0.542566	0.0249604
á	4.25285e-05	2.70071e-05	8.02654e-06	9.38829e-05	4.09353e-05	0.000142314	0.000246558	0.0011502	0.00218351	0.00401765	0.0870058	0.0152731	0.0106548	0.857038	0.0220753
</S>	0.000223758	8.26183e-05	0.000325208	0.000943704	0.000195788	0.00058671	0.00226402	0.00257265	0.015689	0.021201	0.0325756	0.137396	0.559176	0.0944758	0.132292
