 	je	ne	parle	pas	encore	bien	le	mbochi	</S>
n	0.875798	0.0659101	0.000999181	0.0127543	0.00067271	0.00933812	0.0119322	0.0203291	0.00226572
g	0.981228	0.0163051	0.000113367	0.00120951	0.000441111	8.92826e-05	0.000162003	0.000427662	2.37548e-05
á	0.919839	0.0739888	0.000762345	0.000724982	0.00156531	0.000399041	0.00106237	0.00158381	7.41494e-05
i	0.140349	0.460568	0.0104607	0.0320963	0.0168961	0.0252226	0.0502879	0.0859049	0.178214
s	0.00825865	0.523822	0.371688	0.004916	0.0232477	0.0138205	0.00878553	0.00786803	0.0375933
á	0.104722	0.732549	0.0872638	0.00310805	0.0567663	0.0010507	0.00110097	0.00105437	0.012385
a	0.0136112	0.23809	0.408901	0.173593	0.0748669	0.00722332	0.0151459	0.0027605	0.0658077
o	0.0146953	0.121318	0.224644	0.496054	0.080795	0.0149089	0.0118236	0.00181594	0.0339461
t	0.00010105	0.0387273	0.773724	0.0398797	0.106022	0.00847672	0.0139312	0.00871354	0.0104247
i	9.32605e-06	0.0215063	0.841925	0.0228051	0.0347925	0.0166514	0.00974419	0.00327462	0.0492912
á	3.73443e-05	0.0602138	0.561617	0.0856125	0.0682339	0.0356753	0.023952	0.00761848	0.157039
e	0.00340688	0.0209894	0.0183422	0.59307	0.200438	0.0696403	0.0566643	0.0159995	0.0214501
m	0.000173208	0.00666427	0.0300902	0.109611	0.187437	0.188533	0.190903	0.0999838	0.186604
b	0.000336747	0.00734888	0.00187702	0.0302779	0.115225	0.044394	0.122325	0.450889	0.227326
ώ	6.49672e-05	0.00194269	0.0021588	0.0140819	0.0417084	0.0537807	0.0733086	0.680701	0.132253
s	8.46717e-06	0.00453662	0.00394039	0.0395339	0.0272986	0.187751	0.103641	0.470232	0.163058
í	5.8592e-05	0.00260979	0.0101855	0.0770637	0.103171	0.131403	0.161842	0.0683771	0.445289
o	0.00104731	0.00326966	0.00306881	0.121781	0.0626715	0.197994	0.298423	0.0752637	0.23648
b	7.29016e-05	0.0219133	0.0220318	0.0251823	0.0814691	0.125647	0.43911	0.159941	0.124633
v	4.14583e-05	0.00937514	0.0241223	0.0200352	0.0232508	0.21406	0.213545	0.420107	0.0754624
έ	0.000311562	0.00639451	0.0268231	0.0590702	0.0216173	0.305244	0.11535	0.352271	0.112918
k	0.000114567	0.000467132	0.00138231	0.023684	0.0103732	0.142868	0.0827664	0.0785824	0.659762
a	0.00413821	0.00704192	0.014377	0.0464256	0.0221326	0.37155	0.170423	0.11582	0.248092
á	0.000503171	0.00070897	0.00284201	0.00953991	0.00426921	0.0723406	0.0356816	0.0702817	0.803833
</S>	0.000192335	0.00485728	0.00714324	0.0253802	0.0204664	0.0974812	0.271309	0.0502122	0.522958
