 	le	sol	durcit	pendant	la	saison	sèche	</S>
l	0.759039	0.223319	0.00670677	0.00379902	0.00413823	0.00233528	0.00049804	0.000164675
e	0.774666	0.199921	0.00243696	0.00868946	0.00785561	0.0031947	0.00241542	0.000821044
t	0.393518	0.544013	0.00610795	0.0164055	0.00881363	0.00235938	0.0023195	0.0264632
s	0.30575	0.476002	0.0137955	0.0593343	0.028493	0.0119046	0.0168148	0.0879058
ε	0.124631	0.840474	0.00623764	0.0100262	0.00647669	0.00217002	0.00315714	0.00682688
n	0.415468	0.185415	0.0216348	0.0184786	0.0354994	0.0331728	0.0474549	0.242877
g	0.250587	0.23422	0.0305328	0.123645	0.0913819	0.0552285	0.0192503	0.195154
ε	0.255611	0.661053	0.00420255	0.0057071	0.0107788	0.0097198	0.00400353	0.0489233
l	0.284525	0.20636	0.201495	0.176991	0.0427801	0.0433629	0.00349101	0.0409947
í	0.176783	0.178125	0.111099	0.130023	0.0457043	0.0495811	0.00607732	0.302608
i	0.265292	0.106548	0.349789	0.136034	0.0470444	0.0337844	0.00563379	0.0558742
b	0.0236997	0.00516473	0.796804	0.0826663	0.0316078	0.00288595	0.00642175	0.0507503
h	0.00207397	0.000113741	0.975454	0.0117773	0.00577697	0.000858116	0.00130938	0.00263683
á	0.0049174	0.00011578	0.909777	0.0347659	0.0249172	0.00255214	0.00535305	0.017602
m	0.00286536	0.00100274	0.538341	0.172936	0.113291	0.0188528	0.0289712	0.12374
á	0.00512425	0.000260716	0.489436	0.167261	0.199558	0.0953821	0.0102712	0.0327066
l	0.00871161	0.0037517	0.195368	0.31164	0.266112	0.143855	0.0338798	0.0366819
e	0.0169855	0.0052697	0.0455371	0.282512	0.215727	0.0766601	0.0334705	0.323839
b	0.0114646	0.00153287	0.0456482	0.252659	0.259197	0.094704	0.262218	0.0725765
h	0.0131764	0.000381743	0.084798	0.0918122	0.264805	0.0428878	0.483567	0.0185722
ó	0.00148833	0.000116157	0.0597537	0.0577744	0.187696	0.0240587	0.584558	0.0845541
y	0.000572548	0.00012274	0.00663704	0.0587591	0.181156	0.0965949	0.55822	0.0979377
á	0.00943034	0.00498722	0.0161285	0.151212	0.218396	0.133084	0.31121	0.155553
</S>	0.00444559	0.00106912	0.0116264	0.0757803	0.0809382	0.238518	0.261503	0.326119
