 	il	achète	du	sésame	au	marché	</S>
w	0.984087	0.00676622	0.00342009	0.00248049	0.00240932	0.000748139	8.90231e-05
a	0.91253	0.0265328	0.0312682	0.00148159	0.027553	0.000574417	6.03264e-05
l	0.408996	0.382056	0.154883	0.00935608	0.0198545	0.00747105	0.0173838
á	0.229364	0.0827555	0.184476	0.0196851	0.0398884	0.0277088	0.416123
a	0.484143	0.0324254	0.130128	0.0177838	0.0449644	0.100222	0.190334
s	0.0244925	0.933728	0.026678	0.00801846	0.000956773	0.00175259	0.00437337
ó	0.00599578	0.988897	0.00305547	0.000836101	9.58449e-05	0.000243458	0.000876816
m	0.0442657	0.558212	0.222451	0.141127	0.0103795	0.0103251	0.0132389
b	0.0354583	0.321355	0.358782	0.155829	0.0651793	0.00365423	0.0597425
á	0.13624	0.123474	0.351161	0.172279	0.071578	0.00795122	0.137317
o	0.019011	0.012365	0.69116	0.119707	0.117276	0.0290275	0.0114537
p	0.00208797	0.0473651	0.221806	0.673001	0.0262894	0.0263195	0.00313054
f	4.37553e-05	0.00343453	0.030447	0.956416	0.00551215	0.00245813	0.00168801
u	1.70236e-05	0.00313052	0.00774981	0.979726	0.00119196	0.00570848	0.00247588
n	0.0175742	0.0136056	0.174428	0.734928	0.0453848	0.0103646	0.00371518
y	0.0170713	0.00402261	0.0359864	0.892437	0.00957516	0.0123177	0.0285902
ε	0.00195404	0.000351358	0.0070515	0.970993	0.00577499	0.0040179	0.00985713
ó	0.00478794	0.000217079	0.117129	0.164422	0.569887	0.0427503	0.100807
d	0.00421674	0.00866577	0.0841157	0.0650814	0.10362	0.695161	0.0391387
z	0.000296708	0.00043589	0.00301741	0.00259275	0.02556	0.761376	0.206722
á	0.000969379	0.000118084	0.00941601	0.025627	0.0487605	0.842155	0.0729541
n	0.000913046	0.000166951	0.00951982	0.0151534	0.0758881	0.582547	0.315812
d	0.000129611	0.000373726	0.00430611	0.0129214	0.0248697	0.776069	0.181331
e	0.000171576	0.000166988	0.00362317	0.0120515	0.0121124	0.680716	0.291158
</S>	0.00010453	0.000215049	0.0173987	0.0154224	0.0652518	0.338115	0.563493
