 	la	maladie	de	sa	femme	l'	a	plongé	dans	les	dettes	</S>
i	0.409717	0.380145	0.158032	0.0250184	0.0048213	0.00537348	0.00745326	0.00194452	0.00441437	0.00245643	0.00027627	0.000348618
k	0.0343737	0.958586	0.00307074	0.000108334	0.000483564	0.000326878	0.00036141	0.000268733	0.000461143	0.000346218	0.00123391	0.000379081
ω	0.00554231	0.979948	0.00792527	0.000366848	0.000516103	0.000172698	0.000179724	0.000178925	0.000346959	0.000545624	0.00293461	0.00134269
n	0.0036688	0.988172	0.00643965	0.0008799	0.000263527	0.000137121	2.38575e-05	1.17381e-05	5.85902e-05	8.40452e-05	8.39121e-05	0.000177291
í	0.0585664	0.902651	0.0218917	0.000438392	0.000257286	0.00210177	0.000456411	0.000317477	0.000875235	0.00103702	0.00258651	0.00882115
l	0.313519	0.0816654	0.469039	0.0367881	0.00432273	0.0387513	0.00970474	0.00231249	0.00791868	0.00729615	0.000725639	0.0279575
á	0.168806	0.0148744	0.182056	0.107721	0.032328	0.0662041	0.077211	0.0326194	0.0390872	0.0351672	0.00807464	0.235851
m	0.13762	0.00421482	0.173959	0.169674	0.421159	0.0440075	0.016166	0.00995799	0.00775781	0.00589499	0.00155014	0.00803831
w	0.0099759	8.28217e-05	0.029542	0.127666	0.786645	0.0438056	0.000954137	0.00016425	0.000289526	0.00028666	7.33585e-05	0.000514941
á	0.0461982	0.00350163	0.0713342	0.0423644	0.677579	0.135487	0.00717124	0.00371927	0.00392241	0.00314697	0.00254823	0.00302799
s	0.131533	0.00150065	0.0592165	0.601777	0.142588	0.0445126	0.0122143	0.00010708	0.00187042	0.00193855	0.000125118	0.00261614
í	0.0761462	0.013671	0.184347	0.25582	0.245171	0.083392	0.00883912	0.011516	0.00604421	0.00556697	0.00937674	0.10011
y	0.020652	0.00372223	0.228321	0.158858	0.0328713	0.280563	0.184317	0.0375398	0.0190391	0.0143624	0.00254307	0.0172113
a	0.0497653	0.00113128	0.159171	0.477876	0.170131	0.10357	0.0107712	0.0142677	0.00275325	0.00182461	0.00174247	0.00699586
w	0.0120989	0.000152022	0.0569739	0.773013	0.037186	0.087288	0.0232229	0.00369647	0.00184238	0.00149062	0.000352912	0.00268262
a	0.0250897	0.00152899	0.124299	0.18157	0.0791733	0.201049	0.195749	0.0244888	0.0468114	0.0447812	0.0238211	0.0516379
í	0.00208782	0.000219789	0.0317822	0.025987	0.0256216	0.337743	0.461003	0.0667312	0.0252245	0.0147611	0.000560947	0.00827806
y	0.0040186	0.000530897	0.00330347	0.00165017	0.00128548	0.0151876	0.0871847	0.727225	0.119488	0.029571	0.000662189	0.00989206
í	0.000311837	9.58261e-06	0.000519084	0.000791143	0.000657346	0.00862452	0.0264922	0.935413	0.0233733	0.00232156	0.000260168	0.00122645
n	0.00119869	0.000110646	0.00269717	0.00166686	0.000327628	0.00657661	0.0117677	0.924431	0.0393246	0.00693797	0.000962572	0.00399813
i	0.000682224	0.000480007	0.00732634	0.00569358	0.000306848	0.0375347	0.138465	0.67526	0.0935989	0.0250991	0.00720434	0.00834826
s	0.00200364	8.86201e-05	0.026314	0.122336	0.0353494	0.147754	0.24485	0.0708491	0.213415	0.103159	0.0146763	0.0192036
i	0.0132808	0.00103542	0.0454607	0.269422	0.00287736	0.0525347	0.0415545	0.288158	0.144046	0.0539504	0.0553403	0.0323388
w	0.00211561	9.59406e-05	0.0166485	0.193045	0.0072707	0.121238	0.157611	0.043466	0.199626	0.160208	0.0203743	0.0783005
a	0.00243464	0.00054435	0.0228487	0.115497	0.00705239	0.105815	0.179482	0.0105026	0.140029	0.190042	0.143878	0.0818753
m	0.000755545	0.000181088	0.0103874	0.0143264	0.00215326	0.0196758	0.0390252	0.00649521	0.243352	0.372364	0.0300996	0.261185
í	0.00174431	0.000754716	0.0271954	0.0172449	0.000804523	0.0137008	0.00573262	0.000476375	0.188566	0.297944	0.130356	0.31548
b	0.000690216	0.00108483	0.00637578	0.00290654	0.000147604	0.00638576	0.0121817	0.000736039	0.096891	0.23582	0.53845	0.098331
y	0.000382743	0.0010682	0.00167459	0.000373405	4.93003e-05	0.000633392	0.0019736	0.000670398	0.0650109	0.129346	0.750377	0.0484407
é	0.00011774	0.000183529	0.00057642	0.000209771	1.4712e-05	0.000496979	0.00236776	0.00805925	0.0850722	0.0784234	0.750279	0.0741988
m	0.000122731	0.000413899	0.000842582	0.000275207	6.28546e-06	0.00238176	0.00574113	0.0241817	0.117361	0.145971	0.513284	0.189419
b	0.00125485	0.000430149	0.00435237	0.00184332	8.72044e-06	0.00101624	0.000537962	0.000110006	0.0304177	0.0794753	0.744801	0.135752
o	0.0026719	0.000726797	0.00314691	0.000524008	2.3631e-05	0.00152124	0.000453351	0.000235763	0.00734891	0.0106979	0.77153	0.201119
</S>	0.00460073	0.00403526	0.00853906	0.00535142	0.000109361	0.0130297	0.00749642	0.00324624	0.0554186	0.119743	0.0857707	0.69266
