 	cet	homme-là	avait	eu	des	rapports	sexuels	avec	ta	soeur	</S>
i	0.935077	0.0254668	0.0196256	0.000992925	0.000674699	0.000343724	0.00401668	0.00257364	0.0102916	0.000787904	0.000149529
b	0.357303	0.589951	0.0190075	0.00319452	0.00258196	0.000269377	0.00053415	0.00653784	0.0107949	0.00826262	0.00156354
a	0.00338111	0.99309	0.000291531	4.20563e-05	5.57972e-05	1.72267e-05	8.40892e-06	0.000302015	0.000134419	0.00266747	9.90806e-06
a	0.02575	0.955969	0.00342119	0.00050833	0.000488326	0.000197979	0.00152318	0.000778934	0.00302639	0.0022054	0.0061317
d	0.607342	0.0146882	0.0493088	0.0378626	0.0225453	0.0067677	0.00554465	0.00918954	0.012032	0.00541277	0.229306
í	0.0307849	0.000972192	0.0116989	0.0122804	0.00861571	0.00336879	0.011183	0.0265767	0.0290567	0.00158506	0.863878
i	0.0900117	0.052539	0.227954	0.117556	0.0837725	0.0565283	0.0613044	0.0279062	0.028593	0.00294074	0.250894
á	0.00698488	0.0287753	0.0121859	0.0523394	0.0624378	0.380922	0.115073	0.0764499	0.0220807	0.0236765	0.219075
l	0.00630999	0.0218168	0.0210397	0.0437862	0.0464493	0.260146	0.21702	0.0802602	0.155067	0.108975	0.0391304
é	0.000672434	0.00149758	0.0221557	0.080116	0.0451503	0.327636	0.373239	0.0368123	0.033933	0.000766872	0.0780208
á	0.0212992	0.00445789	0.0541017	0.116392	0.141314	0.193551	0.174549	0.0803651	0.102438	0.00784559	0.103686
n	0.00379371	0.00112737	0.0116194	0.0140486	0.0200501	0.0841579	0.640583	0.112569	0.0764878	0.00480976	0.030753
ώ	0.0053953	0.000343259	0.0250018	0.034141	0.0220571	0.0282363	0.690231	0.0214175	0.159691	0.0038324	0.00965333
b	0.00245604	0.000896709	0.0443883	0.088019	0.0794023	0.0886104	0.445391	0.0464424	0.1262	0.0111161	0.0670777
o	0.0144561	0.0219334	0.0156144	0.00552169	0.0199894	0.00589402	0.0240087	0.329481	0.233206	0.277669	0.0522263
l	0.00547589	0.050209	0.0511409	0.0215053	0.0346349	0.0185343	0.0425368	0.048717	0.0484376	0.481224	0.197585
a	0.00161936	0.000948257	0.00690296	0.0108181	0.015296	0.0180632	0.218164	0.213061	0.141734	0.149161	0.224233
</S>	0.00379109	0.00559879	0.0138129	0.0109037	0.00776747	0.00742945	0.0543562	0.0627428	0.0934905	0.298622	0.441486
