 	leur	grand-mère	mange	dans	une	casserole	</S>
k	0.288473	0.703905	0.00241828	0.00312152	0.00192773	3.81194e-05	0.000116379
a	0.0619862	0.929549	0.00546784	0.00171431	0.000808089	6.48046e-05	0.000409334
a	0.00885834	0.985676	0.00167772	0.00255718	0.000656967	4.86602e-05	0.000525027
g	0.301376	0.506098	0.0772483	0.0206228	0.00902151	0.00124627	0.084387
h	0.323145	0.103523	0.215859	0.0715625	0.0145212	0.0147694	0.25662
á	0.418167	0.0999039	0.140687	0.0532917	0.0387937	0.0564463	0.19271
y	0.562428	0.0795468	0.219421	0.0303327	0.0258891	0.0128254	0.0695569
a	0.504661	0.00713973	0.305438	0.0175818	0.0231301	0.0966324	0.0454167
b	0.831567	0.00704157	0.125403	0.00887616	0.00585653	0.0120282	0.00922748
á	0.977284	0.0116079	0.0052783	0.00353158	0.000979269	0.000546262	0.000772956
a	0.957908	0.0254481	0.00373701	0.00963748	0.00114194	0.000330774	0.00179686
l	0.00832895	0.00364232	0.422798	0.470145	0.0499374	0.00462577	0.0405232
á	0.0109893	0.00405669	0.327271	0.268351	0.0804542	0.0246905	0.284186
a	0.0945492	0.0011976	0.208075	0.362176	0.189355	0.0396525	0.104995
d	0.00298558	0.00260662	0.290151	0.454155	0.226189	0.00883697	0.0150757
z	3.75366e-05	0.0003162	0.450288	0.397908	0.108628	0.0229111	0.0199105
á	0.00182519	0.000737018	0.635635	0.208226	0.120724	0.0279888	0.00486507
á	0.00463238	0.000539198	0.0572773	0.266775	0.267568	0.119424	0.283783
s	0.0196039	0.00503881	0.0132343	0.101395	0.454168	0.294345	0.112215
á	0.00364673	0.000523291	0.0140125	0.0775761	0.298154	0.364734	0.241353
m	0.0117652	0.00171116	0.00637837	0.014753	0.0541562	0.888345	0.0228912
b	0.001856	4.04114e-05	0.000209137	0.00219557	0.0376751	0.944118	0.0139053
e	0.00101413	0.000286169	0.00221943	0.0426427	0.0928266	0.773481	0.0875296
á	0.00019289	0.00103401	0.00232623	0.104207	0.223654	0.370363	0.298223
</S>	0.0193729	0.00371973	0.0101362	0.070105	0.208124	0.0785625	0.60998
