 	les	termites	sortent	de	cette	termitière	</S>
n	0.673709	0.303836	0.0104791	0.00538281	0.00540741	0.00112073	6.47013e-05
d	0.0729394	0.925829	0.000354517	0.000385692	0.000424179	3.48288e-05	3.26606e-05
w	0.00625548	0.993183	0.000180859	7.49187e-05	0.00018599	8.36676e-05	3.64094e-05
ε	0.0240327	0.96379	0.00362001	0.00350837	0.00325037	0.000719978	0.00107872
n	0.0909263	0.503296	0.294849	0.0201747	0.0113654	0.00475426	0.0746346
g	0.116071	0.577108	0.209567	0.0162581	0.00678515	0.00113326	0.0730772
ε	0.173441	0.646917	0.145534	0.00929434	0.0078975	0.000499916	0.016416
b	0.0273595	0.0237289	0.767312	0.136236	0.0310687	0.000724538	0.0135702
ó	0.0608157	0.0204919	0.466367	0.29315	0.0698712	0.00101247	0.0882916
y	0.0810796	0.0468946	0.54745	0.199516	0.0588031	0.00638701	0.0598701
é	0.238398	0.050976	0.465936	0.141699	0.0625625	0.0110353	0.0293925
e	0.162822	0.0203563	0.38966	0.256813	0.107396	0.00865037	0.0543021
p	0.00767541	0.00172901	0.061404	0.511604	0.33008	0.0299193	0.0575878
f	0.00417193	0.00168417	0.064486	0.458759	0.327359	0.0263715	0.117169
e	0.0234903	0.000800373	0.0308408	0.441859	0.343828	0.0167246	0.142457
e	0.00907908	0.00122953	0.0880226	0.374161	0.44281	0.0184719	0.0662257
n	0.00452588	0.00114061	0.0231916	0.387969	0.455067	0.0127297	0.115376
á	0.0612299	0.0326093	0.133986	0.461324	0.182648	0.0197333	0.10847
s	0.00205006	0.000891812	0.0421417	0.461184	0.381204	0.0128431	0.0996845
ó	0.0294174	0.00074534	0.0202669	0.336688	0.394036	0.125059	0.0937868
s	0.0179757	0.00373406	0.012232	0.110601	0.319303	0.502387	0.0337685
é	0.00334998	0.000352491	0.00153652	0.0341722	0.179714	0.768333	0.0125419
m	0.000385281	5.16542e-05	0.00639493	0.0724558	0.0892278	0.70064	0.130844
b	0.00182027	9.78121e-05	0.00169603	0.0299445	0.143683	0.5324	0.290358
á	0.00846915	0.000919411	0.0358141	0.137477	0.165943	0.102579	0.548798
m	0.00605396	0.000341011	0.0110009	0.0618404	0.098479	0.0144014	0.807883
ú	0.00673213	0.000208448	0.0109596	0.0556893	0.583411	0.0261286	0.316871
</S>	0.00202251	0.000132918	0.00222587	0.0467435	0.291116	0.0645795	0.59318
