 	j'	habite	le	secteur	de	l'	église	</S>
n	0.912643	0.0317965	0.0396752	0.00171641	0.0098243	0.00343765	0.00046197	0.000444992
g	0.998214	0.000155346	0.000438747	2.97424e-06	0.000246325	0.000363672	0.000576155	3.09781e-06
á	0.97517	0.00234608	0.00190557	7.85742e-05	0.000836359	0.0010448	0.0186034	1.49246e-05
l	0.231248	0.141667	0.166112	0.0237734	0.0656486	0.0772978	0.00563728	0.288615
í	0.827739	0.0518323	0.0184872	0.00396615	0.0291438	0.0219317	0.00274558	0.0441543
i	0.0610103	0.210058	0.443423	0.033043	0.0835102	0.0879383	0.0264257	0.0545911
d	0.00175519	0.909318	0.0660641	0.0165207	0.00207975	0.000334529	3.10574e-05	0.00389706
z	0.000646556	0.99081	0.00651228	0.00195113	5.48254e-05	4.58323e-06	8.419e-07	1.9469e-05
e	0.0166857	0.980535	0.00233053	0.000310646	5.21196e-05	3.14764e-05	2.74308e-05	2.71457e-05
e	0.0457043	0.484394	0.219564	0.152679	0.0482566	0.00479488	0.00134272	0.0432651
m	0.000758615	0.0123759	0.609071	0.246938	0.0831103	0.0150443	0.00177764	0.0309247
á	0.000541372	0.0143408	0.579666	0.104339	0.140507	0.0857709	0.00440789	0.0704267
m	0.00657914	0.0140235	0.336445	0.519016	0.0771321	0.0224469	0.00707084	0.0172862
ó	0.00033937	0.0270153	0.294055	0.280518	0.148258	0.114398	0.0235552	0.111861
p	0.000138817	0.00699015	0.0659781	0.810254	0.0758065	0.0120184	0.0121023	0.0167113
a	9.82831e-06	0.000553699	0.0270795	0.869683	0.0795805	0.00532774	0.00327524	0.0144903
s	5.31418e-05	0.00119945	0.0319815	0.781637	0.114349	0.00845074	0.00155388	0.0607756
i	7.52885e-05	0.00102475	0.0194186	0.784024	0.156807	0.0139913	0.00274004	0.0219197
y	0.000192075	0.000244803	0.0167685	0.124349	0.450123	0.105689	0.0135182	0.289115
á	0.000294011	0.000476663	0.0100836	0.0594697	0.177187	0.409884	0.14551	0.197095
n	0.000666265	0.000658215	0.00387236	0.0150298	0.0874937	0.344682	0.471144	0.0764539
d	0.00125406	3.44461e-05	0.000889145	0.000442384	0.011459	0.151015	0.819916	0.0149892
é	7.88276e-05	1.71778e-05	0.000141917	0.000249113	0.00214626	0.031709	0.960265	0.00539295
e	5.91278e-05	4.33717e-05	0.000921378	0.0022562	0.0216371	0.0945609	0.798488	0.0820336
y	9.84923e-05	0.000125423	0.00673785	0.00414749	0.12568	0.159865	0.0310409	0.672304
á	0.000620657	0.000755226	0.0176646	0.0180183	0.137609	0.428523	0.119275	0.277535
n	0.00126923	0.000282657	0.00536947	0.00748694	0.0757497	0.384292	0.435548	0.0900022
z	0.00161209	4.03668e-06	0.000258782	0.000176497	0.00508766	0.0920448	0.879263	0.021553
a	0.00776911	3.11463e-06	0.000111975	0.000230378	0.00325773	0.0385195	0.939773	0.0103353
m	4.67689e-05	0.00061478	0.00232135	0.00581435	0.0828988	0.104543	0.497954	0.305807
b	0.00511516	0.000199017	0.00296822	0.00234833	0.0473463	0.12521	0.110256	0.706557
é	0.00125123	0.000395154	0.00319771	0.00106802	0.0559834	0.127025	0.534187	0.276892
</S>	0.00019295	0.000109715	0.00362431	0.00570081	0.052465	0.056803	0.0147566	0.866348
