 	sa	femme	est	enceinte	</S>
m	0.97572	0.021827	0.00153188	0.00055677	0.000364072
w	0.0313012	0.947856	0.00622819	0.00182205	0.0127926
á	0.0263419	0.971325	8.27973e-05	0.00211608	0.000133764
s	0.622533	0.316035	0.00490795	0.00281181	0.0537125
í	0.475905	0.0532029	0.0413702	0.235101	0.194421
y	0.705976	0.0852347	0.145649	0.00795508	0.0551853
a	0.592201	0.0421479	0.122184	0.169711	0.0737555
w	0.884298	0.0286638	0.0424424	0.0170668	0.027529
a	0.715988	0.00279948	0.0776898	0.0513809	0.152142
á	0.0820295	0.0170385	0.733368	0.014608	0.152956
m	0.00317104	0.00444343	0.718147	0.181757	0.0924814
i	0.0107363	0.0136057	0.511311	0.179143	0.285204
k	0.00253377	0.00262007	0.276388	0.602113	0.116346
ó	0.00193592	0.000286729	0.35917	0.268156	0.370452
á	0.00189868	0.000148393	0.664327	0.119087	0.214539
d	0.032987	0.00532898	0.241962	0.415686	0.304036
z	0.0103348	5.84441e-05	0.00388283	0.818495	0.167229
é	0.00395528	0.001105	0.00228253	0.952625	0.0400319
m	0.00998285	0.00227453	0.158039	0.28252	0.547184
i	0.00595431	0.000477564	0.039045	0.269196	0.685327
</S>	0.0555037	0.000995267	0.0674686	0.134354	0.741679
