 	si	tu	pars	je	pars	aussi	</S>
w	0.952672	0.0441651	0.00178288	0.000724999	0.000213298	0.000385123	5.64727e-05
á	0.816834	0.166975	0.00650313	0.00708071	0.00248158	0.000101454	2.39716e-05
á	0.308631	0.192042	0.359793	0.0315665	0.0330235	0.00912704	0.0658165
n	0.319961	0.397924	0.139573	0.061448	0.0194049	0.00692992	0.0547594
ω	0.352804	0.557994	0.00251696	0.0741803	0.00280068	0.000261019	0.00944207
o	0.0520648	0.398466	0.116241	0.199299	0.0336257	0.00163901	0.198666
d	0.00258252	0.00419803	0.963017	0.00971322	0.0118108	0.00562161	0.00305658
z	0.00890309	0.00843131	0.949975	0.00672066	0.0101296	0.000842366	0.0149984
w	0.177271	0.111933	0.676197	0.0143618	0.0185038	0.000205863	0.00152753
e	0.0295785	0.033155	0.833594	0.0223993	0.0617534	0.00171829	0.0178012
n	0.0149922	0.0882374	0.235843	0.456117	0.135625	0.0180818	0.0511042
g	0.050046	0.336323	0.00498386	0.580347	0.00253944	0.0016915	0.0240695
á	0.0189437	0.155747	0.00566777	0.800386	0.00920947	0.00193064	0.00811596
b	0.00919124	0.0704213	0.0639766	0.155907	0.505681	0.0810401	0.113783
h	0.0201121	0.0131627	0.16354	0.108399	0.141389	0.476177	0.0772203
í	0.00329693	0.00663309	0.0634291	0.0580512	0.0495831	0.629442	0.189565
i	0.0097693	0.0289703	0.0616252	0.199236	0.214127	0.379486	0.106786
d	0.000658235	0.00143048	0.00449923	0.0179674	0.0789191	0.401566	0.494959
z	0.000145071	0.000496025	0.017986	0.0140023	0.279142	0.210401	0.477828
w	0.00225533	0.00121986	0.0547626	0.0112642	0.578175	0.205009	0.147314
e	0.000316463	0.00104825	0.0312772	0.00725253	0.238984	0.441983	0.279139
</S>	9.40114e-05	0.000663881	0.00236503	0.0125228	0.0444327	0.0936589	0.846263
