 	tsanganzoro	a	tué	une	petite	antilope	</S>
t	0.533783	0.445929	0.0100791	0.00477579	0.00275984	0.00248364	0.000189
s	0.520866	0.461326	0.00764939	0.00476218	0.00218256	0.00293868	0.00027577
a	0.650956	0.214767	0.0475998	0.0310393	0.00849661	0.0453447	0.00179708
n	0.321243	0.421034	0.098377	0.0194094	0.0126556	0.0503441	0.0769371
g	0.496	0.221839	0.0358757	0.0257963	0.0108476	0.00783425	0.201808
a	0.642929	0.243877	0.03099	0.00724014	0.00343342	0.00599868	0.0655318
n	0.0507698	0.646654	0.179599	0.0519888	0.0311056	0.00156367	0.0383194
d	0.294598	0.349559	0.0798667	0.0249371	0.0228668	0.00701964	0.221153
z	0.589637	0.224947	0.089045	0.0136948	0.00436169	0.00826436	0.0700496
ó	0.661526	0.0996484	0.0903145	0.0223023	0.0128593	0.0324986	0.0808514
r	0.558713	0.121703	0.0772996	0.0355183	0.016563	0.0528658	0.137337
o	0.183788	0.151035	0.295092	0.115711	0.0614662	0.115686	0.0772223
á	0.0877622	0.412719	0.217938	0.184184	0.0591854	0.00922492	0.0289876
b	0.00177521	0.025811	0.46129	0.284125	0.136049	0.0346968	0.0562531
o	6.21521e-05	0.0205177	0.559686	0.158355	0.164689	0.042961	0.0537291
m	0.00110958	0.012248	0.441879	0.215285	0.182134	0.0713741	0.0759701
i	0.00307244	0.00584888	0.074988	0.257416	0.214823	0.302713	0.141139
e	0.00742287	0.0159915	0.0067992	0.13241	0.197837	0.188253	0.451286
b	0.000631608	0.00254057	0.00444805	0.0545111	0.142922	0.516424	0.278522
v	0.000180924	0.00685361	0.0254553	0.0381018	0.235594	0.660545	0.0332694
έ	5.09116e-05	0.000722206	0.00748713	0.0552973	0.202612	0.703197	0.0306332
l	0.000309041	0.000599179	0.00264512	0.0311237	0.104311	0.425396	0.435616
έ	0.00126896	0.000721182	0.00117777	0.0518987	0.0811953	0.529704	0.334034
y	0.00215522	0.00221906	0.00126477	0.0655467	0.184872	0.114463	0.62948
á	0.0145735	0.0164234	0.0157057	0.133933	0.258804	0.185529	0.375032
m	0.0768984	0.0116669	0.0174307	0.062842	0.150537	0.362098	0.318527
b	0.00068946	0.020697	0.00804651	0.0376295	0.225828	0.388845	0.318265
v	7.18457e-05	0.000368561	0.0029746	0.00972794	0.0782435	0.781183	0.127431
u	1.67032e-05	0.000101237	0.0014698	0.0055115	0.0240517	0.903571	0.0652776
l	0.00462611	0.00135631	0.00525446	0.0282909	0.0375803	0.290949	0.631943
u	0.0047207	0.00240447	0.00336112	0.0237751	0.0402228	0.632295	0.293221
</S>	0.0069787	0.00395048	0.00779768	0.0705778	0.13339	0.0981509	0.679154
