 	la	hache	d'	otsengué	est	émoussée	</S>
s	0.302248	0.648295	0.0403725	0.00730281	0.00140308	0.000203475	0.000175124
ó	0.209053	0.602506	0.065408	0.0105321	0.0228675	0.0804182	0.00921506
k	0.0483692	0.805001	0.0969987	0.0126656	0.00283924	0.0122345	0.0218921
a	0.0630379	0.520239	0.338984	0.0306892	0.00633893	0.018494	0.0222172
l	0.114454	0.135628	0.644213	0.0260669	0.0242586	0.00445697	0.0509224
ó	0.274685	0.120731	0.336586	0.0416845	0.0613634	0.0101967	0.154753
t	0.138583	0.0200859	0.555286	0.134733	0.104773	0.00298284	0.0435572
s	0.106409	0.0380212	0.357171	0.302572	0.0901534	0.0465252	0.059148
έ	0.0112886	0.0322719	0.350571	0.540246	0.0334135	0.0187801	0.0134283
n	0.00781009	0.00830367	0.160122	0.611919	0.0905527	0.0125681	0.108725
g	0.0295087	0.0126047	0.166569	0.696866	0.0403775	0.0210951	0.0329793
έ	0.0205008	0.0260772	0.0858823	0.807268	0.0096005	0.0319861	0.0186848
í	0.0276467	0.00236087	0.0851041	0.0984771	0.664231	0.0261238	0.0960565
d	0.0387793	0.00330509	0.054287	0.0390913	0.738618	0.0445681	0.0813512
í	0.00496834	0.000708754	0.00656492	0.0162601	0.365872	0.0519982	0.553627
l	0.0102172	0.000826548	0.0194631	0.0380679	0.203619	0.181706	0.5461
o	0.00499689	0.00197406	0.0138578	0.0175153	0.190374	0.240663	0.530619
t	0.0115275	0.0100268	0.0227482	0.0163652	0.13396	0.566712	0.23866
ú	0.0067712	0.0652977	0.0430895	0.0199231	0.0876294	0.67414	0.103149
n	0.00164475	0.00114534	0.00218779	0.00379099	0.0122658	0.58788	0.391085
ú	0.0028887	0.00245589	0.0120405	0.0215125	0.0215711	0.838339	0.101193
</S>	0.00666063	0.00122034	0.0138632	0.0120524	0.0725951	0.0649714	0.828637
