 	il	a	dénoncé	son	ami	auprès	de	leur	chef	</S>
w	0.871157	0.0649081	0.00807637	0.0148589	0.0123087	0.0154821	0.0045709	0.00474566	0.0037609	0.000131255
a	0.707433	0.080574	0.00198791	0.0985487	0.0262657	0.0139802	0.00845623	0.0586519	0.00400622	9.63635e-05
á	0.122894	0.696446	0.0762829	0.0915702	0.0005371	0.00351429	0.00301437	0.00455403	0.000291494	0.000894938
f	0.0233	0.294352	0.506684	0.0728084	0.015602	0.00391166	0.0124814	0.0408927	0.00413755	0.0258311
ú	0.00478993	0.0272681	0.865283	0.0579857	0.00826728	0.00435207	0.00740851	0.00547013	0.00290235	0.0162726
n	0.0030654	0.0206337	0.660105	0.264121	0.0286043	0.00633691	0.00514392	0.00184535	0.00578794	0.00435711
d	0.0244125	0.0413154	0.341705	0.529113	0.00376872	0.0142212	0.0119823	0.0180261	0.00156805	0.0138879
u	0.0266647	0.0583223	0.461814	0.439453	0.00198147	0.00155762	0.00334131	0.00513465	5.50645e-05	0.00167515
o	0.00651531	0.0175013	0.0197926	0.720118	0.154287	0.0395085	0.0170228	0.0143131	0.00249858	0.00844228
b	0.00481361	0.00811724	0.0923446	0.0720121	0.671965	0.0688217	0.0149886	0.00267213	0.0450265	0.0192387
i	0.000371056	0.000259648	0.00242559	0.00753065	0.906019	0.0637113	0.00672262	0.00058638	0.00920366	0.00317043
a	3.73214e-05	0.000145978	0.00951215	0.00310365	0.933607	0.038399	0.00607698	0.000258138	0.00146415	0.00739589
m	0.0029218	0.00426268	0.00534525	0.335726	0.0369248	0.351771	0.221001	0.0271382	0.00201453	0.0128942
b	0.0195329	0.0029914	0.000533678	0.0309598	0.0141141	0.398065	0.235304	0.0288295	0.00341131	0.266259
v	0.00188902	0.000312753	0.00197982	0.0275051	0.125917	0.614318	0.16327	0.0189244	0.0142839	0.0316007
á	0.00103358	0.000230792	0.00735339	0.0258136	0.0425699	0.528761	0.243469	0.0265546	0.0161957	0.108018
a	0.000755478	0.000507779	0.00130993	0.0532504	0.0151046	0.516152	0.29061	0.0282195	0.0107794	0.0833102
o	0.000224676	0.000832984	0.00140476	0.0100427	0.00378592	0.305613	0.523502	0.0767635	0.0316987	0.0461319
k	0.000218638	0.00277555	0.0321719	0.00980126	0.0104944	0.131184	0.1074	0.0101432	0.55715	0.138661
o	2.35277e-05	5.95171e-05	0.00258423	0.00113917	0.00714007	0.0391579	0.0150319	0.00512633	0.894553	0.035184
n	1.18538e-05	3.02803e-05	0.000691773	0.000947438	0.0189337	0.0557149	0.0162904	0.00473747	0.8527	0.0499417
d	0.000126636	0.000178286	0.00190641	0.000696917	0.00204162	0.0504349	0.0331125	0.00325902	0.83571	0.0725335
z	0.000367997	0.000124621	0.000426003	0.0012153	0.000783899	0.0426438	0.0191515	0.00260805	0.871506	0.0611724
i	0.000278449	4.90091e-05	0.000906715	0.000633833	0.000714954	0.278891	0.0673037	0.00443556	0.597901	0.0488863
y	0.00274029	0.00246664	0.00363158	0.00822261	0.00156064	0.0363639	0.0910457	0.0513081	0.248193	0.554467
a	0.00452836	0.00338522	0.0290814	0.0504896	0.000586836	0.017611	0.0893388	0.340289	0.130737	0.333953
b	0.0040252	0.00302859	0.00611409	0.0754405	0.000642688	0.00284801	0.0324121	0.701864	0.075868	0.097757
á	0.00289356	0.00102165	0.000295711	0.0148223	0.0152452	0.0154847	0.0970637	0.812331	0.0300821	0.0107603
a	0.00803226	0.00211958	0.000150604	0.0310239	0.00971393	0.0510684	0.111106	0.70056	0.0163284	0.0698972
</S>	0.000481041	0.00253552	0.00283642	0.00301566	0.000936151	0.0102559	0.0259591	0.0774248	0.0846203	0.791935
